galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun,RHI_over_Rdisk,Reff_over_Rdisk,log10_M_star_Msun,log10_M_gas_Msun,ugc07125_hard_analog,ugc07125_regime_score,ugc07125_analog_distance,sample_btfr_log10_v_residual,M_part_required_Msun,participation_fraction_required,missing_or_excess_mass_fraction,gas_participation_required,gas_participation_required_clipped_0_1,gas_participation_required_status,log10_participation_fraction_required,bdvr_overpredicts_with_total_mass,bdvr_underpredicts_with_total_mass
UGC07125,1.0,9.0,65.2,2.1,2.712,4.629,3.38,23.04,3.92,28.11,103.0,19.8,90.0,"Sw09,Sw02",65.2,2.712,4.629,3.38,9.0,1356000000.0,6156569999.999999,7512569999.999999,0.1804974862131068,0.8195025137868931,3.9881656804733727,1.2573763420608173,1.0,1.0,1.0,1.13195243693273,111.27246923349932,65.2,1.7066329637039772,0.2321401297980161,0.2321401297980161,1.4488608456074408,2.012837224705172,0.2202525107324371,9.875788531662657,6.816568047337278,1.1597633136094674,9.132259689531045,9.789338821749897,True,5.5,0.0,-0.2398468595349969,885580433.570339,0.11787982455675476,-0.8821201754432452,-0.0764093588523579,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.928560519192065,True,False
NGC5371,1.0,4.0,209.5,3.9,340.393,11.18,7.44,30.03,9.8,560.83,1395.82,39.7,53.0,"Sa96,Be87",209.5,340.393,11.18,7.44,4.0,170196500000.0,14869400000.0,185065900000.0,0.919653485596212,0.080346514403788,2.676747311827957,1.206593385898856,1.1079061527859402,1.1,1.2186967680645342,1.3237912124150844,268.0821211003315,209.5,1.2796282630087423,0.1070838237324706,0.1070838237324706,2.7488312369236176,3.144829416820822,11.446090629077164,11.267326403592811,4.036290322580645,1.3172043010752688,11.230950624806642,10.172293444517491,False,0.5,7.9436233551084126,-0.0943854440845641,69022567266.38417,0.3729621030475316,-0.6270378969524685,-6.804170493336371,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.42833529492988237,True,False
UGC09133,1.0,2.0,226.8,4.2,282.926,33.428,6.97,60.35,5.92,1284.78,864.63,57.1,53.0,"No07,No05",226.8,282.926,33.428,6.97,2.0,141463000000.0,44459240000.0,185922240000.0,0.7608718569655787,0.2391281430344212,4.753945480631277,1.278243053811765,1.0,1.3,1.3,1.495958989174262,285.3114381478149,226.8,1.2579869406870148,0.099676132669659,0.099676132669659,3.108828767382579,2.9368303001409872,3.1818582593854505,11.269331343142353,8.658536585365853,0.8493543758967002,11.150642863909233,10.647962034462221,False,1.5,5.340390270381177,-0.0604472374302367,74238093872.0824,0.3992964686316301,-0.60070353136837,-1.5120570240948248,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.39870453067863615,True,False
UGC06614,1.0,1.0,199.8,16.0,124.35,21.888,5.1,60.63,3.68,1461.61,540.54,88.7,36.0,"dB01,VH93",199.8,124.35,21.888,5.1,1.0,62175000000.0,29111040000.000004,91286040000.0,0.6811008561659592,0.3188991438340408,6.304901960784315,1.3072102251977589,1.0,1.4,1.4,1.64754151219284,250.63734314036813,199.8,1.2544411568586993,0.0984502943067262,0.0984502943067262,3.164831505697767,2.732827837302287,2.135787659939321,10.960404367736713,11.88823529411765,0.7215686274509805,10.793615793941974,10.464057721007109,False,1.5,5.954717736046878,-0.0352459038445687,36864062227.640915,0.4038302266988569,-0.5961697733011432,-0.8694618183465477,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.3938011772269051,True,False
NGC5055,1.0,4.0,179.0,4.9,152.922,11.722,3.2,35.06,4.18,1383.02,3348.34,9.9,55.0,"Ba06,Bl04",179.0,152.922,11.722,3.2,4.0,76461000000.0,15590260000.0,92051260000.0,0.830635017923709,0.1693649820762909,6.1312500000000005,1.3046602942826642,1.0,1.1,1.1,1.2919717709722296,222.4131443276712,179.0,1.2425315325568222,0.0943074189278329,0.0943074189278329,3.1408284605336303,3.5248295510615684,4.904408265160427,10.96402973751469,10.95625,1.30625,10.883439973667864,10.192853358012686,False,1.5,5.40591743691839,-0.0839301066166942,38618914440.65934,0.4195370540355378,-0.5804629459644622,-2.427290215771941,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.3772296757113319,True,False
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,66.3,0.548,1.378,1.22,10.0,274000000.0,1832740000.0,2106740000.0,0.1300587637772103,0.8699412362227897,5.217213114754099,1.288510765160399,1.0,1.0,1.0,1.1599811860996694,81.96995774448564,66.3,1.236349287247144,0.0921411828030931,0.0921411828030931,1.316808752053022,2.228836487527934,0.1495029300391763,9.32361094114549,8.762295081967213,1.6721311475409837,8.437750562820389,9.263100858538692,True,4.0,3.387053710833753,-0.0891436496887831,901667071.9551761,0.4279916230551355,-0.5720083769448645,0.3424746946949246,0.3424746946949246,partial_gas_participation_can_match_observed_vflat,-0.3685647312123722,True,False
UGC12632,1.0,9.0,71.7,2.8,1.301,1.744,2.42,12.6,3.94,13.09,66.81,9.77,46.0,"Sw09,Sw02",71.7,1.301,1.744,2.42,9.0,650500000.0,2319520000.0000005,2970020000.0000005,0.2190220941273122,0.7809779058726878,3.4173553719008263,1.2379646219141702,1.0,1.0,1.0,1.1144770453653656,87.54914529433222,71.7,1.2210480515248563,0.086732754937078,0.086732754937078,1.1169396465507555,1.8248414717537007,0.2804459543353796,9.472759373849332,5.206611570247934,1.6280991735537191,8.813247300897604,9.365398121563635,True,4.0,3.222062980742751,-0.0938817987924793,1336067359.2302313,0.4498513004054623,-0.5501486995945377,0.29556432332130406,0.29556432332130406,partial_gas_participation_can_match_observed_vflat,-0.3469310197483123,True,False
UGC01230,1.0,9.0,103.7,6.1,7.62,6.43,4.34,26.29,6.45,28.63,69.32,53.7,22.0,"dB02,VdH93",103.7,7.62,6.43,4.34,9.0,3810000000.0,8551900000.0,12361900000.0,0.3082050493856122,0.6917949506143878,3.7718894009216593,1.250452323768591,1.0,1.0,1.0,1.125719092851827,125.67903163159885,103.7,1.211948231741551,0.0834840693771751,0.0834840693771751,1.4568213480215986,1.8408585540418796,0.445515031747331,10.092085226100666,6.057603686635945,1.4861751152073734,9.58092497567562,9.932062613891308,False,2.5,3.1632591328493924,-0.0945023486887253,5729925147.036856,0.46351492465048705,-0.536485075349513,0.2245027592741795,0.2245027592741795,partial_gas_participation_can_match_observed_vflat,-0.33393627750870053,True,False
NGC4088,1.0,4.0,171.7,6.9,107.286,8.226,2.58,22.25,6.1,457.96,3988.69,18.0,69.0,"VS01,SV98",171.7,107.286,8.226,2.58,4.0,53643000000.0,10940580000.000002,64583580000.0,0.8305981179736397,0.1694018820263602,5.494186046511628,1.293933538157079,1.0,1.1,1.1,1.2813493383213002,202.7172968761069,171.7,1.1806482054519911,0.0721205113385047,0.0721205113385047,2.660827546698381,3.60083028436173,4.9031221379488095,10.81012211518025,8.624031007751938,2.3643410852713176,10.729513057900906,10.039040346140242,False,1.5,5.46856330714679,-0.0620327877159541,33238396929.866875,0.5146570835786259,-0.48534291642137406,-1.8650385144236523,0.0,stellar_mass_alone_exceeds_required_participating_mass,-0.2884820453540188,True,False
UGC10310,1.0,9.0,71.4,3.9,1.741,1.196,1.8,9.58,3.12,28.37,158.79,15.2,34.0,"Sw09,Sw02",71.4,1.741,1.196,1.8,9.0,870500000.0,1590680000.0,2461180000.0,0.3536921314166375,0.6463078685833624,3.5277777777777777,1.2420133910149516,1.0,1.0,1.0,1.118121947768011,83.66752723115584,71.4,1.1718141068789334,0.0688587219551644,0.0688587219551644,1.4528593357958524,2.2008231487109304,0.5472502326049237,9.391143377273732,5.322222222222222,1.7333333333333334,8.93976877545335,9.201582820619478,False,2.0,3.6663361626158286,-0.074501635425062,1305294444.0479283,0.5303531005647406,-0.4696468994352594,0.2733387256066137,0.2733387256066137,partial_gas_participation_can_match_observed_vflat,-0.2754348878206577,True,False
