artifact_family,artifact_name,artifact_path,read_attempted,exists,read_success,n_rows,n_columns,read_error
M35,m35_sparc_independent_feature_table,runs/cghstc_34_m35_independent_observables_reservoir_settling/m35_sparc_independent_feature_table.csv,True,True,True,87,80,
M45,m45_master_onset_table,runs/cghstc_34_m45_cross_dataset_onset_table_builder/m45_master_onset_table.csv,True,True,True,11143,47,
M45,m45_feature_availability_matrix,runs/cghstc_34_m45_cross_dataset_onset_table_builder/m45_feature_availability_matrix.csv,True,True,True,135,7,
M45,m45_candidate_training_sets,runs/cghstc_34_m45_cross_dataset_onset_table_builder/m45_candidate_training_sets.csv,True,True,True,3,6,
M54,m54_crossmatch_resolved_hi_sfr,runs/cghstc_34_m54_resolved_hi_sfr_organization_rerun/m54_crossmatch_resolved_hi_sfr.csv,True,True,True,165,21,
M54,m54_organization_feature_matrix,runs/cghstc_34_m54_resolved_hi_sfr_organization_rerun/m54_organization_feature_matrix.csv,True,True,True,165,18,
M54,m54_missing_observables_after_acquisition,runs/cghstc_34_m54_resolved_hi_sfr_organization_rerun/m54_missing_observables_after_acquisition.csv,True,True,True,6,10,
M55,m55_vrot_sigma_crossmatch,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_vrot_sigma_crossmatch.csv,True,True,True,10749,8,
M55,m55_sfe_depletion_crossmatch,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_sfe_depletion_crossmatch.csv,True,True,True,1699,8,
M55,m55_direct_overlap_growth_report,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_direct_overlap_growth_report.csv,True,True,True,4,9,
M55,m55_resolved_hi_inventory,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_resolved_hi_inventory.csv,True,True,True,120,10,
