artifact_family,artifact_name,artifact_path,name_column,attempted_crossmatch_n,matched_n,tier_candidate,join_method
M35,m35_sparc_independent_feature_table,runs/cghstc_34_m35_independent_observables_reservoir_settling/m35_sparc_independent_feature_table.csv,galaxy_name,87,85,Tier A,normalized_exact_name
M45,m45_master_onset_table,runs/cghstc_34_m45_cross_dataset_onset_table_builder/m45_master_onset_table.csv,object_name,11143,93,Tier A,normalized_exact_name
M45,m45_feature_availability_matrix,runs/cghstc_34_m45_cross_dataset_onset_table_builder/m45_feature_availability_matrix.csv,,135,0,Tier D,no_name_column_available
M45,m45_candidate_training_sets,runs/cghstc_34_m45_cross_dataset_onset_table_builder/m45_candidate_training_sets.csv,,3,0,Tier D,no_name_column_available
M54,m54_crossmatch_resolved_hi_sfr,runs/cghstc_34_m54_resolved_hi_sfr_organization_rerun/m54_crossmatch_resolved_hi_sfr.csv,object_name,165,85,Tier A,normalized_exact_name
M54,m54_organization_feature_matrix,runs/cghstc_34_m54_resolved_hi_sfr_organization_rerun/m54_organization_feature_matrix.csv,object_name,165,85,Tier A,normalized_exact_name
M54,m54_missing_observables_after_acquisition,runs/cghstc_34_m54_resolved_hi_sfr_organization_rerun/m54_missing_observables_after_acquisition.csv,,6,0,Tier D,no_name_column_available
M55,m55_vrot_sigma_crossmatch,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_vrot_sigma_crossmatch.csv,object_name,10749,0,Tier C,normalized_exact_name
M55,m55_sfe_depletion_crossmatch,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_sfe_depletion_crossmatch.csv,object_name,1699,0,Tier C,normalized_exact_name
M55,m55_direct_overlap_growth_report,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_direct_overlap_growth_report.csv,,4,0,Tier D,no_name_column_available
M55,m55_resolved_hi_inventory,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_resolved_hi_inventory.csv,galaxy_name,120,93,Tier D,normalized_exact_name
