artifact_family,artifact_name,artifact_path,gap_type,attempted_crossmatch_n,matched_n,unmatched_n,claim_control
M35,m35_sparc_independent_feature_table,runs/cghstc_34_m35_independent_observables_reservoir_settling/m35_sparc_independent_feature_table.csv,partial_or_missing_direct_crossmatch,87,85,2,missing direct crossmatch claim is backed by attempted normalized-name join counts
M45,m45_master_onset_table,runs/cghstc_34_m45_cross_dataset_onset_table_builder/m45_master_onset_table.csv,partial_or_missing_direct_crossmatch,11143,93,11050,missing direct crossmatch claim is backed by attempted normalized-name join counts
M45,m45_feature_availability_matrix,runs/cghstc_34_m45_cross_dataset_onset_table_builder/m45_feature_availability_matrix.csv,partial_or_missing_direct_crossmatch,135,0,135,missing direct crossmatch claim is backed by attempted normalized-name join counts
M45,m45_candidate_training_sets,runs/cghstc_34_m45_cross_dataset_onset_table_builder/m45_candidate_training_sets.csv,partial_or_missing_direct_crossmatch,3,0,3,missing direct crossmatch claim is backed by attempted normalized-name join counts
M54,m54_crossmatch_resolved_hi_sfr,runs/cghstc_34_m54_resolved_hi_sfr_organization_rerun/m54_crossmatch_resolved_hi_sfr.csv,partial_or_missing_direct_crossmatch,165,85,80,missing direct crossmatch claim is backed by attempted normalized-name join counts
M54,m54_organization_feature_matrix,runs/cghstc_34_m54_resolved_hi_sfr_organization_rerun/m54_organization_feature_matrix.csv,partial_or_missing_direct_crossmatch,165,85,80,missing direct crossmatch claim is backed by attempted normalized-name join counts
M54,m54_missing_observables_after_acquisition,runs/cghstc_34_m54_resolved_hi_sfr_organization_rerun/m54_missing_observables_after_acquisition.csv,partial_or_missing_direct_crossmatch,6,0,6,missing direct crossmatch claim is backed by attempted normalized-name join counts
M55,m55_vrot_sigma_crossmatch,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_vrot_sigma_crossmatch.csv,partial_or_missing_direct_crossmatch,10749,0,10749,missing direct crossmatch claim is backed by attempted normalized-name join counts
M55,m55_sfe_depletion_crossmatch,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_sfe_depletion_crossmatch.csv,partial_or_missing_direct_crossmatch,1699,0,1699,missing direct crossmatch claim is backed by attempted normalized-name join counts
M55,m55_direct_overlap_growth_report,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_direct_overlap_growth_report.csv,partial_or_missing_direct_crossmatch,4,0,4,missing direct crossmatch claim is backed by attempted normalized-name join counts
M55,m55_resolved_hi_inventory,runs/cghstc_34_m55_direct_dynamical_observable_expansion/m55_resolved_hi_inventory.csv,partial_or_missing_direct_crossmatch,120,93,27,missing direct crossmatch claim is backed by attempted normalized-name join counts
