object_name,taxonomy_stage,quality_quarantined,measurement_limited,a_r_mismatch_status,a_r_mismatch_source,h_i_asymmetry_status,h_i_asymmetry_source,warp___pa_twist_status,warp___pa_twist_source,lopsidedness_status,lopsidedness_source,vrot_sigma_status,vrot_sigma_source,centroid_offset_status,centroid_offset_source,sfe_depletion_status,sfe_depletion_source,burstiness_status,burstiness_source,external_morphology_status,external_morphology_source,existing_tier_a_label_count,missing_target_label_count,context_lead_count,acquisition_priority_score,target_role,acquisition_priority_rank,priority_bin
UGC07125,failed_stalled,True,True,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,123,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up,1,minimum_25_pool
DDO064,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,2,minimum_25_pool
DDO161,failed_stalled,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,3,minimum_25_pool
F563-1,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,4,minimum_25_pool
F563-V2,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,5,minimum_25_pool
F568-V1,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,6,minimum_25_pool
F583-1,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,7,minimum_25_pool
NGC0100,failed_stalled,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,8,minimum_25_pool
NGC1003,failed_stalled,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,9,minimum_25_pool
NGC3109,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,10,minimum_25_pool
NGC3741,juvenile_forming,False,False,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_context_available,m54_crossmatch_resolved_hi_sfr,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_context_available,m54_crossmatch_resolved_hi_sfr;m54_organization_feature_matrix,missing_high_priority,needs acquisition,missing_high_priority,needs acquisition,0,9,4,110,primary_non_mature_acquisition,11,minimum_25_pool
