object_name,label_family,priority_rank,priority_bin,source_index,attempt_rows,source_lead_count,same_object_source_lead_count,label_keyword_source_lead_count,audit_class,promotion_allowed_from_this_audit,claim_boundary
DDO064,A/R mismatch,2,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
DDO064,H I asymmetry,2,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
DDO064,warp / PA twist,2,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
DDO161,A/R mismatch,3,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
DDO161,H I asymmetry,3,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
DDO161,warp / PA twist,3,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F563-1,A/R mismatch,4,minimum_25_pool,openalex,3,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F563-1,H I asymmetry,4,minimum_25_pool,openalex,3,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F563-1,warp / PA twist,4,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F563-V2,A/R mismatch,5,minimum_25_pool,openalex,3,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F563-V2,H I asymmetry,5,minimum_25_pool,openalex,2,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F563-V2,warp / PA twist,5,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F568-V1,A/R mismatch,6,minimum_25_pool,openalex,3,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F568-V1,H I asymmetry,6,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F568-V1,warp / PA twist,6,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F583-1,A/R mismatch,7,minimum_25_pool,openalex,3,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F583-1,H I asymmetry,7,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
F583-1,warp / PA twist,7,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
NGC0100,A/R mismatch,8,minimum_25_pool,openalex,2,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
NGC0100,H I asymmetry,8,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
NGC0100,warp / PA twist,8,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
UGC07125,A/R mismatch,1,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
UGC07125,H I asymmetry,1,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
UGC07125,warp / PA twist,1,minimum_25_pool,openalex,1,0,0,0,no_source_lead_found,False,source_lead_only_not_tier_a_label
