object_name,label_family,priority_rank,priority_bin,query_string,source_index,result_rank,title,year,authors,venue,doi,url,abstract,object_name_in_result,label_keywords_in_result,source_lead_class,error
UGC07125,A/R mismatch,1,minimum_25_pool,"""UGC07125"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",openalex,1,Fitting the radial acceleration relation to individual SPARC galaxies,2018,Pengfei Li; Federico Lelli; Stacy McGaugh; James Schombert,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201732547,https://openalex.org/W2793387999,"Galaxies follow a tight radial acceleration relation (RAR): the acceleration observed at every radius correlates with that expected from the distribution of baryons. We use the Markov chain Monte Carlo method to fit the mean RAR to 175 individual galaxies in the SPARC database, marginalizing over stellar mass-to-light ratio (ϒ ⋆ ), galaxy distance, and disk inclination. Acceptable fits with astrophysically reasonable parameters are found for the vast majority of galaxies. The residuals around these fits have an rms scatter of only 0.057 dex (~13%). This is in agreement with the predictions of modified Newtonian dynamics (MOND). We further consider a generalized version of the RAR that, unlike MOND, permits galaxy-to-galaxy variation in the critical acceleration scale. The fits are not improved with this additional freedom: there is no credible indication of variation in the critical acceleration scale. The data are consistent with the action of a single effective force law. The apparent universality of the acceleration scale and the small residual scatter are key to understanding galaxies.",False,False,no_source_lead_found,
UGC07125,H I asymmetry,1,minimum_25_pool,"""UGC07125"" ""H I"" asymmetry lopsidedness",openalex,1,Fitting the radial acceleration relation to individual SPARC galaxies,2018,Pengfei Li; Federico Lelli; Stacy McGaugh; James Schombert,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201732547,https://openalex.org/W2793387999,"Galaxies follow a tight radial acceleration relation (RAR): the acceleration observed at every radius correlates with that expected from the distribution of baryons. We use the Markov chain Monte Carlo method to fit the mean RAR to 175 individual galaxies in the SPARC database, marginalizing over stellar mass-to-light ratio (ϒ ⋆ ), galaxy distance, and disk inclination. Acceptable fits with astrophysically reasonable parameters are found for the vast majority of galaxies. The residuals around these fits have an rms scatter of only 0.057 dex (~13%). This is in agreement with the predictions of modified Newtonian dynamics (MOND). We further consider a generalized version of the RAR that, unlike MOND, permits galaxy-to-galaxy variation in the critical acceleration scale. The fits are not improved with this additional freedom: there is no credible indication of variation in the critical acceleration scale. The data are consistent with the action of a single effective force law. The apparent universality of the acceleration scale and the small residual scatter are key to understanding galaxies.",False,True,no_source_lead_found,
UGC07125,warp / PA twist,1,minimum_25_pool,"""UGC07125"" ""H I"" warp ""position angle"" ""tilted ring""",openalex,0,,,,,,https://api.openalex.org/works?search=UGC07125+H+I+warp+position+angle+tilted+ring&per-page=3&sort=relevance_score%3Adesc,,False,False,no_source_lead_found,
DDO064,A/R mismatch,2,minimum_25_pool,"""DDO064"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",openalex,1,Fitting the radial acceleration relation to individual SPARC galaxies,2018,Pengfei Li; Federico Lelli; Stacy McGaugh; James Schombert,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201732547,https://openalex.org/W2793387999,"Galaxies follow a tight radial acceleration relation (RAR): the acceleration observed at every radius correlates with that expected from the distribution of baryons. We use the Markov chain Monte Carlo method to fit the mean RAR to 175 individual galaxies in the SPARC database, marginalizing over stellar mass-to-light ratio (ϒ ⋆ ), galaxy distance, and disk inclination. Acceptable fits with astrophysically reasonable parameters are found for the vast majority of galaxies. The residuals around these fits have an rms scatter of only 0.057 dex (~13%). This is in agreement with the predictions of modified Newtonian dynamics (MOND). We further consider a generalized version of the RAR that, unlike MOND, permits galaxy-to-galaxy variation in the critical acceleration scale. The fits are not improved with this additional freedom: there is no credible indication of variation in the critical acceleration scale. The data are consistent with the action of a single effective force law. The apparent universality of the acceleration scale and the small residual scatter are key to understanding galaxies.",False,False,no_source_lead_found,
DDO064,H I asymmetry,2,minimum_25_pool,"""DDO064"" ""H I"" asymmetry lopsidedness",openalex,1,Fitting the radial acceleration relation to individual SPARC galaxies,2018,Pengfei Li; Federico Lelli; Stacy McGaugh; James Schombert,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201732547,https://openalex.org/W2793387999,"Galaxies follow a tight radial acceleration relation (RAR): the acceleration observed at every radius correlates with that expected from the distribution of baryons. We use the Markov chain Monte Carlo method to fit the mean RAR to 175 individual galaxies in the SPARC database, marginalizing over stellar mass-to-light ratio (ϒ ⋆ ), galaxy distance, and disk inclination. Acceptable fits with astrophysically reasonable parameters are found for the vast majority of galaxies. The residuals around these fits have an rms scatter of only 0.057 dex (~13%). This is in agreement with the predictions of modified Newtonian dynamics (MOND). We further consider a generalized version of the RAR that, unlike MOND, permits galaxy-to-galaxy variation in the critical acceleration scale. The fits are not improved with this additional freedom: there is no credible indication of variation in the critical acceleration scale. The data are consistent with the action of a single effective force law. The apparent universality of the acceleration scale and the small residual scatter are key to understanding galaxies.",False,True,no_source_lead_found,
DDO064,warp / PA twist,2,minimum_25_pool,"""DDO064"" ""H I"" warp ""position angle"" ""tilted ring""",openalex,0,,,,,,https://api.openalex.org/works?search=DDO064+H+I+warp+position+angle+tilted+ring&per-page=3&sort=relevance_score%3Adesc,,False,False,no_source_lead_found,
DDO161,A/R mismatch,3,minimum_25_pool,"""DDO161"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",openalex,1,Fitting the radial acceleration relation to individual SPARC galaxies,2018,Pengfei Li; Federico Lelli; Stacy McGaugh; James Schombert,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201732547,https://openalex.org/W2793387999,"Galaxies follow a tight radial acceleration relation (RAR): the acceleration observed at every radius correlates with that expected from the distribution of baryons. We use the Markov chain Monte Carlo method to fit the mean RAR to 175 individual galaxies in the SPARC database, marginalizing over stellar mass-to-light ratio (ϒ ⋆ ), galaxy distance, and disk inclination. Acceptable fits with astrophysically reasonable parameters are found for the vast majority of galaxies. The residuals around these fits have an rms scatter of only 0.057 dex (~13%). This is in agreement with the predictions of modified Newtonian dynamics (MOND). We further consider a generalized version of the RAR that, unlike MOND, permits galaxy-to-galaxy variation in the critical acceleration scale. The fits are not improved with this additional freedom: there is no credible indication of variation in the critical acceleration scale. The data are consistent with the action of a single effective force law. The apparent universality of the acceleration scale and the small residual scatter are key to understanding galaxies.",False,False,no_source_lead_found,
DDO161,H I asymmetry,3,minimum_25_pool,"""DDO161"" ""H I"" asymmetry lopsidedness",openalex,1,Fitting the radial acceleration relation to individual SPARC galaxies,2018,Pengfei Li; Federico Lelli; Stacy McGaugh; James Schombert,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201732547,https://openalex.org/W2793387999,"Galaxies follow a tight radial acceleration relation (RAR): the acceleration observed at every radius correlates with that expected from the distribution of baryons. We use the Markov chain Monte Carlo method to fit the mean RAR to 175 individual galaxies in the SPARC database, marginalizing over stellar mass-to-light ratio (ϒ ⋆ ), galaxy distance, and disk inclination. Acceptable fits with astrophysically reasonable parameters are found for the vast majority of galaxies. The residuals around these fits have an rms scatter of only 0.057 dex (~13%). This is in agreement with the predictions of modified Newtonian dynamics (MOND). We further consider a generalized version of the RAR that, unlike MOND, permits galaxy-to-galaxy variation in the critical acceleration scale. The fits are not improved with this additional freedom: there is no credible indication of variation in the critical acceleration scale. The data are consistent with the action of a single effective force law. The apparent universality of the acceleration scale and the small residual scatter are key to understanding galaxies.",False,True,no_source_lead_found,
DDO161,warp / PA twist,3,minimum_25_pool,"""DDO161"" ""H I"" warp ""position angle"" ""tilted ring""",openalex,0,,,,,,https://api.openalex.org/works?search=DDO161+H+I+warp+position+angle+tilted+ring&per-page=3&sort=relevance_score%3Adesc,,False,False,no_source_lead_found,
F563-1,A/R mismatch,4,minimum_25_pool,"""F563-1"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",openalex,1,High-resolution rotation curves of low surface brightness galaxies,2002,W. J. G. de Blok; A. Bosma,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361:20020080,https://openalex.org/W2057877481,"We present high-resolution rotation curves of a sample of 26 low surface brightness galaxies. From these curves we derive mass distributions using a variety of assumptions for the stellar mass-to-light ratio. We show that the predictions of current Cold Dark Matter models for the density profiles of dark matter halos are inconsistent with the observed curves. The latter indicate a core-dominated structure, rather than the theoretically preferred cuspy structure.",False,True,no_source_lead_found,
