object_name,label_family,decision,evidence_class,source_provenance,reason,tier_after_decision,target_role
UGC07125,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,quarantined_follow_up_not_clean_inference; source_lead_only_requires_manual_measurement_audit,unpromoted_missing_label,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,quarantined_follow_up_not_clean_inference; source_lead_only_requires_manual_measurement_audit,unpromoted_missing_label,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,quarantined_follow_up_not_clean_inference; source_lead_only_requires_manual_measurement_audit,unpromoted_missing_label,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,quarantined_follow_up_not_clean_inference; source_lead_only_requires_manual_measurement_audit,unpromoted_missing_label,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,quarantined_follow_up_not_clean_inference; source_lead_only_requires_manual_measurement_audit,unpromoted_missing_label,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,quarantined_follow_up_not_clean_inference; source_lead_only_requires_manual_measurement_audit,unpromoted_missing_label,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,quarantined_follow_up_not_clean_inference; source_lead_only_requires_manual_measurement_audit,unpromoted_missing_label,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,quarantined_follow_up_not_clean_inference; source_lead_only_requires_manual_measurement_audit,unpromoted_missing_label,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,quarantined_follow_up_not_clean_inference; source_lead_only_requires_manual_measurement_audit,unpromoted_missing_label,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
DDO064,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
DDO064,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
DDO064,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO064,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
