object_name,canonical_main_id,alias,alias_source,same_object_identity_only,usable_for_direct_label_validation
UGC07125,Z 187-12,2MASX J12084151+3648082,SIMBAD ident,True,False
UGC07125,Z 187-12,FGC 1372,SIMBAD ident,True,False
UGC07125,Z 187-12,KUG 1206+370,SIMBAD ident,True,False
UGC07125,Z 187-12,LEDA   38567,SIMBAD ident,True,False
UGC07125,Z 187-12,MCG+06-27-014,SIMBAD ident,True,False
UGC07125,Z 187-12,RFGC 2197,SIMBAD ident,True,False
UGC07125,Z 187-12,SDSS J120842.33+364809.9,SIMBAD ident,True,False
UGC07125,Z 187-12,UGC  7125,SIMBAD ident,True,False
UGC07125,Z 187-12,UZC J120842.3+364810,SIMBAD ident,True,False
UGC07125,Z 187-12,Z 1206.1+3705,SIMBAD ident,True,False
UGC07125,Z 187-12,Z 187-12,SIMBAD ident,True,False
DDO064,Z 152-72,Anon 0947+31,SIMBAD ident,True,False
DDO064,Z 152-72,BTS  10,SIMBAD ident,True,False
DDO064,Z 152-72,DDO  64,SIMBAD ident,True,False
DDO064,Z 152-72,IRAS F09474+3143,SIMBAD ident,True,False
DDO064,Z 152-72,KUG 0947+317,SIMBAD ident,True,False
DDO064,Z 152-72,LEDA   28317,SIMBAD ident,True,False
DDO064,Z 152-72,MCG+05-23-041,SIMBAD ident,True,False
DDO064,Z 152-72,MaNGA 1-389720,SIMBAD ident,True,False
DDO064,Z 152-72,MaNGA 8150-3701,SIMBAD ident,True,False
DDO064,Z 152-72,SDSS J095021.35+312916.6,SIMBAD ident,True,False
DDO064,Z 152-72,SDSS J095022.76+312917.8,SIMBAD ident,True,False
DDO064,Z 152-72,UGC  5272,SIMBAD ident,True,False
DDO064,Z 152-72,UGC  5272 A,SIMBAD ident,True,False
DDO064,Z 152-72,UZC J095022.4+312916,SIMBAD ident,True,False
DDO064,Z 152-72,Z 0947.4+3143,SIMBAD ident,True,False
DDO064,Z 152-72,Z 152-72,SIMBAD ident,True,False
DDO064,Z 152-72,[CFG2001] 15R 094726.4+314318.1,SIMBAD ident,True,False
DDO064,Z 152-72,[MI94] Im  60,SIMBAD ident,True,False
DDO161,MCG-03-33-030,2MASX J13031673-1725229,SIMBAD ident,True,False
DDO161,MCG-03-33-030,Anon 1300-17,SIMBAD ident,True,False
DDO161,MCG-03-33-030,DDO 161,SIMBAD ident,True,False
DDO161,MCG-03-33-030,FGC 1542,SIMBAD ident,True,False
DDO161,MCG-03-33-030,GSC 06112-01113,SIMBAD ident,True,False
DDO161,MCG-03-33-030,HIPASS J1303-17b,SIMBAD ident,True,False
DDO161,MCG-03-33-030,IRAS F13006-1709,SIMBAD ident,True,False
DDO161,MCG-03-33-030,LEDA   45084,SIMBAD ident,True,False
DDO161,MCG-03-33-030,MCG-03-33-030,SIMBAD ident,True,False
DDO161,MCG-03-33-030,RFGC 2449,SIMBAD ident,True,False
DDO161,MCG-03-33-030,SGC 130038-1709.2,SIMBAD ident,True,False
DDO161,MCG-03-33-030,SINGG HIPASS J1303-17b,SIMBAD ident,True,False
DDO161,MCG-03-33-030,TC 259,SIMBAD ident,True,False
DDO161,MCG-03-33-030,UGCA 320,SIMBAD ident,True,False
DDO161,MCG-03-33-030,[MI94] Im 122,SIMBAD ident,True,False
DDO161,MCG-03-33-030,[NLB95] f646g001,SIMBAD ident,True,False
NGC0100,NGC   100,2MASX J00240283+1629110,SIMBAD ident,True,False
NGC0100,NGC   100,2MASXI J0024028+162911,SIMBAD ident,True,False
NGC0100,NGC   100,2MFGC 282,SIMBAD ident,True,False
NGC0100,NGC   100,FGC   42,SIMBAD ident,True,False
NGC0100,NGC   100,HIPASS J0024+16,SIMBAD ident,True,False
NGC0100,NGC   100,IRAS F00214+1612,SIMBAD ident,True,False
NGC0100,NGC   100,LCSB L13,SIMBAD ident,True,False
NGC0100,NGC   100,LEDA    1525,SIMBAD ident,True,False
NGC0100,NGC   100,MCG+03-02-009,SIMBAD ident,True,False
NGC0100,NGC   100,NGC   100,SIMBAD ident,True,False
NGC0100,NGC   100,RFGC   95,SIMBAD ident,True,False
NGC0100,NGC   100,TC 422,SIMBAD ident,True,False
NGC0100,NGC   100,UGC   231,SIMBAD ident,True,False
NGC0100,NGC   100,UZC J002402.7+162910,SIMBAD ident,True,False
NGC0100,NGC   100,Z 0021.5+1612,SIMBAD ident,True,False
NGC0100,NGC   100,Z 457-12,SIMBAD ident,True,False
NGC1003,NGC  1003,2MASX J02391689+4052202,SIMBAD ident,True,False
NGC1003,NGC  1003,IRAS 02360+4039,SIMBAD ident,True,False
NGC1003,NGC  1003,IRAS F02360+4039,SIMBAD ident,True,False
NGC1003,NGC  1003,LEDA   10052,SIMBAD ident,True,False
NGC1003,NGC  1003,MCG+07-06-051,SIMBAD ident,True,False
NGC1003,NGC  1003,NGC  1003,SIMBAD ident,True,False
NGC1003,NGC  1003,PSCz Q02360+4039,SIMBAD ident,True,False
NGC1003,NGC  1003,TC 652,SIMBAD ident,True,False
NGC1003,NGC  1003,UGC  2137,SIMBAD ident,True,False
NGC1003,NGC  1003,UZC J023916.9+405219,SIMBAD ident,True,False
NGC1003,NGC  1003,Z 0236.1+4040,SIMBAD ident,True,False
NGC1003,NGC  1003,Z 539-70,SIMBAD ident,True,False
NGC1003,NGC  1003,[BTW2003] J0239+4052,SIMBAD ident,True,False
NGC1003,NGC  1003,[CHM2007] HDC  155 J023916.89+4052202,SIMBAD ident,True,False
NGC1003,NGC  1003,[CHM2007] LDC  160 J023916.89+4052202,SIMBAD ident,True,False
NGC1003,NGC  1003,[M98c] 023606.1+403928,SIMBAD ident,True,False
NGC1003,NGC  1003,[MWI88] ACO 347 24,SIMBAD ident,True,False
NGC1003,NGC  1003,[TT2009] 4,SIMBAD ident,True,False
NGC3109,NGC  3109,2MASX J10030687-2609344,SIMBAD ident,True,False
NGC3109,NGC  3109,DDO 236,SIMBAD ident,True,False
NGC3109,NGC  3109,ESO 499-36,SIMBAD ident,True,False
NGC3109,NGC  3109,ESO-LV 499-0360,SIMBAD ident,True,False
NGC3109,NGC  3109,GLXY G262.1+23.1+389,SIMBAD ident,True,False
NGC3109,NGC  3109,HIPASS J1003-26a,SIMBAD ident,True,False
NGC3109,NGC  3109,LEDA   29128,SIMBAD ident,True,False
NGC3109,NGC  3109,MCG-04-24-013,SIMBAD ident,True,False
NGC3109,NGC  3109,NGC  3109,SIMBAD ident,True,False
NGC3109,NGC  3109,SGC 100049-2555.0,SIMBAD ident,True,False
NGC3109,NGC  3109,SPB 126,SIMBAD ident,True,False
NGC3109,NGC  3109,UGCA 194,SIMBAD ident,True,False
NGC3109,NGC  3109,[M98c] 100049.0-255500,SIMBAD ident,True,False
NGC3109,NGC  3109,[MI94] Sm  46,SIMBAD ident,True,False
NGC3109,NGC  3109,[VDD93] 105,SIMBAD ident,True,False
NGC3741,NGC  3741,BTS  35,SIMBAD ident,True,False
NGC3741,NGC  3741,CASG 1441,SIMBAD ident,True,False
NGC3741,NGC  3741,LEDA   35878,SIMBAD ident,True,False
