object_name,canonical_main_id,route_family,query_url,route_role,measurement_claim_status
UGC07125,Z 187-12,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=Z%20187-12,object identity and bibliography gateway,route_only_not_measurement
UGC07125,Z 187-12,NED,https://ned.ipac.caltech.edu/byname?objname=Z%20187-12,object identity and literature/source gateway,route_only_not_measurement
UGC07125,Z 187-12,ADS,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,literature query route,route_only_not_measurement
UGC07125,Z 187-12,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=182.17297499999995%2036.80229722222222&-c.rs=5,coordinate catalog query route,route_only_not_measurement
DDO064,Z 152-72,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=Z%20152-72,object identity and bibliography gateway,route_only_not_measurement
DDO064,Z 152-72,NED,https://ned.ipac.caltech.edu/byname?objname=Z%20152-72,object identity and literature/source gateway,route_only_not_measurement
DDO064,Z 152-72,ADS,https://ui.adsabs.harvard.edu/search/q=DDO064%20OR%20Z%20152-72,literature query route,route_only_not_measurement
DDO064,Z 152-72,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=147.594869%2031.488277&-c.rs=5,coordinate catalog query route,route_only_not_measurement
DDO161,MCG-03-33-030,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=MCG-03-33-030,object identity and bibliography gateway,route_only_not_measurement
DDO161,MCG-03-33-030,NED,https://ned.ipac.caltech.edu/byname?objname=MCG-03-33-030,object identity and literature/source gateway,route_only_not_measurement
DDO161,MCG-03-33-030,ADS,https://ui.adsabs.harvard.edu/search/q=DDO161%20OR%20MCG-03-33-030,literature query route,route_only_not_measurement
DDO161,MCG-03-33-030,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=195.81973333333335%20-17.423030555555556&-c.rs=5,coordinate catalog query route,route_only_not_measurement
NGC0100,NGC   100,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC%20%20%20100,object identity and bibliography gateway,route_only_not_measurement
NGC0100,NGC   100,NED,https://ned.ipac.caltech.edu/byname?objname=NGC%20%20%20100,object identity and literature/source gateway,route_only_not_measurement
NGC0100,NGC   100,ADS,https://ui.adsabs.harvard.edu/search/q=NGC0100%20OR%20NGC%20%20%20100,literature query route,route_only_not_measurement
NGC0100,NGC   100,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=6.011820833333334%2016.48638888888889&-c.rs=5,coordinate catalog query route,route_only_not_measurement
NGC1003,NGC  1003,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC%20%201003,object identity and bibliography gateway,route_only_not_measurement
NGC1003,NGC  1003,NED,https://ned.ipac.caltech.edu/byname?objname=NGC%20%201003,object identity and literature/source gateway,route_only_not_measurement
NGC1003,NGC  1003,ADS,https://ui.adsabs.harvard.edu/search/q=NGC1003%20OR%20NGC%20%201003,literature query route,route_only_not_measurement
NGC1003,NGC  1003,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=39.820387499999995%2040.87229166666666&-c.rs=5,coordinate catalog query route,route_only_not_measurement
NGC3109,NGC  3109,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC%20%203109,object identity and bibliography gateway,route_only_not_measurement
NGC3109,NGC  3109,NED,https://ned.ipac.caltech.edu/byname?objname=NGC%20%203109,object identity and literature/source gateway,route_only_not_measurement
NGC3109,NGC  3109,ADS,https://ui.adsabs.harvard.edu/search/q=NGC3109%20OR%20NGC%20%203109,literature query route,route_only_not_measurement
NGC3109,NGC  3109,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=150.77865416666668%20-26.159572222222227&-c.rs=5,coordinate catalog query route,route_only_not_measurement
NGC3741,NGC  3741,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC%20%203741,object identity and bibliography gateway,route_only_not_measurement
NGC3741,NGC  3741,NED,https://ned.ipac.caltech.edu/byname?objname=NGC%20%203741,object identity and literature/source gateway,route_only_not_measurement
NGC3741,NGC  3741,ADS,https://ui.adsabs.harvard.edu/search/q=NGC3741%20OR%20NGC%20%203741,literature query route,route_only_not_measurement
NGC3741,NGC  3741,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=174.023974%2045.284155&-c.rs=5,coordinate catalog query route,route_only_not_measurement
NGC5585,NGC  5585,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=NGC%20%205585,object identity and bibliography gateway,route_only_not_measurement
NGC5585,NGC  5585,NED,https://ned.ipac.caltech.edu/byname?objname=NGC%20%205585,object identity and literature/source gateway,route_only_not_measurement
NGC5585,NGC  5585,ADS,https://ui.adsabs.harvard.edu/search/q=NGC5585%20OR%20NGC%20%205585,literature query route,route_only_not_measurement
NGC5585,NGC  5585,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=214.95084999999997%2056.72905000000001&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC00128,MCG+06-01-019,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=MCG%2B06-01-019,object identity and bibliography gateway,route_only_not_measurement
UGC00128,MCG+06-01-019,NED,https://ned.ipac.caltech.edu/byname?objname=MCG%2B06-01-019,object identity and literature/source gateway,route_only_not_measurement
UGC00128,MCG+06-01-019,ADS,https://ui.adsabs.harvard.edu/search/q=UGC00128%20OR%20MCG%2B06-01-019,literature query route,route_only_not_measurement
UGC00128,MCG+06-01-019,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=3.4620799999999994%2035.99416999999999&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC00731,UGC   731,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=UGC%20%20%20731,object identity and bibliography gateway,route_only_not_measurement
UGC00731,UGC   731,NED,https://ned.ipac.caltech.edu/byname?objname=UGC%20%20%20731,object identity and literature/source gateway,route_only_not_measurement
UGC00731,UGC   731,ADS,https://ui.adsabs.harvard.edu/search/q=UGC00731%20OR%20UGC%20%20%20731,literature query route,route_only_not_measurement
UGC00731,UGC   731,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=17.683249999999997%2049.60219&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC01230,MCG+04-05-005,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=MCG%2B04-05-005,object identity and bibliography gateway,route_only_not_measurement
UGC01230,MCG+04-05-005,NED,https://ned.ipac.caltech.edu/byname?objname=MCG%2B04-05-005,object identity and literature/source gateway,route_only_not_measurement
UGC01230,MCG+04-05-005,ADS,https://ui.adsabs.harvard.edu/search/q=UGC01230%20OR%20MCG%2B04-05-005,literature query route,route_only_not_measurement
UGC01230,MCG+04-05-005,VizieR,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=26.384379%2025.521468&-c.rs=5,coordinate catalog query route,route_only_not_measurement
UGC01281,Z 503-26,SIMBAD,https://simbad.cds.unistra.fr/simbad/sim-id?Ident=Z%20503-26,object identity and bibliography gateway,route_only_not_measurement
UGC01281,Z 503-26,NED,https://ned.ipac.caltech.edu/byname?objname=Z%20503-26,object identity and literature/source gateway,route_only_not_measurement
UGC01281,Z 503-26,ADS,https://ui.adsabs.harvard.edu/search/q=UGC01281%20OR%20Z%20503-26,literature query route,route_only_not_measurement
