object_name,query_variant,resolver,resolved,main_id,ra_deg,dec_deg,oid,otype,error
UGC07125,UGC07125,simbad_tap,True,Z 187-12,182.17297499999995,36.80229722222222,1878166,AG?,
DDO064,DDO064,simbad_tap,True,Z 152-72,147.594869,31.488277,1654339,EmG,
DDO161,DDO161,simbad_tap,True,MCG-03-33-030,195.81973333333335,-17.423030555555556,2059311,GiP,
F563-1,F563-1,simbad_tap,False,,,,,,
F563-1,F 563-1,simbad_tap,False,,,,,,
F563-V2,F563-V2,simbad_tap,False,,,,,,
F563-V2,F 563-V2,simbad_tap,False,,,,,,
F568-V1,F568-V1,simbad_tap,False,,,,,,
F568-V1,F 568-V1,simbad_tap,False,,,,,,
F583-1,F583-1,simbad_tap,False,,,,,,
F583-1,F 583-1,simbad_tap,False,,,,,,
NGC0100,NGC0100,simbad_tap,True,NGC   100,6.011820833333334,16.48638888888889,1451562,LSB,
NGC1003,NGC1003,simbad_tap,True,NGC  1003,39.820387499999995,40.87229166666666,27592,GiG,
NGC3109,NGC3109,simbad_tap,True,NGC  3109,150.77865416666668,-26.159572222222227,1681685,AG?,
NGC3741,NGC3741,simbad_tap,True,NGC  3741,174.023974,45.284155,610779,AG?,
NGC5585,NGC5585,simbad_tap,True,NGC  5585,214.95084999999997,56.72905000000001,499802,GiG,
UGC00128,UGC00128,simbad_tap,True,MCG+06-01-019,3.4620799999999994,35.99416999999999,1530902,LSB,
UGC00731,UGC00731,simbad_tap,True,UGC   731,17.683249999999997,49.60219,46565,AG?,
UGC01230,UGC01230,simbad_tap,True,MCG+04-05-005,26.384379,25.521468,1495211,LSB,
UGC01281,UGC01281,simbad_tap,True,Z 503-26,27.382130000000004,32.58783,1535956,LSB,
UGC04278,UGC04278,simbad_tap,True,IC 2233,123.49545416666668,45.742149999999995,511406,LSB,
UGC04499,UGC04499,simbad_tap,True,Z 263-63,129.42287083333332,51.65238333333334,492217,GiP,
UGC05005,UGC05005,simbad_tap,True,UGC  5005,141.12249883333334,22.27472813888889,1629961,LSB,
UGC05721,UGC05721,simbad_tap,True,NGC  3274,158.07177242411,27.66865700729,1727956,EmG,
UGC06446,UGC06446,simbad_tap,True,Z 268-36,171.66860698457,53.746670149799996,552771,GiC,
UGC06667,UGC06667,simbad_tap,True,Z 268-71,175.6096208333333,51.59800555555556,569667,GiC,
UGC07399,UGC07399,simbad_tap,True,NGC  4288,185.15882916666664,46.291019444444444,609076,GiG,
UGC07524,UGC07524,simbad_tap,True,NGC  4395,186.45359712911997,33.54686115781999,1927927,Sy2,
UGC07603,UGC07603,simbad_tap,True,NGC  4455,187.18385083351998,22.82042726653,1931388,EmG,
