object_name,label_family,readiness_status,same_object_source_lead_count,measurement_table_hit_count,best_source_lead,promotion_blocker
UGC07125,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,no extracted same-object target-label measurement with audited source provenance
UGC07125,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,no extracted same-object target-label measurement with audited source provenance
UGC07125,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,no extracted same-object target-label measurement with audited source provenance
UGC07125,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,no extracted same-object target-label measurement with audited source provenance
UGC07125,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,no extracted same-object target-label measurement with audited source provenance
UGC07125,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,no extracted same-object target-label measurement with audited source provenance
UGC07125,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,no extracted same-object target-label measurement with audited source provenance
UGC07125,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,no extracted same-object target-label measurement with audited source provenance
UGC07125,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,no extracted same-object target-label measurement with audited source provenance
DDO064,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,no extracted same-object target-label measurement with audited source provenance
DDO064,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,no extracted same-object target-label measurement with audited source provenance
DDO064,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,no extracted same-object target-label measurement with audited source provenance
DDO064,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,no extracted same-object target-label measurement with audited source provenance
DDO064,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,no extracted same-object target-label measurement with audited source provenance
DDO064,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,no extracted same-object target-label measurement with audited source provenance
DDO064,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,no extracted same-object target-label measurement with audited source provenance
DDO064,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,no extracted same-object target-label measurement with audited source provenance
DDO064,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,no extracted same-object target-label measurement with audited source provenance
DDO161,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO161 / MCG-03-33-030,no extracted same-object target-label measurement with audited source provenance
DDO161,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO161 / MCG-03-33-030,no extracted same-object target-label measurement with audited source provenance
DDO161,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO161 / MCG-03-33-030,no extracted same-object target-label measurement with audited source provenance
DDO161,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO161 / MCG-03-33-030,no extracted same-object target-label measurement with audited source provenance
DDO161,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO161 / MCG-03-33-030,no extracted same-object target-label measurement with audited source provenance
DDO161,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO161 / MCG-03-33-030,no extracted same-object target-label measurement with audited source provenance
DDO161,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO161 / MCG-03-33-030,no extracted same-object target-label measurement with audited source provenance
DDO161,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO161 / MCG-03-33-030,no extracted same-object target-label measurement with audited source provenance
DDO161,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for DDO161 / MCG-03-33-030,no extracted same-object target-label measurement with audited source provenance
