object_name,canonical_main_id,oid,bibcode,source_title,source_year,journal,source_doi,source_url,matched_label_families,evidence_class,promotion_ready
UGC07125,Z 187-12,1878166,,Object-resolved ADS/SIMBAD bibliography route for UGC07125 / Z 187-12,,,,https://ui.adsabs.harvard.edu/search/q=UGC07125%20OR%20Z%20187-12,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
DDO064,Z 152-72,1654339,,Object-resolved ADS/SIMBAD bibliography route for DDO064 / Z 152-72,,,,https://ui.adsabs.harvard.edu/search/q=DDO064%20OR%20Z%20152-72,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
DDO161,MCG-03-33-030,2059311,,Object-resolved ADS/SIMBAD bibliography route for DDO161 / MCG-03-33-030,,,,https://ui.adsabs.harvard.edu/search/q=DDO161%20OR%20MCG-03-33-030,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
NGC0100,NGC   100,1451562,,Object-resolved ADS/SIMBAD bibliography route for NGC0100 / NGC   100,,,,https://ui.adsabs.harvard.edu/search/q=NGC0100%20OR%20NGC%20%20%20100,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
NGC1003,NGC  1003,27592,,Object-resolved ADS/SIMBAD bibliography route for NGC1003 / NGC  1003,,,,https://ui.adsabs.harvard.edu/search/q=NGC1003%20OR%20NGC%20%201003,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
NGC3109,NGC  3109,1681685,,Object-resolved ADS/SIMBAD bibliography route for NGC3109 / NGC  3109,,,,https://ui.adsabs.harvard.edu/search/q=NGC3109%20OR%20NGC%20%203109,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
NGC3741,NGC  3741,610779,,Object-resolved ADS/SIMBAD bibliography route for NGC3741 / NGC  3741,,,,https://ui.adsabs.harvard.edu/search/q=NGC3741%20OR%20NGC%20%203741,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
NGC5585,NGC  5585,499802,,Object-resolved ADS/SIMBAD bibliography route for NGC5585 / NGC  5585,,,,https://ui.adsabs.harvard.edu/search/q=NGC5585%20OR%20NGC%20%205585,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC00128,MCG+06-01-019,1530902,,Object-resolved ADS/SIMBAD bibliography route for UGC00128 / MCG+06-01-019,,,,https://ui.adsabs.harvard.edu/search/q=UGC00128%20OR%20MCG%2B06-01-019,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC00731,UGC   731,46565,,Object-resolved ADS/SIMBAD bibliography route for UGC00731 / UGC   731,,,,https://ui.adsabs.harvard.edu/search/q=UGC00731%20OR%20UGC%20%20%20731,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC01230,MCG+04-05-005,1495211,,Object-resolved ADS/SIMBAD bibliography route for UGC01230 / MCG+04-05-005,,,,https://ui.adsabs.harvard.edu/search/q=UGC01230%20OR%20MCG%2B04-05-005,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC01281,Z 503-26,1535956,,Object-resolved ADS/SIMBAD bibliography route for UGC01281 / Z 503-26,,,,https://ui.adsabs.harvard.edu/search/q=UGC01281%20OR%20Z%20503-26,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC04278,IC 2233,511406,,Object-resolved ADS/SIMBAD bibliography route for UGC04278 / IC 2233,,,,https://ui.adsabs.harvard.edu/search/q=UGC04278%20OR%20IC%202233,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC04499,Z 263-63,492217,,Object-resolved ADS/SIMBAD bibliography route for UGC04499 / Z 263-63,,,,https://ui.adsabs.harvard.edu/search/q=UGC04499%20OR%20Z%20263-63,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC05005,UGC  5005,1629961,,Object-resolved ADS/SIMBAD bibliography route for UGC05005 / UGC  5005,,,,https://ui.adsabs.harvard.edu/search/q=UGC05005%20OR%20UGC%20%205005,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC05721,NGC  3274,1727956,,Object-resolved ADS/SIMBAD bibliography route for UGC05721 / NGC  3274,,,,https://ui.adsabs.harvard.edu/search/q=UGC05721%20OR%20NGC%20%203274,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC06446,Z 268-36,552771,,Object-resolved ADS/SIMBAD bibliography route for UGC06446 / Z 268-36,,,,https://ui.adsabs.harvard.edu/search/q=UGC06446%20OR%20Z%20268-36,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC06667,Z 268-71,569667,,Object-resolved ADS/SIMBAD bibliography route for UGC06667 / Z 268-71,,,,https://ui.adsabs.harvard.edu/search/q=UGC06667%20OR%20Z%20268-71,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC07399,NGC  4288,609076,,Object-resolved ADS/SIMBAD bibliography route for UGC07399 / NGC  4288,,,,https://ui.adsabs.harvard.edu/search/q=UGC07399%20OR%20NGC%20%204288,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC07524,NGC  4395,1927927,,Object-resolved ADS/SIMBAD bibliography route for UGC07524 / NGC  4395,,,,https://ui.adsabs.harvard.edu/search/q=UGC07524%20OR%20NGC%20%204395,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
UGC07603,NGC  4455,1931388,,Object-resolved ADS/SIMBAD bibliography route for UGC07603 / NGC  4455,,,,https://ui.adsabs.harvard.edu/search/q=UGC07603%20OR%20NGC%20%204455,A/R mismatch;H I asymmetry;SFE/depletion;Vrot/sigma;burstiness;centroid offset;external morphology;lopsidedness;warp / PA twist,bibliography_source_lead_not_measurement,False
