object_name,canonical_main_id,oid,measurement_table,bibcode,measurement_fields_present,measurement_preview,source_url,evidence_class,promotion_ready
UGC07125,Z 187-12,1878166,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=182.17297499999995%2036.80229722222222&-c.rs=5,simbad_measurement_table_no_hit,False
UGC07125,Z 187-12,1878166,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=182.17297499999995%2036.80229722222222&-c.rs=5,simbad_measurement_table_no_hit,False
DDO064,Z 152-72,1654339,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=147.594869%2031.488277&-c.rs=5,simbad_measurement_table_no_hit,False
DDO064,Z 152-72,1654339,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=147.594869%2031.488277&-c.rs=5,simbad_measurement_table_no_hit,False
DDO161,MCG-03-33-030,2059311,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=195.81973333333335%20-17.423030555555556&-c.rs=5,simbad_measurement_table_no_hit,False
DDO161,MCG-03-33-030,2059311,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=195.81973333333335%20-17.423030555555556&-c.rs=5,simbad_measurement_table_no_hit,False
NGC0100,NGC   100,1451562,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=6.011820833333334%2016.48638888888889&-c.rs=5,simbad_measurement_table_no_hit,False
NGC0100,NGC   100,1451562,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=6.011820833333334%2016.48638888888889&-c.rs=5,simbad_measurement_table_no_hit,False
NGC1003,NGC  1003,27592,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=39.820387499999995%2040.87229166666666&-c.rs=5,simbad_measurement_table_no_hit,False
NGC1003,NGC  1003,27592,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=39.820387499999995%2040.87229166666666&-c.rs=5,simbad_measurement_table_no_hit,False
NGC3109,NGC  3109,1681685,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=150.77865416666668%20-26.159572222222227&-c.rs=5,simbad_measurement_table_no_hit,False
NGC3109,NGC  3109,1681685,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=150.77865416666668%20-26.159572222222227&-c.rs=5,simbad_measurement_table_no_hit,False
NGC3741,NGC  3741,610779,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=174.023974%2045.284155&-c.rs=5,simbad_measurement_table_no_hit,False
NGC3741,NGC  3741,610779,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=174.023974%2045.284155&-c.rs=5,simbad_measurement_table_no_hit,False
NGC5585,NGC  5585,499802,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=214.95084999999997%2056.72905000000001&-c.rs=5,simbad_measurement_table_no_hit,False
NGC5585,NGC  5585,499802,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=214.95084999999997%2056.72905000000001&-c.rs=5,simbad_measurement_table_no_hit,False
UGC00128,MCG+06-01-019,1530902,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=3.4620799999999994%2035.99416999999999&-c.rs=5,simbad_measurement_table_no_hit,False
UGC00128,MCG+06-01-019,1530902,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=3.4620799999999994%2035.99416999999999&-c.rs=5,simbad_measurement_table_no_hit,False
UGC00731,UGC   731,46565,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=17.683249999999997%2049.60219&-c.rs=5,simbad_measurement_table_no_hit,False
UGC00731,UGC   731,46565,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=17.683249999999997%2049.60219&-c.rs=5,simbad_measurement_table_no_hit,False
UGC01230,MCG+04-05-005,1495211,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=26.384379%2025.521468&-c.rs=5,simbad_measurement_table_no_hit,False
UGC01230,MCG+04-05-005,1495211,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=26.384379%2025.521468&-c.rs=5,simbad_measurement_table_no_hit,False
UGC01281,Z 503-26,1535956,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=27.382130000000004%2032.58783&-c.rs=5,simbad_measurement_table_no_hit,False
UGC01281,Z 503-26,1535956,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=27.382130000000004%2032.58783&-c.rs=5,simbad_measurement_table_no_hit,False
UGC04278,IC 2233,511406,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=123.49545416666668%2045.742149999999995&-c.rs=5,simbad_measurement_table_no_hit,False
UGC04278,IC 2233,511406,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=123.49545416666668%2045.742149999999995&-c.rs=5,simbad_measurement_table_no_hit,False
UGC04499,Z 263-63,492217,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=129.42287083333332%2051.65238333333334&-c.rs=5,simbad_measurement_table_no_hit,False
UGC04499,Z 263-63,492217,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=129.42287083333332%2051.65238333333334&-c.rs=5,simbad_measurement_table_no_hit,False
UGC05005,UGC  5005,1629961,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=141.12249883333334%2022.27472813888889&-c.rs=5,simbad_measurement_table_no_hit,False
UGC05005,UGC  5005,1629961,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=141.12249883333334%2022.27472813888889&-c.rs=5,simbad_measurement_table_no_hit,False
UGC05721,NGC  3274,1727956,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=158.07177242411%2027.66865700729&-c.rs=5,simbad_measurement_table_no_hit,False
UGC05721,NGC  3274,1727956,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=158.07177242411%2027.66865700729&-c.rs=5,simbad_measurement_table_no_hit,False
UGC06446,Z 268-36,552771,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=171.66860698457%2053.746670149799996&-c.rs=5,simbad_measurement_table_no_hit,False
UGC06446,Z 268-36,552771,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=171.66860698457%2053.746670149799996&-c.rs=5,simbad_measurement_table_no_hit,False
UGC06667,Z 268-71,569667,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=175.6096208333333%2051.59800555555556&-c.rs=5,simbad_measurement_table_no_hit,False
UGC06667,Z 268-71,569667,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=175.6096208333333%2051.59800555555556&-c.rs=5,simbad_measurement_table_no_hit,False
UGC07399,NGC  4288,609076,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=185.15882916666664%2046.291019444444444&-c.rs=5,simbad_measurement_table_no_hit,False
UGC07399,NGC  4288,609076,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=185.15882916666664%2046.291019444444444&-c.rs=5,simbad_measurement_table_no_hit,False
UGC07524,NGC  4395,1927927,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=186.45359712911997%2033.54686115781999&-c.rs=5,simbad_measurement_table_no_hit,False
UGC07524,NGC  4395,1927927,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=186.45359712911997%2033.54686115781999&-c.rs=5,simbad_measurement_table_no_hit,False
UGC07603,NGC  4455,1931388,SIMBAD mesVelocities scout,,bibcode;nature;radial_velocity_or_velocity_dispersion_fields_if_present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=187.18385083351998%2022.82042726653&-c.rs=5,simbad_measurement_table_no_hit,False
UGC07603,NGC  4455,1931388,VizieR coordinate catalog scout,,catalog-dependent resolved-HI/velocity-field/asymmetry columns if present,route recorded; no measurement extracted in M66,https://vizier.cds.unistra.fr/viz-bin/VizieR?-c=187.18385083351998%2022.82042726653&-c.rs=5,simbad_measurement_table_no_hit,False
