object_name,label_family,decision,evidence_class,reason,tier_after_decision
UGC07125,A/R mismatch,not_promoted,source_lead_ready_for_manual_extraction,"source/table scout only; extracted same-object measurement absent; UGC07125 remains quarantined follow-up, not clean scalar inference",unpromoted_missing_extracted_measurement
UGC07125,H I asymmetry,not_promoted,source_lead_ready_for_manual_extraction,"source/table scout only; extracted same-object measurement absent; UGC07125 remains quarantined follow-up, not clean scalar inference",unpromoted_missing_extracted_measurement
UGC07125,SFE/depletion,not_promoted,source_lead_ready_for_manual_extraction,"source/table scout only; extracted same-object measurement absent; UGC07125 remains quarantined follow-up, not clean scalar inference",unpromoted_missing_extracted_measurement
UGC07125,Vrot/sigma,not_promoted,source_lead_ready_for_manual_extraction,"source/table scout only; extracted same-object measurement absent; UGC07125 remains quarantined follow-up, not clean scalar inference",unpromoted_missing_extracted_measurement
UGC07125,burstiness,not_promoted,source_lead_ready_for_manual_extraction,"source/table scout only; extracted same-object measurement absent; UGC07125 remains quarantined follow-up, not clean scalar inference",unpromoted_missing_extracted_measurement
UGC07125,centroid offset,not_promoted,source_lead_ready_for_manual_extraction,"source/table scout only; extracted same-object measurement absent; UGC07125 remains quarantined follow-up, not clean scalar inference",unpromoted_missing_extracted_measurement
UGC07125,external morphology,not_promoted,source_lead_ready_for_manual_extraction,"source/table scout only; extracted same-object measurement absent; UGC07125 remains quarantined follow-up, not clean scalar inference",unpromoted_missing_extracted_measurement
UGC07125,lopsidedness,not_promoted,source_lead_ready_for_manual_extraction,"source/table scout only; extracted same-object measurement absent; UGC07125 remains quarantined follow-up, not clean scalar inference",unpromoted_missing_extracted_measurement
UGC07125,warp / PA twist,not_promoted,source_lead_ready_for_manual_extraction,"source/table scout only; extracted same-object measurement absent; UGC07125 remains quarantined follow-up, not clean scalar inference",unpromoted_missing_extracted_measurement
DDO064,A/R mismatch,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO064,H I asymmetry,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO064,SFE/depletion,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO064,Vrot/sigma,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO064,burstiness,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO064,centroid offset,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO064,external morphology,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO064,lopsidedness,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO064,warp / PA twist,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO161,A/R mismatch,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO161,H I asymmetry,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO161,SFE/depletion,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO161,Vrot/sigma,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO161,burstiness,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
DDO161,centroid offset,not_promoted,source_lead_ready_for_manual_extraction,source/table scout only; extracted same-object measurement absent,unpromoted_missing_extracted_measurement
