object_name,context_family,measurement_name,measurement_value,measurement_units,source_field,source_reference_code,evidence_class,usable_as_direct_target_label,claim_boundary
UGC07125,velocity_context,flat_velocity,65.2,km/s,Vflat,"Sw09,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
UGC07125,velocity_context,flat_velocity_uncertainty,2.1,km/s,e_Vflat,"Sw09,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
UGC07125,hi_extent_context,hi_radius,23.04,kpc,RHI,"Sw09,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
UGC07125,disk_structure_context,disk_scale_length,3.38,kpc,Rdisk,"Sw09,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
UGC07125,hi_extent_context,hi_radius_over_disk_scale,6.816568047337278,dimensionless,RHI_over_Rdisk,"Sw09,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
UGC07125,geometry_context,inclination,90.0,deg,Inc,"Sw09,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
UGC07125,source_reference_context,sparc_reference_code,"Sw09,Sw02",reference_code,Ref,"Sw09,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
DDO064,velocity_context,flat_velocity,46.1,km/s,Vflat,"dB02,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
DDO064,velocity_context,flat_velocity_uncertainty,3.9,km/s,e_Vflat,"dB02,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
DDO064,hi_extent_context,hi_radius,3.49,kpc,RHI,"dB02,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
DDO064,disk_structure_context,disk_scale_length,0.69,kpc,Rdisk,"dB02,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
DDO064,hi_extent_context,hi_radius_over_disk_scale,5.057971014492754,dimensionless,RHI_over_Rdisk,"dB02,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
DDO064,geometry_context,inclination,60.0,deg,Inc,"dB02,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
DDO064,source_reference_context,sparc_reference_code,"dB02,Sw02",reference_code,Ref,"dB02,Sw02",same_object_sparc_table1_context_inventory,False,context/inventory scalar only; not a direct target dynamical label
