object_name,label_family,candidate_value,candidate_units,source_title,source_year,source_url,source_table,source_field,source_reference_code,evidence_class,same_object_evidence,direct_or_proxy,promotion_ready,promotion_blocker
UGC07125,external morphology,9.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"Sw09,Sw02",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC07125 matched object_name=UGC07125,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
DDO064,external morphology,10.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"dB02,Sw02",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=DDO064 matched object_name=DDO064,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
DDO161,external morphology,10.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,Co00,same_object_sparc_table1_external_morphology,SPARC row galaxy_name=DDO161 matched object_name=DDO161,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
F563-1,external morphology,9.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"KN08,dB96",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=F563-1 matched object_name=F563-1,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
F563-V2,external morphology,10.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"dB01,dB96",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=F563-V2 matched object_name=F563-V2,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
F568-V1,external morphology,7.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"dB01,dB96",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=F568-V1 matched object_name=F568-V1,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
F583-1,external morphology,9.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"KN08,dB96",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=F583-1 matched object_name=F583-1,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
NGC0100,external morphology,6.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"dB02,Rh96",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=NGC0100 matched object_name=NGC0100,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
NGC1003,external morphology,6.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"Sa96,Br92",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=NGC1003 matched object_name=NGC1003,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
NGC3109,external morphology,9.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"Be91,JC90",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=NGC3109 matched object_name=NGC3109,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
