object_name,label_family,sparc_table1_support_status,direct_measurement_available,reason
UGC07125,A/R mismatch,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct A/R mismatch measurement; use source-specific H I/velocity-field literature extraction.
UGC07125,H I asymmetry,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct H I asymmetry measurement; use source-specific H I/velocity-field literature extraction.
UGC07125,SFE/depletion,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct SFE/depletion measurement; use source-specific H I/velocity-field literature extraction.
UGC07125,Vrot/sigma,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct Vrot/sigma measurement; use source-specific H I/velocity-field literature extraction.
UGC07125,burstiness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct burstiness measurement; use source-specific H I/velocity-field literature extraction.
UGC07125,centroid offset,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct centroid offset measurement; use source-specific H I/velocity-field literature extraction.
UGC07125,external morphology,direct_external_morphology_available,True,"SPARC Table-1 provides same-object numerical morphology type T; this is morphology, not map-level dynamics."
UGC07125,lopsidedness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct lopsidedness measurement; use source-specific H I/velocity-field literature extraction.
UGC07125,warp / PA twist,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct warp / PA twist measurement; use source-specific H I/velocity-field literature extraction.
DDO064,A/R mismatch,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct A/R mismatch measurement; use source-specific H I/velocity-field literature extraction.
DDO064,H I asymmetry,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct H I asymmetry measurement; use source-specific H I/velocity-field literature extraction.
DDO064,SFE/depletion,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct SFE/depletion measurement; use source-specific H I/velocity-field literature extraction.
DDO064,Vrot/sigma,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct Vrot/sigma measurement; use source-specific H I/velocity-field literature extraction.
DDO064,burstiness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct burstiness measurement; use source-specific H I/velocity-field literature extraction.
DDO064,centroid offset,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct centroid offset measurement; use source-specific H I/velocity-field literature extraction.
DDO064,external morphology,direct_external_morphology_available,True,"SPARC Table-1 provides same-object numerical morphology type T; this is morphology, not map-level dynamics."
DDO064,lopsidedness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct lopsidedness measurement; use source-specific H I/velocity-field literature extraction.
DDO064,warp / PA twist,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct warp / PA twist measurement; use source-specific H I/velocity-field literature extraction.
DDO161,A/R mismatch,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct A/R mismatch measurement; use source-specific H I/velocity-field literature extraction.
DDO161,H I asymmetry,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct H I asymmetry measurement; use source-specific H I/velocity-field literature extraction.
DDO161,SFE/depletion,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct SFE/depletion measurement; use source-specific H I/velocity-field literature extraction.
DDO161,Vrot/sigma,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct Vrot/sigma measurement; use source-specific H I/velocity-field literature extraction.
DDO161,burstiness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct burstiness measurement; use source-specific H I/velocity-field literature extraction.
DDO161,centroid offset,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct centroid offset measurement; use source-specific H I/velocity-field literature extraction.
DDO161,external morphology,direct_external_morphology_available,True,"SPARC Table-1 provides same-object numerical morphology type T; this is morphology, not map-level dynamics."
DDO161,lopsidedness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct lopsidedness measurement; use source-specific H I/velocity-field literature extraction.
DDO161,warp / PA twist,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct warp / PA twist measurement; use source-specific H I/velocity-field literature extraction.
F563-1,A/R mismatch,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct A/R mismatch measurement; use source-specific H I/velocity-field literature extraction.
F563-1,H I asymmetry,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct H I asymmetry measurement; use source-specific H I/velocity-field literature extraction.
F563-1,SFE/depletion,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct SFE/depletion measurement; use source-specific H I/velocity-field literature extraction.
F563-1,Vrot/sigma,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct Vrot/sigma measurement; use source-specific H I/velocity-field literature extraction.
F563-1,burstiness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct burstiness measurement; use source-specific H I/velocity-field literature extraction.
F563-1,centroid offset,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct centroid offset measurement; use source-specific H I/velocity-field literature extraction.
F563-1,external morphology,direct_external_morphology_available,True,"SPARC Table-1 provides same-object numerical morphology type T; this is morphology, not map-level dynamics."
F563-1,lopsidedness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct lopsidedness measurement; use source-specific H I/velocity-field literature extraction.
F563-1,warp / PA twist,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct warp / PA twist measurement; use source-specific H I/velocity-field literature extraction.
F563-V2,A/R mismatch,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct A/R mismatch measurement; use source-specific H I/velocity-field literature extraction.
F563-V2,H I asymmetry,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct H I asymmetry measurement; use source-specific H I/velocity-field literature extraction.
F563-V2,SFE/depletion,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct SFE/depletion measurement; use source-specific H I/velocity-field literature extraction.
F563-V2,Vrot/sigma,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct Vrot/sigma measurement; use source-specific H I/velocity-field literature extraction.
F563-V2,burstiness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct burstiness measurement; use source-specific H I/velocity-field literature extraction.
F563-V2,centroid offset,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct centroid offset measurement; use source-specific H I/velocity-field literature extraction.
F563-V2,external morphology,direct_external_morphology_available,True,"SPARC Table-1 provides same-object numerical morphology type T; this is morphology, not map-level dynamics."
F563-V2,lopsidedness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct lopsidedness measurement; use source-specific H I/velocity-field literature extraction.
F563-V2,warp / PA twist,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct warp / PA twist measurement; use source-specific H I/velocity-field literature extraction.
F568-V1,A/R mismatch,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct A/R mismatch measurement; use source-specific H I/velocity-field literature extraction.
F568-V1,H I asymmetry,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct H I asymmetry measurement; use source-specific H I/velocity-field literature extraction.
F568-V1,SFE/depletion,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct SFE/depletion measurement; use source-specific H I/velocity-field literature extraction.
F568-V1,Vrot/sigma,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct Vrot/sigma measurement; use source-specific H I/velocity-field literature extraction.
F568-V1,burstiness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct burstiness measurement; use source-specific H I/velocity-field literature extraction.
F568-V1,centroid offset,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct centroid offset measurement; use source-specific H I/velocity-field literature extraction.
F568-V1,external morphology,direct_external_morphology_available,True,"SPARC Table-1 provides same-object numerical morphology type T; this is morphology, not map-level dynamics."
F568-V1,lopsidedness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct lopsidedness measurement; use source-specific H I/velocity-field literature extraction.
F568-V1,warp / PA twist,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct warp / PA twist measurement; use source-specific H I/velocity-field literature extraction.
F583-1,A/R mismatch,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct A/R mismatch measurement; use source-specific H I/velocity-field literature extraction.
F583-1,H I asymmetry,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct H I asymmetry measurement; use source-specific H I/velocity-field literature extraction.
F583-1,SFE/depletion,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct SFE/depletion measurement; use source-specific H I/velocity-field literature extraction.
F583-1,Vrot/sigma,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct Vrot/sigma measurement; use source-specific H I/velocity-field literature extraction.
F583-1,burstiness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct burstiness measurement; use source-specific H I/velocity-field literature extraction.
F583-1,centroid offset,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct centroid offset measurement; use source-specific H I/velocity-field literature extraction.
F583-1,external morphology,direct_external_morphology_available,True,"SPARC Table-1 provides same-object numerical morphology type T; this is morphology, not map-level dynamics."
F583-1,lopsidedness,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct lopsidedness measurement; use source-specific H I/velocity-field literature extraction.
F583-1,warp / PA twist,sparc_table1_context_only_not_target_label,False,SPARC Table-1 scalar schema does not provide direct warp / PA twist measurement; use source-specific H I/velocity-field literature extraction.
