column_name,present,dtype,non_null_count,example_value,schema_role
D,True,float64,87,7.72,available_context
Inc,True,float64,87,59.0,required_for_m67
L36,True,float64,87,0.196,available_context
MHI,True,float64,87,0.29,available_context
Q,True,float64,87,1.0,available_context
RHI,True,float64,87,0.0,required_for_m67
Rdisk,True,float64,87,0.7,required_for_m67
Ref,True,str,87,"Tr09,dB01",required_for_m67
Reff,True,float64,87,1.22,available_context
SBdisk,True,float64,87,115.04,available_context
SBeff,True,float64,87,20.93,available_context
T,True,float64,87,10.0,required_for_m67
Vflat,True,float64,87,57.7,required_for_m67
e_Vflat,True,float64,87,2.7,required_for_m67
galaxy_name,True,str,87,D631-7,required_for_m67
