object_name,label_family,unresolved_reason,recommended_next_action
UGC07125,A/R mismatch,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for A/R mismatch; do not infer it from SPARC Table-1 scalars.
UGC07125,H I asymmetry,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for H I asymmetry; do not infer it from SPARC Table-1 scalars.
UGC07125,SFE/depletion,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for SFE/depletion; do not infer it from SPARC Table-1 scalars.
UGC07125,Vrot/sigma,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for Vrot/sigma; do not infer it from SPARC Table-1 scalars.
UGC07125,burstiness,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for burstiness; do not infer it from SPARC Table-1 scalars.
UGC07125,centroid offset,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for centroid offset; do not infer it from SPARC Table-1 scalars.
UGC07125,lopsidedness,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for lopsidedness; do not infer it from SPARC Table-1 scalars.
UGC07125,warp / PA twist,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for warp / PA twist; do not infer it from SPARC Table-1 scalars.
DDO064,A/R mismatch,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for A/R mismatch; do not infer it from SPARC Table-1 scalars.
DDO064,H I asymmetry,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for H I asymmetry; do not infer it from SPARC Table-1 scalars.
DDO064,SFE/depletion,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for SFE/depletion; do not infer it from SPARC Table-1 scalars.
DDO064,Vrot/sigma,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for Vrot/sigma; do not infer it from SPARC Table-1 scalars.
DDO064,burstiness,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for burstiness; do not infer it from SPARC Table-1 scalars.
DDO064,centroid offset,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for centroid offset; do not infer it from SPARC Table-1 scalars.
DDO064,lopsidedness,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for lopsidedness; do not infer it from SPARC Table-1 scalars.
DDO064,warp / PA twist,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for warp / PA twist; do not infer it from SPARC Table-1 scalars.
DDO161,A/R mismatch,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for A/R mismatch; do not infer it from SPARC Table-1 scalars.
DDO161,H I asymmetry,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for H I asymmetry; do not infer it from SPARC Table-1 scalars.
DDO161,SFE/depletion,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for SFE/depletion; do not infer it from SPARC Table-1 scalars.
DDO161,Vrot/sigma,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for Vrot/sigma; do not infer it from SPARC Table-1 scalars.
DDO161,burstiness,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for burstiness; do not infer it from SPARC Table-1 scalars.
DDO161,centroid offset,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for centroid offset; do not infer it from SPARC Table-1 scalars.
DDO161,lopsidedness,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for lopsidedness; do not infer it from SPARC Table-1 scalars.
DDO161,warp / PA twist,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for warp / PA twist; do not infer it from SPARC Table-1 scalars.
F563-1,A/R mismatch,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for A/R mismatch; do not infer it from SPARC Table-1 scalars.
F563-1,H I asymmetry,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for H I asymmetry; do not infer it from SPARC Table-1 scalars.
F563-1,SFE/depletion,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for SFE/depletion; do not infer it from SPARC Table-1 scalars.
F563-1,Vrot/sigma,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for Vrot/sigma; do not infer it from SPARC Table-1 scalars.
F563-1,burstiness,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for burstiness; do not infer it from SPARC Table-1 scalars.
F563-1,centroid offset,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for centroid offset; do not infer it from SPARC Table-1 scalars.
F563-1,lopsidedness,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for lopsidedness; do not infer it from SPARC Table-1 scalars.
F563-1,warp / PA twist,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for warp / PA twist; do not infer it from SPARC Table-1 scalars.
F563-V2,A/R mismatch,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for A/R mismatch; do not infer it from SPARC Table-1 scalars.
F563-V2,H I asymmetry,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for H I asymmetry; do not infer it from SPARC Table-1 scalars.
F563-V2,SFE/depletion,sparc_table1_context_only_not_target_label,Perform source-specific extraction from resolved H I / velocity-field / morphology literature for SFE/depletion; do not infer it from SPARC Table-1 scalars.
