object_name,label_relevance,measurement_name,measurement_value,measurement_units,source_title,source_year,source_table,source_field,evidence_class,direct_or_proxy,usable_as_tier_a_target_label,claim_boundary
UGC07125,source_metadata,rotmod_distance,19.8,Mpc,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Distance,same_object_sparc_rotmod_rotation_curve_context,source_metadata_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
UGC07125,Vrot/sigma,outer_observed_rotation_velocity,64.9,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Vobs,same_object_sparc_rotmod_rotation_curve_context,rotation_curve_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
UGC07125,Vrot/sigma,outer_velocity_uncertainty,3.48,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,errV,same_object_sparc_rotmod_rotation_curve_context,rotation_curve_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
UGC07125,rotation_curve_extent,outer_radius,18.68,kpc,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Rad,same_object_sparc_rotmod_rotation_curve_context,rotation_curve_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
UGC07125,baryonic_component_context,outer_gas_velocity_component,34.46,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Vgas,same_object_sparc_rotmod_rotation_curve_context,baryonic_component_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
UGC07125,baryonic_component_context,outer_disk_velocity_component,26.15,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Vdisk,same_object_sparc_rotmod_rotation_curve_context,baryonic_component_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
UGC07125,baryonic_component_context,outer_bulge_velocity_component,0.0,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Vbul,same_object_sparc_rotmod_rotation_curve_context,baryonic_component_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
UGC07125,surface_brightness_context,outer_disk_surface_brightness,0.0,L/pc^2,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,SBdisk,same_object_sparc_rotmod_rotation_curve_context,surface_brightness_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
UGC07125,surface_brightness_context,outer_bulge_surface_brightness,0.0,L/pc^2,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,SBbul,same_object_sparc_rotmod_rotation_curve_context,surface_brightness_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO064,source_metadata,rotmod_distance,6.8,Mpc,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Distance,same_object_sparc_rotmod_rotation_curve_context,source_metadata_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO064,Vrot/sigma,outer_observed_rotation_velocity,46.9,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Vobs,same_object_sparc_rotmod_rotation_curve_context,rotation_curve_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO064,Vrot/sigma,outer_velocity_uncertainty,8.65,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,errV,same_object_sparc_rotmod_rotation_curve_context,rotation_curve_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO064,rotation_curve_extent,outer_radius,2.98,kpc,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Rad,same_object_sparc_rotmod_rotation_curve_context,rotation_curve_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO064,baryonic_component_context,outer_gas_velocity_component,22.17,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Vgas,same_object_sparc_rotmod_rotation_curve_context,baryonic_component_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO064,baryonic_component_context,outer_disk_velocity_component,17.21,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Vdisk,same_object_sparc_rotmod_rotation_curve_context,baryonic_component_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO064,baryonic_component_context,outer_bulge_velocity_component,0.0,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Vbul,same_object_sparc_rotmod_rotation_curve_context,baryonic_component_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO064,surface_brightness_context,outer_disk_surface_brightness,0.0,L/pc^2,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,SBdisk,same_object_sparc_rotmod_rotation_curve_context,surface_brightness_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO064,surface_brightness_context,outer_bulge_surface_brightness,0.0,L/pc^2,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,SBbul,same_object_sparc_rotmod_rotation_curve_context,surface_brightness_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO161,source_metadata,rotmod_distance,7.5,Mpc,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Distance,same_object_sparc_rotmod_rotation_curve_context,source_metadata_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
DDO161,Vrot/sigma,outer_observed_rotation_velocity,66.1,km/s,SPARC Rotmod LTG resolved rotation-curve archive,2016,data/external/m30_web_probe/Rotmod_LTG.zip,Vobs,same_object_sparc_rotmod_rotation_curve_context,rotation_curve_context_not_target_label,False,resolved rotation-curve context only; not a direct target label for M62/M63 dynamical organization families
