galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,M_star_Msun,M_gas_Msun,M_baryon_Msun,Rdisk_kpc,v_flat_obs_km_s,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,RHI_Rd,taxonomy_stage,organization_label_settled,organization_label_score,f_star_ctx,f_gas_ctx,RHI_over_Rdisk,best_m58_architecture_id,best_m58_footprint_score,quality_quarantined,measurement_limited,abs_log10_error_no_governor,A_inferred,rhi_extent_organization_score,fstar_x_rhi_extent_organization,clean_scalar_sample,pred_m4_fstar_rhi_interaction,quality_quarantined_pred,measurement_limited_pred,phase_region,stable_activation_score,boundary_distance,testability_class,target_role,priority_bin,acquisition_priority_rank,missing_target_label_count,existing_tier_a_label_count,organization_score,S_settle,A_star,A_Sigma,A_gas,A_settle,A_gov_current,v_newton_km_s,v_bdvr_full_km_s,v_bdvr_governed_km_s,organization_claim_boundary,visual_claim_boundary,ugc07125_role
D631-7,1.0,10.0,57.7,2.7,0.196,0.29,0.7,0.0,1.22,20.93,115.04,7.72,59.0,"Tr09,dB01",98000000.0,385700000.0,483700000.0,0.7,57.7,0.20260492040520983,0.7973950795947902,157108665.25214243,8.196200139001826,0.0,,,0.5,,,,,0.5,False,False,,,0.5,,,,,,unassigned_sparc_lite,,,,not_m63_priority_pool,not_m63_priority_pool,,,,0.5,0.5,0.08520658870742095,0.433356195042542,0.12153046598962103,0.5,0.0022437442621278864,44.51234813364735,53.30996314567532,44.53403315994437,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
DDO064,1.0,10.0,46.1,3.9,0.157,0.211,0.69,3.49,1.2,17.41,151.65,6.8,60.0,"dB02,Sw02",78500000.0,280630000.0,359130000.0,0.69,46.1,0.21858379973825634,0.7814162002617436,120053170.9989338,8.0793736356896,5.057971014492754,juvenile_forming,0.0,0.5049400129158044,0.2185837997382563,0.7814162002617436,5.057971014492754,nearest_neighbor_mature_template,0.5143426858601354,False,False,0.0490504596709066,0.7313883056240699,0.8011708887100801,0.175122977093925,True,0.5205209444765992,False,False,measurement_limited,0.2749136722428747,0.2250863277571252,measurement_limited,primary_non_mature_acquisition,minimum_25_pool,2.0,9.0,0.0,0.5956898102429533,0.5956898102429533,0.10139015610308058,0.3239940123096231,0.1396467003997678,0.6825506550337398,0.0031311101223461596,38.63160738634843,49.48542241518229,38.670346540730065,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,274000000.0,1832740000.0,2106740000.0,1.22,66.3,0.1300587637772103,0.8699412362227897,225274176.84051302,8.352711411437879,8.762295081967213,failed_stalled,0.0,0.3492760403991559,0.1300587637772103,0.8699412362227897,8.762295081967213,nearest_neighbor_mature_template,0.434167420669781,False,False,0.0921411828030931,0.5612513207542514,0.6150091016560829,0.0799873234731228,True,0.4452131854559583,False,False,transition,0.626952885371316,0.126952885371316,external_proxy_no_direct_activation_target,primary_non_mature_acquisition,minimum_25_pool,3.0,9.0,0.0,0.44597423483035903,0.44597423483035903,0.03753682421749751,0.588525741698458,0.06276844987981933,0.39359965338866554,0.0005457818646428874,70.36667605242577,77.01354161757533,70.37047502741231,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,274000000.0,1832740000.0,2106740000.0,1.22,66.3,0.1300587637772103,0.8699412362227897,225274176.84051302,8.352711411437879,8.762295081967213,failed_stalled,0.0,0.3492760403991559,0.1300587637772103,0.8699412362227897,8.762295081967213,nearest_neighbor_mature_template,0.434167420669781,False,False,0.0921411828030931,0.5612513207542514,0.6150091016560829,0.0799873234731228,True,0.4452131854559583,False,False,failed_stalled,0.3104364421692375,0.1895635578307625,testable_direct,primary_non_mature_acquisition,minimum_25_pool,3.0,9.0,0.0,0.44597423483035903,0.44597423483035903,0.03753682421749751,0.588525741698458,0.06276844987981933,0.39359965338866554,0.0005457818646428874,70.36667605242577,77.01354161757533,70.37047502741231,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
ESO079-G014,1.0,4.0,175.0,3.5,51.733,3.14,5.08,17.67,7.23,157.34,2295.25,28.7,79.0,Ge04,25866500000.0,4176200000.0000005,30042700000.0,5.08,175.0,0.8609911892073615,0.1390088107926385,185281333.6547091,8.2678316681095,3.478346456692914,mature_or_control,1.0,0.8029659200645272,0.8609911892073615,0.1390088107926385,3.478346456692914,nearest_neighbor_mature_template,1.0,False,False,0.030472395093818,1.0,0.8805553392057646,0.7581503886656629,True,0.8171322287264214,False,False,activated_mature,0.8989649497283893,0.3989649497283892,testable_direct,mature_control_acquisition,preferred_50_pool,31.0,9.0,0.0,0.865649561793993,0.865649561793993,0.9960379181834341,0.5045886789783667,0.9901056370033676,0.9490780269460094,0.47227703293133155,130.22042417164954,149.65771177650524,139.73753916116829,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
ESO116-G012,1.0,7.0,109.1,3.1,4.292,1.083,1.51,9.58,2.75,90.54,1320.78,13.0,74.0,Ge04,2146000000.0,1440390000.0,3586390000.0,1.51,109.1,0.5983732945942856,0.4016267054057144,250336255.5832387,8.398523751963339,6.344370860927152,mature_or_control,1.0,0.6999053372079475,0.5983732945942856,0.4016267054057144,6.344370860927152,nearest_neighbor_mature_template,1.0,False,False,0.0712237279408208,1.0,0.7365225237408978,0.4407154090737389,True,0.6227260416050723,False,False,activated_mature,0.8925043126469241,0.3925043126469241,testable_direct,mature_control_acquisition,preferred_50_pool,32.0,9.0,0.0,0.770909425726243,0.770909425726243,0.9149477350031665,0.6320737492455859,0.8786457123831726,0.8972720991108112,0.45593401908982195,82.52428402081705,87.9688144735149,85.04987022491628,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
ESO563-G021,1.0,4.0,314.6,11.7,311.177,24.298,5.45,55.71,10.59,429.37,6558.89,60.8,83.0,SG06,155588500000.0,32316339999.999996,187904840000.0,5.45,314.6,0.8280175220606345,0.17198247793936547,1006850740.4054103,9.00296509376827,10.222018348623854,mature_or_control,1.0,0.5870690582416639,0.8280175220606345,0.1719824779393654,10.222018348623854,nearest_neighbor_mature_template,1.0,False,False,0.0732446998489913,1.0,0.5416503223011305,0.4484959576951261,True,0.5512314272519138,False,False,activated_mature,0.7963440465481233,0.2963440465481233,testable_direct,mature_control_acquisition,preferred_50_pool,33.0,9.0,0.0,0.6560296258111711,0.6560296258111711,0.9941260210032974,0.9506819267682631,0.9862938510006081,0.7769945293676898,0.7242707823747452,233.88964509869035,243.89540442434864,241.17797700208385,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
F563-1,1.0,9.0,109.9,12.5,1.903,3.2,3.52,23.47,4.61,14.22,41.77,48.9,25.0,"KN08,dB96",951500000.0,4256000000.0,5207500000.0,3.52,109.9,0.18271723475756121,0.8172827652424388,66890444.71131238,7.825364083305407,6.667613636363636,juvenile_forming,0.0,0.3601938963593776,0.1827172347575612,0.8172827652424388,6.667613636363636,nearest_neighbor_mature_template,0.4722110162467076,False,False,0.0343972706855351,1.0,0.7202778724546035,0.1316071811119645,True,0.4856196217707609,False,False,measurement_limited,0.104094057565591,0.3959059424344089,measurement_limited,primary_non_mature_acquisition,minimum_25_pool,4.0,9.0,0.0,0.4906225131654114,0.4906225131654114,0.06835279680605294,0.14785620052202503,0.10184477185106533,0.48125381744181,0.0004953461118167134,65.1305564828556,96.56543030573991,65.14988241756254,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
F563-V2,1.0,10.0,116.6,9.4,2.986,2.169,2.43,11.37,4.49,23.6,146.16,59.7,29.0,"dB01,dB96",1493000000.0,2884770000.0,4377770000.0,2.43,116.6,0.341041215047844,0.658958784952156,117994163.35914354,8.071860525241643,4.679012345679012,juvenile_forming,0.0,0.5139999488833488,0.341041215047844,0.658958784952156,4.679012345679012,nearest_neighbor_mature_template,0.785483181269801,False,False,0.08336072170972,1.0,0.8202155569736935,0.2797273101514526,True,0.5727839512599077,False,False,measurement_limited,0.308378945575656,0.191621054424344,measurement_limited,primary_non_mature_acquisition,minimum_25_pool,5.0,9.0,0.0,0.6601612777877427,0.6601612777877427,0.3290722861140121,0.31744699224891787,0.35579705719190824,0.7826693207660571,0.029089964227069588,71.87284146811513,92.46504718896409,72.55444917801451,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
F568-V1,1.0,7.0,112.3,15.8,3.825,2.491,2.85,14.38,4.4,31.39,90.54,80.6,40.0,"dB01,dB96",1912500000.0,3313030000.0000005,5225530000.0,2.85,112.3,0.36599158362883766,0.6340084163711625,102390757.74392019,8.010260757011247,5.045614035087719,juvenile_forming,0.0,0.5512645885929354,0.3659915836288376,0.6340084163711625,5.045614035087719,nearest_neighbor_mature_template,0.890607272453413,False,False,0.0476065183363852,1.0,0.8017918919826689,0.2934490842874989,True,0.5748526764646347,False,False,measurement_limited,0.3838644757051018,0.1161355242948981,measurement_limited,primary_non_mature_acquisition,minimum_25_pool,6.0,9.0,0.0,0.694291316381951,0.694291316381951,0.3981978994817008,0.26660262682845337,0.4148018394414076,0.8255383152608305,0.03635308712531289,72.5077158237496,96.648906959986,73.52429435617323,dynamic_organization_proxy_not_direct_label,current_governor_visualization_not_model_promotion,not_ugc07125
