formation_index,formation_label,source_galaxy_name,seed_galaxy_name,initialization_mode,initialization_class,initialization_fraction_target,seed_selection_basis,random_initial_position_source,initial_position_within_2sigma,initial_M_baryon_Msun,initial_Rdisk_kpc,initial_f_star,initial_f_gas,initial_log10_Sigma_b,initial_organization_score,maturity_seed_class,baby_galaxy_band
0,random stable spiral outcome track 01/28,UGC11914,UGC11914,random,stable_spiral_initialization,0.7,random_initial_position_stable_spiral_outcome_with_juvenile_low_fstar_high_gas_start,sampled_within_2sigma_of_historic_initial_positions,True,59876645149.20683,2.975437201249013,0.26930346205951206,0.730696537940488,9.031976013550004,0.4369312152647522,stable_spiral_initialization,True
1,random stable spiral outcome track 02/28,NGC7814,NGC7814,random,stable_spiral_initialization,0.7,random_initial_position_stable_spiral_outcome_with_juvenile_low_fstar_high_gas_start,sampled_within_2sigma_of_historic_initial_positions,True,56304000598.44123,2.6709973805102187,0.07689744987342725,0.9231025501265727,9.099012461544913,0.15179353202728846,stable_spiral_initialization,True
2,random stable spiral outcome track 03/28,UGC02487,UGC02487,random,stable_spiral_initialization,0.7,random_initial_position_stable_spiral_outcome_with_juvenile_low_fstar_high_gas_start,sampled_within_2sigma_of_historic_initial_positions,True,278992179746.1127,7.473370247324269,0.1462561246999041,0.8537438753000959,8.900379164250769,0.21576279151887762,stable_spiral_initialization,True
3,random stable spiral outcome track 04/28,UGC03546,UGC03546,random,stable_spiral_initialization,0.7,random_initial_position_stable_spiral_outcome_with_juvenile_low_fstar_high_gas_start,sampled_within_2sigma_of_historic_initial_positions,True,39621446703.85517,3.569708785176795,0.17951984499945728,0.8204801550005427,8.69448488447553,0.2542803954907804,stable_spiral_initialization,True
4,random stable spiral outcome track 05/28,NGC2903,NGC2903,random,stable_spiral_initialization,0.7,random_initial_position_stable_spiral_outcome_with_juvenile_low_fstar_high_gas_start,sampled_within_2sigma_of_historic_initial_positions,True,41133306794.02334,1.9531533891194668,0.19993989149069966,0.8000601085093003,9.23454105331545,0.32914403807239717,stable_spiral_initialization,True
5,random stable spiral outcome track 06/28,NGC2903,NGC2903,random,stable_spiral_initialization,0.7,random_initial_position_stable_spiral_outcome_with_juvenile_low_fstar_high_gas_start,sampled_within_2sigma_of_historic_initial_positions,True,34842481252.86259,5.287171509583835,0.15879054909340065,0.8412094509065994,8.297482409416936,0.34411249432465135,stable_spiral_initialization,True
6,random stable spiral outcome track 07/28,NGC3953,NGC3953,random,stable_spiral_initialization,0.7,random_initial_position_stable_spiral_outcome_with_juvenile_low_fstar_high_gas_start,sampled_within_2sigma_of_historic_initial_positions,True,78464202550.58981,6.324540533933981,0.1920333622345725,0.8079666377654275,8.49443373629397,0.38291236157559694,stable_spiral_initialization,True
7,random stable spiral outcome track 08/28,NGC4217,NGC4217,random,stable_spiral_initialization,0.7,random_initial_position_stable_spiral_outcome_with_juvenile_low_fstar_high_gas_start,sampled_within_2sigma_of_historic_initial_positions,True,57871076794.35186,8.672717089635366,0.17097073126216683,0.8290292687378331,8.087971335665683,0.13321306542875136,stable_spiral_initialization,True
8,random stable spiral outcome track 09/28,UGC06786,UGC06786,random,stable_spiral_initialization,0.7,random_initial_position_stable_spiral_outcome_with_juvenile_low_fstar_high_gas_start,sampled_within_2sigma_of_historic_initial_positions,True,46285087467.65583,2.400867970941241,0.19167352746472796,0.808326472535272,9.106524664627514,0.41750249497271946,stable_spiral_initialization,True
9,random stable spiral outcome track 10/28,NGC3992,NGC3992,random,stable_spiral_initialization,0.7,random_initial_position_stable_spiral_outcome_with_juvenile_low_fstar_high_gas_start,sampled_within_2sigma_of_historic_initial_positions,True,131822500348.7728,3.5966500942358475,0.14135249488728513,0.8586475051127149,9.210013298819813,0.2821122584960048,stable_spiral_initialization,True
