field,value,source
galaxy_name,UGC07125,m5_prediction
T,9.0,m5_prediction
v_flat_obs_km_s,65.2,m5_prediction
v_m5_bdvr_km_s,111.27246923349932,m5_prediction
velocity_ratio_pred_over_obs,1.7066329637039772,m5_prediction
log10_velocity_error,0.2321401297980161,m5_prediction
abs_log10_velocity_error,0.2321401297980161,m5_prediction
M_baryon_Msun,7512569999.999999,m5_prediction
M_star_Msun,1356000000.0,m5_prediction
M_gas_Msun,6156569999.999999,m5_prediction
star_frac,0.1804974862131068,m5_prediction
gas_frac,0.8195025137868931,m5_prediction
stellar_to_gas_ratio,0.2202525107324371,m5_prediction
Rdisk,3.38,m5_prediction
RHI,23.04,m5_prediction
RHI_over_Rdisk,6.816568047337278,m5d_participation
Q_eff,1.13195243693273,m5_prediction
H_halo,1.2573763420608173,m5_prediction
S_star_gas,1.0,m5_prediction
S_internal,1.0,m5_prediction
S_struct,1.0,m5_prediction
M_part_required_Msun,885580433.570339,m5d_participation
participation_fraction_required,0.11787982455675476,m5d_participation
gas_participation_required,-0.0764093588523579,m5d_participation
gas_participation_required_status,stellar_mass_alone_exceeds_required_participating_mass,m5d_participation
