galaxy_name,v_flat_obs_km_s,v_bdvr_m4c_pred_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,M_baryon_Msun,gas_frac,T_morph,r_over_Rdisk_eval,Q_eff
D631-7,57.7,53.31735230904176,0.9240442341255072,-0.0343072385452566,0.0343072385452566,483700000.0,0.7973950795947902,10.0,1.5,1.0242267142793506
DDO064,46.1,51.61208276794634,1.119567955920745,0.0490504596709066,0.0490504596709066,359130000.0,0.7814162002617436,10.0,3.3985507246376816,1.113842848849803
DDO161,66.3,81.96995774448564,1.236349287247144,0.0921411828030931,0.0921411828030931,2106740000.0,0.8699412362227897,10.0,5.217213114754099,1.1599811860996694
ESO079-G014,175.0,163.14195171426232,0.932239724081499,-0.030472395093818,0.030472395093818,30042700000.0,0.1390088107926385,4.0,2.450787401574804,1.2167709155139317
ESO116-G012,109.1,92.59787549913533,0.8487431301478947,-0.0712237279408208,0.0712237279408208,3586390000.0,0.4016267054057144,7.0,4.082781456953643,1.1345412256462997
ESO563-G021,314.6,265.774933672242,0.8448027135163444,-0.0732446998489913,0.0732446998489913,187904840000.0,0.1719824779393654,4.0,6.08256880733945,1.291237252608236
F563-1,109.9,101.53141101041533,0.9238526934523688,-0.0343972706855351,0.0343972706855351,5207500000.0,0.8172827652424388,9.0,3.9886363636363633,1.1319655184513062
F563-V2,116.6,96.2360587736013,0.8253521335643337,-0.08336072170972,0.08336072170972,4377770000.0,0.658958784952156,10.0,3.2633744855967075,1.109165060636936
F568-V1,112.3,100.64060478195164,0.8961763560280644,-0.0476065183363852,0.0476065183363852,5225530000.0,0.6340084163711625,7.0,3.294736842105263,1.1102692115140411
F571-8,139.7,110.55042691224978,0.7913416385987816,-0.1016359820825215,0.1016359820825215,7452060000.0,0.3180409175449473,5.0,3.6446629213483135,1.1218367688181392
F574-1,97.8,110.11177428999484,1.1258872626788838,0.0514949059259186,0.0514949059259186,7955420000.000001,0.5891480273825895,7.0,2.473094170403588,1.07716679821278
F579-V1,112.1,116.08627804268072,1.035560018221951,0.0151752744774168,0.0151752744774168,8909850000.0,0.3351178751606368,5.0,3.964391691394659,1.1312890184270985
F583-1,85.8,90.8593865700958,1.0589672094416762,0.0248825125352315,0.0248825125352315,3320580000.0,0.8515319612838721,9.0,4.108050847457627,1.1352189194619575
IC4202,242.6,228.3944863674295,0.9414447088517292,-0.0262051810596486,0.0262051810596486,106268080000.0,0.1542662669731117,4.0,4.2552301255230125,1.2679928583096862
NGC0024,106.3,86.67043277566295,0.8153380317560014,-0.0886622993703862,0.0886622993703862,2843580000.0,0.3161789012442063,5.0,3.470149253731343,1.1162364457187262
NGC0100,88.1,98.15709556307011,1.1141554547454044,0.0469457908627941,0.0469457908627941,4262700000.0,0.620897553193985,6.0,5.774096385542169,1.1693593905789126
NGC0801,220.1,245.3030507327344,1.1145072727520873,0.0470829068277363,0.0470829068277363,187142330000.0,0.1648869606357899,5.0,3.0246559633027523,1.1022164190471202
NGC0891,216.1,229.16641721395715,1.0604646793797183,0.0254962081605126,0.0254962081605126,75104460000.0,0.0790160797374749,3.0,4.282352941176471,1.5185044875328593
NGC1003,109.8,127.09452762483886,1.1575093590604633,0.0635245111991767,0.0635245111991767,11230400000.0,0.6963598803248326,6.0,11.20807453416149,1.2078224110562814
NGC1090,164.4,187.54039426852225,1.1407566561345637,0.057193011491666,0.057193011491666,47703890000.0,0.2448729023985255,4.0,5.219546742209632,1.2760266520988337
NGC2403,131.2,119.5330568306604,0.9110751282824728,-0.0404458091376348,0.0404458091376348,9275170000.0,0.4587161205670624,6.0,6.212230215827338,1.1756068452660209
NGC2841,284.8,248.00987495300308,0.8708211901439714,-0.0600710115893392,0.0600710115893392,107061250000.0,0.1214328246681222,3.0,6.9546703296703285,1.4895969878945892
NGC2903,184.6,191.88962876215083,1.039488779859972,0.0168198059607071,0.0168198059607071,44325660000.0,0.0765732535059827,4.0,3.9270386266094417,1.3858696800809982
NGC2998,209.9,216.23357970733957,1.0301742720692688,0.0129106994584879,0.0129106994584879,106640830000.0,0.292475499299846,5.0,4.083870967741936,1.134570562883153
NGC3109,66.2,60.60114657567701,0.9154251748591692,-0.0383771483298666,0.0383771483298666,731410000.0,0.8673794451812253,9.0,2.4487179487179485,1.0760395368321398
NGC3198,150.1,165.24669602700308,1.100910699713545,0.041752092637036,0.041752092637036,33595270000.0,0.430291823819246,5.0,6.608280254777069,1.1805203975727063
NGC3521,213.7,191.57487958756008,0.8964664463620032,-0.0474659609066342,0.0474659609066342,47942820000.0,0.1152376935691309,4.0,4.437500000000001,1.3281964900888883
NGC3741,50.1,49.39173079144892,0.9858628900488806,-0.006183480835373,0.006183480835373,256060000.0,0.9453253143794424,10.0,11.3,1.208049174869754
NGC3893,174.0,167.31189672729678,0.9615626248695216,-0.0170224256745111,0.0170224256745111,36975170000.0,0.2085905216933418,5.0,4.888655462184874,1.1535742390269184
NGC3917,135.9,128.3974084712592,0.944793292650914,-0.0246631985603293,0.0246631985603293,13494040000.0,0.1860851160956985,6.0,3.7338403041825097,1.12457522958488
NGC3953,220.8,218.36466856426895,0.9889704192222326,-0.0048166982518404,0.0048166982518404,74417060000.0,0.0506142005610004,4.0,2.4079754601226995,1.3850819860481034
NGC3972,132.7,119.9515871542582,0.9039305738828802,-0.0438649241014279,0.0438649241014279,8791120000.0,0.1836648800152881,4.0,3.1605504587155964,1.2160092734732926
NGC3992,241.0,241.85086279925488,1.0035305510342525,0.0015305984912925,0.0015305984912925,135542670000.0,0.1628761629086988,4.0,4.308467741935484,1.2589377534221928
NGC4088,171.7,202.7172968761069,1.1806482054519911,0.0721205113385047,0.0721205113385047,64583580000.0,0.1694018820263602,4.0,5.494186046511628,1.2813493383213002
NGC4100,158.2,176.30260548306896,1.1144286060876674,0.0470522513938085,0.0470522513938085,33822660000.0,0.1219791701776264,4.0,5.346511627906977,1.3392466685418367
NGC4157,184.7,211.93960028992663,1.1474802397938637,0.0597452154969878,0.0597452154969878,63750580000.0,0.171615379813015,3.0,6.148706896551724,1.4097079381027504
NGC4183,110.6,119.28768175360766,1.0785504679349698,0.032840471583085,0.032840471583085,10081980000.0,0.4625063727561451,6.0,3.681003584229391,1.122962554603194
NGC4217,181.3,202.29379008895256,1.1157958637007863,0.0475847471305848,0.0475847471305848,46056960000.0,0.0739836063865266,3.0,3.738095238095238,1.5109999903814382
NGC4559,121.2,139.70886203436353,1.1527133831218113,0.0617213353931001,0.0617213353931001,17417130000.0,0.4437372862233905,6.0,5.947619047619048,1.1719433183444343
NGC5005,262.2,236.746024207361,0.9029215263438636,-0.0443499929387442,0.0443499929387442,91062400000.0,0.0186948729662297,4.0,1.5,1.471779794234069
NGC5033,194.2,192.28174262335855,0.9901222586166766,-0.0043111761455451,0.0043111761455451,70302120000.0,0.2140421938911657,5.0,3.1463178294573644,1.1049404727764318
NGC5055,179.0,222.4131443276712,1.2425315325568222,0.0943074189278329,0.0943074189278329,92051260000.0,0.1693649820762909,4.0,6.1312500000000005,1.2919717709722296
NGC5371,209.5,268.0821211003315,1.2796282630087423,0.1070838237324706,0.1070838237324706,185065900000.0,0.080346514403788,4.0,2.676747311827957,1.3237912124150844
NGC5585,90.3,93.62765316919872,1.0368510871450578,0.0157163873677569,0.0157163873677569,3709890000.000001,0.6033575119477936,7.0,4.310457516339869,1.140446068891101
NGC5907,215.0,209.66943928085624,0.975206694329564,-0.0109033261546345,0.0109033261546345,115675750000.0,0.2417382208457693,5.0,1.5,1.0242267142793506
NGC5985,293.6,247.0050176965448,0.8412977441980407,-0.0750502755722731,0.0750502755722731,119773380000.0,0.1286544639551793,3.0,3.5813124108416545,1.396942055477627
NGC6195,251.7,279.2021577731948,1.109265624843841,0.0450355547973543,0.0450355547973543,223344310000.0,0.1244997466020065,3.0,1.808106169296987,1.3070647063409546
NGC6503,116.3,115.02422131435556,0.9890302778534444,-0.0047904128483258,0.0047904128483258,8742020000.0,0.2653299809426197,6.0,3.627314814814815,1.1212945194323891
NGC6674,241.3,259.9080388998896,1.077115784914586,0.0322623904351289,0.0322623904351289,150106450000.0,0.2849940825327626,3.0,4.782284768211921,1.3816140505574597
NGC6946,158.9,171.77113572436693,1.081001483476192,0.0338262899432106,0.0338262899432106,40627600000.0,0.1856151975504337,6.0,5.215163934426229,1.159943361944264
NGC7331,239.0,258.50899090409604,1.081627577004586,0.0340777514417192,0.0340777514417192,140034610000.0,0.1051105151790689,3.0,3.0876494023904386,1.4150787367867366
NGC7814,218.9,206.92698513381484,0.9453037237725668,-0.0244286313153802,0.0244286313153802,38687600000.0,0.0367843960338713,2.0,2.801181102362205,1.7250248653833695
UGC00128,129.3,133.19660971606464,1.030136192699649,0.0128946458972553,0.0128946458972553,15893230000.000002,0.621851568246354,8.0,3.4369747899159666,1.1151344967086132
UGC00731,73.3,83.55044525791908,1.139842363682389,0.0568447940412088,0.0568447940412088,2564810000.0,0.9370323727683532,10.0,2.819565217391305,1.0922371192407492
UGC01230,103.7,125.67903163159885,1.211948231741551,0.0834840693771751,0.0834840693771751,12361900000.0,0.6917949506143878,9.0,3.7718894009216593,1.125719092851827
UGC01281,55.2,56.59786875752487,1.0253237093754506,0.0108610000266834,0.0108610000266834,567520000.0,0.6889977445728784,8.0,2.2300613496932518,1.065507628776736
UGC02487,332.0,344.4562886831093,1.0375189418165942,0.0159960343010751,0.0159960343010751,268868290000.0,0.0888568525503695,0.0,3.157794676806084,1.8131988587133503
UGC02885,289.5,267.9255399206608,0.9254768218330252,-0.0336344534924578,0.0336344534924578,255062250000.0,0.2089676147685516,5.0,3.791228070175438,1.1262949308561363
UGC03205,219.6,224.3218621711867,1.0215021046046753,0.0092392657479627,0.0092392657479627,69691410000.0,0.1846771359626674,2.0,5.321316614420063,1.510429888778797
UGC03546,196.9,225.7367528112344,1.146453797923994,0.0593565573555587,0.0593565573555587,54225750000.0,0.0656099731216258,1.0,2.763852242744063,1.7339986571099069
UGC04278,91.4,79.44078140808993,0.8691551576377454,-0.0609026883488162,0.0609026883488162,2137780000.0,0.6943090495747926,7.0,2.5701357466063346,1.0815646977631832
UGC04325,90.9,77.21289184749469,0.8494267529977413,-0.0708740648707405,0.0708740648707405,1914740000.0,0.4709464470371957,9.0,2.5268817204301075,1.0796219985805482
UGC04499,72.8,81.40952833469596,1.1182627518502193,0.0485438592494414,0.0485438592494414,2239000000.0,0.6534167038856633,8.0,3.283236994219653,1.109865684678054
UGC05005,98.9,106.11924294591644,1.0729953786240285,0.0305978514697671,0.0305978514697671,6163690000.0,0.6674070240391713,10.0,4.1609375,1.1366189324078688
UGC05721,79.7,69.50406644054378,0.872071097121001,-0.0594481070070641,0.0594481070070641,1012960000.0,0.7378968567366925,7.0,9.657894736842104,1.2027386693887572
UGC06399,85.0,79.18776867377045,0.9316208079267112,-0.0307608199797454,0.0307608199797454,2044420000.0,0.4384715469424091,9.0,2.987804878048781,1.0989505344988482
UGC06446,82.2,83.18917299910873,1.0120337347823447,0.0051949893670559,0.0051949893670559,2328070000.0,0.7878070676569003,7.0,4.157718120805369,1.136534412801555
UGC06614,199.8,250.63734314036813,1.2544411568586993,0.0984502943067262,0.0984502943067262,91286040000.0,0.3188991438340408,1.0,6.304901960784315,1.64754151219284
