gate_name,xcol,placement,xcrit,k,median_abs_log10_error,mean_abs_log10_error,max_abs_log10_error,frac_within_010_dex,frac_within_015_dex,n_above_020_dex,delta_median_abs_vs_base,delta_frac010_vs_base,target_A,target_new_log10_error,target_new_abs_log10_error
stellar_fraction_source_gate,star_frac,source,0.15395263960754266,4.0,0.040187441298987596,0.04982340156648453,0.1829600792249873,0.8620689655172413,0.9770114942528736,0,-0.001426458170367302,-0.09195402298850575,0.5265199356691739,0.16249383468846126,0.16249383468846126
sigma_star_source_gate,log10_Sigma_star,source,7.043075821983066,2.0,0.04078277826898832,0.050496449006261664,0.18552470445040706,0.8850574712643678,0.9655172413793104,0,-0.0008311212003665747,-0.06896551724137923,0.614517402074651,0.17927367626514137,0.17927367626514137
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.717905802227163,4.0,0.041467941765457705,0.05308628046247452,0.3618365439848468,0.8735632183908046,0.9655172413793104,2,-0.00014595770389719265,-0.08045977011494243,0.7698523780569888,0.20374199370748106,0.20374199370748106
stellar_fraction_source_gate,star_frac,source,0.20835772756794368,4.0,0.04166055763743213,0.0516266540499408,0.19054881229384246,0.8505747126436781,0.9770114942528736,0,4.665816807723072e-05,-0.10344827586206895,0.472168556116077,0.1506643953058172,0.1506643953058172
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.874051142158947,4.0,0.04234687723938852,0.05926435578696992,0.4266125920217396,0.8390804597701149,0.9195402298850575,2,0.0007329777700336229,-0.11494252873563215,0.6417336142102738,0.18397882689044626,0.18397882689044626
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.717905802227163,8.0,0.04251518453677041,0.056554955089934945,0.6555590487984563,0.9080459770114943,0.9540229885057471,2,0.0009012850674155123,-0.04597701149425282,0.9179606627729087,0.22284614750935577,0.22284614750935577
sigma_star_source_gate,log10_Sigma_star,source,7.264722532602023,4.0,0.042534591141832834,0.057276750587251575,0.342233268129992,0.8620689655172413,0.9195402298850575,4,0.0009206916724779357,-0.09195402298850575,0.5115218479527078,0.15935617676981914,0.15935617676981914
sigma_baryon_source_gate,log10_Sigma_baryon,source,7.874051142158947,2.0,0.04289129576267839,0.0580800638638333,0.2574530910548165,0.8275862068965517,0.9540229885057471,2,0.0012773962933234906,-0.12643678160919536,0.572350649324228,0.17155567476223205,0.17155567476223205
stellar_fraction_source_gate,star_frac,source,0.20835772756794368,8.0,0.04315119528186655,0.05171144227382154,0.17120161029696765,0.8620689655172413,0.9655172413793104,0,0.0015372958125116493,-0.09195402298850575,0.44450904303125743,0.14411027995394768,0.14411027995394768
sigma_star_source_gate,log10_Sigma_star,source,7.043075821983066,1.0,0.043304358408409946,0.05342470607449316,0.1964208566722057,0.8620689655172413,0.9655172413793104,0,0.0016904589390550478,-0.09195402298850575,0.5580299705837988,0.16880451094353305,0.16880451094353305
