model_label,placement,activation_name,disorder_name,alpha,beta,gamma,floor,median_abs_log10_error,mean_abs_log10_error,max_abs_log10_error,frac_within_010_dex,frac_within_015_dex,frac_within_020_dex,n_above_020_dex,n_above_030_dex,delta_median_abs_vs_frozen_m4c,delta_frac010_vs_frozen_m4c,target_gate,target_new_pred_km_s,target_new_log10_error,target_new_abs_log10_error,hard_analog_median_abs_log10_error,hard_analog_mean_abs_log10_error,objective
mixed_star_org__gas__low_v_for_mass_symptom,source,mixed_star_org,low_v_for_mass_symptom,1.0,0.25,0.5,0.1,0.05399180557423395,0.06347954428790847,0.1990904320644048,0.7931034482758621,0.9425287356321839,1.0,0,0,0.012377906104879051,-0.16091954022988497,0.24333500836164468,78.15178003972393,0.07869127853148397,0.07869127853148397,0.10586530374719863,0.10874544413479659,0.11324648804641642
mixed_star_org__gas__low_v_for_mass_symptom,source,mixed_star_org,low_v_for_mass_symptom,1.0,0.25,0.25,0.1,0.046938834389813174,0.05645318243303859,0.18507238087835878,0.8045977011494253,0.9540229885057471,1.0,0,0,0.0053249349204582755,-0.14942528735632177,0.3042353161370741,82.63996643058631,0.10294253636369419,0.10294253636369419,0.10993722230882894,0.09502324569404308,0.11691734065949615
star_frac__gas__low_v_for_mass_symptom,source,star_frac,low_v_for_mass_symptom,1.0,0.25,0.5,0.1,0.05177436352596812,0.06021807760507778,0.17987059158041868,0.8045977011494253,0.9655172413793104,1.0,0,0,0.010160464056613222,-0.14942528735632177,0.28347941099840923,81.19290979764826,0.09527051023092065,0.09527051023092065,0.10234347907769445,0.10286125118901765,0.11739667779947031
mixed_star_org__gas__hi_extent,source,mixed_star_org,hi_extent,1.0,0.25,0.25,0.05,0.04184179404822391,0.05772497676713719,0.1962302808319992,0.7931034482758621,0.9310344827586207,1.0,0,0,0.00022789457886901454,-0.16091954022988497,0.3374529219844132,84.80882061605627,0.11419342805384222,0.11419342805384222,0.11715373778664948,0.09960261694517593,0.11856153615834494
star_frac__gas__low_v_for_mass_symptom,source,star_frac,low_v_for_mass_symptom,1.0,0.25,1.0,0.1,0.06664879685196527,0.07358013031415314,0.1966861707968828,0.7241379310344828,0.9195402298850575,1.0,0,0,0.025034897382610374,-0.2298850574712643,0.21725919600480115,75.968275434251,0.06638467180847592,0.06638467180847592,0.11550790016840629,0.12038784469005209,0.11950974983589152
stellar_to_gas__gas__low_v_for_mass_symptom,source,stellar_to_gas,low_v_for_mass_symptom,1.0,0.25,0.25,0.3,0.04090844570276954,0.05225158813617952,0.1770378849115709,0.8505747126436781,0.9770114942528736,1.0,0,0,-0.0007054537665853594,-0.10344827586206895,0.36237065385822514,86.33283061006945,0.12192838470408879,0.12192838470408879,0.08985603303186428,0.0820723408010404,0.11957642654597103
star_frac__gas__low_v_for_mass_symptom,source,star_frac,low_v_for_mass_symptom,1.0,0.25,0.25,0.05,0.04641169461836915,0.056012484475871316,0.1898167730760554,0.8275862068965517,0.9655172413793104,1.0,0,0,0.004797795149014253,-0.12643678160919536,0.3198770343689875,83.68227736678023,0.10838589503563353,0.10838589503563353,0.10442552645837015,0.10002736384308872,0.11958631944379146
stellar_to_gas__gas__hi_extent,source,stellar_to_gas,hi_extent,1.0,0.25,0.25,0.3,0.03902428417447307,0.053441752579051184,0.18374640925663846,0.8390804597701149,0.9770114942528736,1.0,0,0,-0.0025896152948818307,-0.11494252873563215,0.3884193396672414,87.84416862265219,0.12946534119716155,0.12946534119716155,0.08985603303186428,0.08214111339073861,0.12213159569871769
star_frac__gas__low_v_for_mass_symptom,source,star_frac,low_v_for_mass_symptom,1.0,0.25,0.25,0.1,0.04446420909945345,0.05340125137787614,0.17874709080257323,0.8390804597701149,0.9770114942528736,1.0,0,0,0.002850309630098552,-0.11494252873563215,0.35567297992851454,85.93111438742866,0.1199028481933717,0.1199028481933717,0.10094796967858309,0.0887677428689708,0.12229034227639662
stellar_to_gas__gas__hi_extent,source,stellar_to_gas,hi_extent,1.0,0.25,1.0,0.3,0.0440172976575259,0.05980348277361371,0.19912823508134037,0.7586206896551724,0.9655172413793104,1.0,0,0,0.0024033981881710006,-0.1954022988505747,0.3471263690780412,85.41017799502704,0.11726203120643953,0.11726203120643953,0.08985603303186428,0.08323929853198282,0.1225611367688797
mixed_star_org__gas__hi_extent,source,mixed_star_org,hi_extent,1.0,0.25,0.25,0.1,0.041053284327737014,0.05531292136287709,0.1928037312313605,0.8275862068965517,0.9655172413793104,1.0,0,0,-0.0005606151416178845,-0.12643678160919536,0.37232382082733884,86.91964246280534,0.12487033548363906,0.12487033548363906,0.11475587401017659,0.08837139574992944,0.12276882519269258
stellar_to_gas__gas__low_v_for_mass_symptom,source,stellar_to_gas,low_v_for_mass_symptom,1.0,0.25,0.5,0.3,0.04733845016415165,0.055135728992950314,0.1770378849115709,0.8275862068965517,0.9770114942528736,1.0,0,0,0.00572455069479675,-0.12643678160919536,0.3415629562791165,85.06588340194652,0.1155078207443456,0.1155078207443456,0.08985603303186428,0.08464775070738675,0.12279614902748154
mixed_star_org__gas__low_v_for_mass_symptom,source,mixed_star_org,low_v_for_mass_symptom,1.0,0.25,0.25,0.2,0.041247884152648545,0.051565873032957496,0.17869414535454925,0.8735632183908046,0.9770114942528736,1.0,0,0,-0.0003660153167063529,-0.08045977011494243,0.38154250323295474,87.45274719037785,0.12752586097450894,0.12752586097450894,0.09077007419993373,0.07497260326476024,0.12288022917535794
mixed_star_org__gas__low_v_for_mass_symptom,source,mixed_star_org,low_v_for_mass_symptom,1.0,0.25,0.5,0.2,0.04971716306933201,0.05611697331979722,0.17869414535454925,0.8045977011494253,0.9770114942528736,1.0,0,0,0.008103263599977109,-0.14942528735632177,0.327408896321462,84.1705847835016,0.11091274875852764,0.11091274875852764,0.10096150587928539,0.08440946910527795,0.12304295198405076
stellar_to_gas__gas__hi_extent,source,stellar_to_gas,hi_extent,1.0,0.25,0.5,0.3,0.04230366443003223,0.05539918894603638,0.18955376425320308,0.8160919540229885,0.9655172413793104,1.0,0,0,0.0006897649606773318,-0.13793103448275856,0.3684321733969417,86.69161877771266,0.12372951680154037,0.12372951680154037,0.08985603303186428,0.08212806969469297,0.12312379925612273
star_frac__gas__low_v_for_mass_symptom,source,star_frac,low_v_for_mass_symptom,1.0,0.25,1.0,0.2,0.05463682145721105,0.06303463010823573,0.1743744373881394,0.7931034482758621,0.9655172413793104,1.0,0,0,0.01302292198785615,-0.16091954022988497,0.30423039644871214,82.63963234269042,0.10294078064150303,0.10294078064150303,0.09899697863709166,0.09206998568402296,0.1235446555167765
mixed_star_org__gas__low_v_for_mass_symptom,source,mixed_star_org,low_v_for_mass_symptom,1.0,0.25,1.0,0.2,0.05906923681121537,0.06558662046444219,0.17869414535454925,0.7816091954022989,0.9540229885057471,1.0,0,0,0.017455337341860472,-0.17241379310344818,0.27981143699153993,80.92898451986719,0.09385649525762874,0.09385649525762874,0.1002771159048984,0.09532628811391501,0.12386689897548467
stellar_to_gas__gas__low_v_for_mass_symptom,source,stellar_to_gas,low_v_for_mass_symptom,1.0,0.5,0.25,0.3,0.046556730635443445,0.05712144023960144,0.19603954997461667,0.8160919540229885,0.9770114942528736,1.0,0,0,0.004942831166088547,-0.13793103448275856,0.3442260929996327,85.23121361179977,0.11635107669701322,0.11635107669701322,0.08985603303186428,0.08508648798897711,0.12433622398141173
stellar_to_gas__gas__hi_plus_low_sigma,source,stellar_to_gas,hi_plus_low_sigma,1.0,0.25,0.25,0.3,0.042140487479200454,0.05481742710531929,0.1929565827249871,0.8160919540229885,0.9770114942528736,1.0,0,0,0.0005265880098455564,-0.13793103448275856,0.3779858546011037,87.24822742697744,0.12650901667290873,0.12650901667290873,0.08985603303186428,0.08216813072420762,0.12469065408815352
