galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,_Vflat,_L36,_MHI,_Rdisk,_T,M_star_Msun,M_gas_Msun,M_baryon_Msun,star_frac,gas_frac,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,v_m5_bdvr_km_s,v_flat_obs_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,log10_SBeff,log10_SBdisk,stellar_to_gas_ratio,log10_M_baryon_Msun,RHI_over_Rdisk,Reff_over_Rdisk,Sigma_baryon_Msun_kpc2,Sigma_star_Msun_kpc2,Sigma_gas_Msun_kpc2,log10_v_flat_obs,log10_Sigma_baryon,log10_Sigma_star,log10_Sigma_gas,log10_stellar_to_gas_ratio,sample_btfr_log10_v_pred,sample_btfr_log10_v_residual,sample_btfr_slope_logv_logm,sample_btfr_intercept_logv,A_source_required,A_Q_required,participation_fraction_required,gas_participation_required,gas_participation_required_status,ugc07125_hard_analog,ugc07125_regime_score,ugc07125_analog_distance,A_source_required_m6g,A_Q_required_m6g,sample_btfr_log10_v_residual_m6g,drive_star_frac,drive_sigma_star,drive_stellar_to_gas,bleed_gas_frac,bleed_hi_extent,bleed_low_sigma_baryon,bleed_low_v_for_mass_symptom
D631-7,1.0,10.0,57.7,2.7,0.196,0.29,0.7,0.0,1.22,20.93,115.04,7.72,59.0,"Tr09,dB01",57.7,0.196,0.29,0.7,10.0,98000000.0,385700000.0,483700000.0,0.2026049204052098,0.7973950795947902,1.5,1.1377142691005784,1.0,1.0,1.0,1.0242267142793506,53.31735230904176,57.7,0.9240442341255072,-0.0343072385452566,0.0343072385452566,1.3207692283386865,2.0608488730388075,0.2540834845735027,8.684576087388455,0.0,1.7428571428571429,157108665.25214243,31830988.618379075,125277676.63376336,1.7611758131557314,8.196200139001826,7.502850127305866,8.097873690479414,-0.595023563173547,1.7446572878119961,0.016518525343735213,0.2597665671999078,-0.5113052299953095,1.371604667038468,1.171155270251758,1.371604667038468,1.4660232757233782,more_than_total_gas_required,False,3.0,6.288758960829702,1.371604667038468,1.171155270251758,0.0165185253437352,0.2026049204052098,0.22595237422974285,0.0775492717067151,0.7973950795947902,0.0,0.6649697796545346,0.43938245810186516
DDO064,1.0,10.0,46.1,3.9,0.157,0.211,0.69,3.49,1.2,17.41,151.65,6.8,60.0,"dB02,Sw02",46.1,0.157,0.211,0.69,10.0,78500000.0,280630000.0,359130000.0,0.2185837997382563,0.7814162002617436,3.3985507246376816,1.2372601544216606,1.0,1.0,1.0,1.113842848849803,51.61208276794634,46.1,1.119567955920745,0.0490504596709066,0.0490504596709066,1.2407987711173312,2.1808424146466825,0.279727755407476,8.555251685522226,5.057971014492754,1.7391304347826089,120053170.9989338,26241678.28757359,93811492.71136022,1.6637009253896482,8.0793736356896,7.418991606912627,7.972256046432153,-0.5532644395195259,1.7110631318840244,-0.04736220649437617,0.2597665671999078,-0.5113052299953095,0.6364996384768451,0.7978092744991406,0.6364996384768448,0.5348184982581664,partial_gas_participation_can_match_observed_vflat,True,4.0,4.365672222146655,0.6364996384768451,0.7978092744991406,-0.0473622064943761,0.2185837997382563,0.18474078070899894,0.09979297087455413,0.7814162002617436,0.22083864230077457,0.7468030905208625,0.7834103960877729
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,66.3,0.548,1.378,1.22,10.0,274000000.0,1832740000.0,2106740000.0,0.1300587637772103,0.8699412362227897,5.217213114754099,1.288510765160399,1.0,1.0,1.0,1.1599811860996694,81.96995774448564,66.3,1.236349287247144,0.0921411828030931,0.0921411828030931,1.316808752053022,2.228836487527934,0.1495029300391763,9.32361094114549,8.762295081967213,1.6721311475409837,225274176.84051302,29298880.95080578,195975295.88970724,1.8215135284047732,8.352711411437879,7.466851033112777,8.292201328831082,-0.8253502957183049,1.9106571780935564,-0.08914364968878319,0.2597665671999078,-0.5113052299953095,0.4279916230551355,0.654210687053594,0.4279916230551355,0.3424746946949246,partial_gas_participation_can_match_observed_vflat,True,4.0,3.387053710833753,0.4279916230551355,0.654210687053594,-0.0891436496887831,0.1300587637772103,0.20826090972448336,0.0,0.8699412362227897,0.6225222049933531,0.5553385294825224,1.0
ESO079-G014,1.0,4.0,175.0,3.5,51.733,3.14,5.08,17.67,7.23,157.34,2295.25,28.7,79.0,Ge04,175.0,51.733,3.14,5.08,4.0,25866500000.0,4176200000.000001,30042700000.0,0.8609911892073615,0.1390088107926385,2.450787401574804,1.195374816009664,1.027895912459201,1.1,1.130685503705121,1.2167709155139317,163.14195171426232,175.0,0.932239724081499,-0.030472395093818,0.030472395093818,2.196839145833112,3.3608299960638286,6.1937886116565295,10.477738961035453,3.478346456692914,1.423228346456693,185281333.6547091,159525595.8012939,25755737.85341518,2.2430380486862944,8.2678316681095,8.20283037531437,7.410873996114347,0.7919563792000226,2.2104610519295984,0.03257699675669601,0.2597665671999078,-0.5113052299953095,1.3240048633900587,1.1506541024087382,1.3240048633900583,3.3308224963767312,more_than_total_gas_required,False,0.5,7.447985889925733,1.3240048633900587,1.1506541024087382,0.032576996756696,0.8609911892073615,0.5699520217098312,0.8163474525687696,0.1390088107926385,0.049549843444057474,0.6147941343762324,0.3528999985488489
ESO116-G012,1.0,7.0,109.1,3.1,4.292,1.083,1.51,9.58,2.75,90.54,1320.78,13.0,74.0,Ge04,109.1,4.292,1.083,1.51,7.0,2146000000.0,1440390000.0,3586390000.0,0.5983732945942856,0.4016267054057144,4.082781456953643,1.260251976740183,1.0,1.0,1.0,1.1345412256462997,92.59787549913533,109.1,0.8487431301478947,-0.0712237279408208,0.0712237279408208,1.9568404901592336,3.1208304839711203,1.489874270162942,9.554657514907793,6.344370860927152,1.8211920529801324,250336255.5832387,149794530.00973967,100541725.57349902,2.037824750588342,8.398523751963339,8.175495954685479,8.002346334647953,0.1731496200375261,1.9706753534230899,0.06714939716525192,0.2597665671999078,-0.5113052299953095,1.9270585575323693,1.3881853469664522,1.9270585575323704,3.3082592493342204,more_than_total_gas_required,False,1.5,6.782400357898742,1.927058557532369,1.3881853469664522,0.0671493971652519,0.5983732945942856,0.5565187411463247,0.4867296304162552,0.4016267054057144,0.3603312093523526,0.5232484180998793,0.16671127964186333
ESO563-G021,1.0,4.0,314.6,11.7,311.177,24.298,5.45,55.71,10.59,429.37,6558.89,60.8,83.0,SG06,314.6,311.177,24.298,5.45,4.0,155588500000.0,32316340000.0,187904840000.0,0.8280175220606345,0.1719824779393654,6.08256880733945,1.3039185621748468,1.0,1.1,1.1,1.291237252608236,265.774933672242,314.6,0.8448027135163444,-0.0732446998489913,0.0732446998489913,2.6328316970876364,3.816830347353688,4.814545830375594,11.273937966679668,10.222018348623854,1.9431192660550458,1006850740.4054103,833690055.155403,173160685.25000727,2.497758718287268,9.00296509376827,8.921004620956202,8.238449295781152,0.6825553251750507,2.4172869344337764,0.08047178385349163,0.2597665671999078,-0.5113052299953095,1.9632644353976096,1.4011653847414336,1.9632644353976096,6.600945206390271,more_than_total_gas_required,False,1.5,8.031738445280755,1.9632644353976096,1.4011653847414336,0.0804717838534916,0.8280175220606345,0.9228929625905901,0.758073142156088,0.1719824779393654,0.7808093396002475,0.09985616700947919,0.09496392970509225
F563-1,1.0,9.0,109.9,12.5,1.903,3.2,3.52,23.47,4.61,14.22,41.77,48.9,25.0,"KN08,dB96",109.9,1.903,3.2,3.52,9.0,951500000.0,4256000000.0,5207500000.0,0.1827172347575612,0.8172827652424388,3.9886363636363633,1.2573908730529677,1.0,1.0,1.0,1.1319655184513062,101.53141101041533,109.9,0.9238526934523688,-0.0343972706855351,0.0343972706855351,1.1528995963937474,1.6208644752651211,0.2235667293233082,9.716629278619784,6.667613636363636,1.309659090909091,66890444.71131238,12222037.089354534,54668407.62195785,2.0409976924234905,7.825364083305407,7.087143597308662,7.737736423972614,-0.6505928266639527,2.0127502024658686,0.02824748995762194,0.2597665671999078,-0.5113052299953095,1.3727425098900068,1.1716409475133611,1.3727425098900066,1.4560753337058765,more_than_total_gas_required,True,4.5,5.747685113019625,1.3727425098900068,1.1716409475133611,0.0282474899576219,0.1827172347575612,0.02165675277319085,0.04794936941231098,0.8172827652424388,0.3953824919310086,0.9247288357408457,0.3762164392614582
F563-V2,1.0,10.0,116.6,9.4,2.986,2.169,2.43,11.37,4.49,23.6,146.16,59.7,29.0,"dB01,dB96",116.6,2.986,2.169,2.43,10.0,1493000000.0,2884770000.0,4377770000.0,0.341041215047844,0.658958784952156,3.2633744855967075,1.2320640525006583,1.0,1.0,1.0,1.109165060636936,96.2360587736013,116.6,0.8253521335643337,-0.08336072170972,0.08336072170972,1.3729120029701067,2.164828534344481,0.5175455928895545,9.641252940796383,4.679012345679012,1.8477366255144032,117994163.35914354,40240872.84055611,77753290.51858743,2.0666985504229953,8.071860525241643,7.604667392170286,7.89071877742654,-0.2860513852562536,1.9931699499413829,0.07352860048161247,0.2597665671999078,-0.5113052299953095,2.15497822824065,1.467984410080928,2.154978228240651,2.752732120149986,more_than_total_gas_required,False,1.5,6.806341619267087,2.15497822824065,1.467984410080928,0.0735286004816124,0.341041215047844,0.27598964788195834,0.24212849596834585,0.658958784952156,0.1797457288759179,0.7520657893557119,0.13235625427236583
F568-V1,1.0,7.0,112.3,15.8,3.825,2.491,2.85,14.38,4.4,31.39,90.54,80.6,40.0,"dB01,dB96",112.3,3.825,2.491,2.85,7.0,1912500000.0,3313030000.0000005,5225530000.0,0.3659915836288376,0.6340084163711625,3.294736842105263,1.2332905467822552,1.0,1.0,1.0,1.1102692115140411,100.64060478195164,112.3,0.8961763560280644,-0.0476065183363852,0.0476065183363852,1.4967913157000423,1.9568404901592336,0.57726612798556,9.718130345386383,5.045614035087719,1.5438596491228072,102390757.74392019,37474155.57565402,64916602.168266185,2.050379756261458,8.010260757011247,7.57373185545052,7.812355780128457,-0.2386239246779371,2.0131401294269655,0.037239626834492334,0.2597665671999078,-0.5113052299953095,1.550336862251016,1.245125239584764,1.5503368622510163,1.868027691810383,more_than_total_gas_required,False,1.5,6.0533954610364455,1.550336862251016,1.245125239584764,0.0372396268344923,0.3659915836288376,0.2607866278589169,0.26739153008130023,0.6340084163711625,0.2194986959512865,0.7952144999648072,0.32778953150973544
F571-8,1.0,5.0,139.7,4.3,10.164,1.782,3.56,24.55,1.4,825.71,87.26,53.3,85.0,"dB01,dB96",139.7,10.164,1.782,3.56,5.0,5082000000.0,2370060000.0,7452060000.0,0.6819590824550527,0.3180409175449473,3.6446629213483135,1.2461398259701846,1.0,1.0,1.0,1.1218367688181392,110.55042691224978,139.7,0.7913416385987816,-0.1016359820825215,0.1016359820825215,2.916827544276814,1.9408152086508013,2.1442495126705654,9.872276342945087,6.896067415730337,0.3932584269662921,93582895.56380108,63819705.59217681,29763189.971624278,2.1451964061141817,7.971196478641222,7.804954796410485,7.473679476364077,0.3312753200464088,2.0531821060603956,0.09201430005378608,0.2597665671999078,-0.5113052299953095,2.5500220062118464,1.5968788326644718,2.5500220062118477,5.873655937660252,more_than_total_gas_required,False,1.5,7.480060650565002,2.5500220062118464,1.5968788326644718,0.092014300053786,0.6819590824550527,0.37441927735986513,0.570957942553329,0.3180409175449473,0.4201551971088159,0.8225778049083743,0.03280202370784196
