source_file,column,present,dtype,non_null,example
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,galaxy_name,True,str,87,D631-7
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,A_inferred,True,float64,87,0.485657152604677
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,A_pred,True,float64,87,0.1046456040433676
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,f_star,True,float64,87,0.2026049204052098
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,f_gas,True,float64,87,0.7973950795947902
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,log10_Sigma_b,True,float64,87,8.196200139001826
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,RHI_over_Rdisk,True,float64,85,5.057971014492754
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,Rdisk_kpc,True,float64,87,0.7
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,Vflat,True,float64,87,57.7
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,v_newton_km_s,True,float64,87,44.51234813364735
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,M_baryon_Msun,True,float64,87,483700000.0
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,T,True,float64,87,10.0
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,v_full_normalization,True,str,87,vN2_plus_sqrt_GMbar_a0_Qeff1
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,clipped_low_activation,True,bool,87,False
runs/cghstc_34_apj_governor_model/m9_governor_predictions.csv,clipped_high_activation,True,bool,87,False
