galaxy_name,A_inferred,A_pred_m9,D_maturity,R_reservoir,DR_interaction,J_lambda,J_lambda_z,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,Vflat,M_baryon_Msun,m59_backbone_context_available,m59_organization_label_score,m59_rhi_extent_organization_score,A_rank_m70,A_bounded_m70,model_family,feature_template,uses_angular_momentum,uses_m59_backbone,ugc07125_status,norm,object_name,taxonomy_stage,organization_label_score,rhi_extent_organization_score,quality_quarantined,measurement_limited,clean_scalar_sample,candidate_tier,missing_label_count,target_role,acquisition_priority_rank,observation_class,branch_reason,clean_rotation_response_usable,direct_settling_measurement_available
D631-7,0.485657152604677,0.1046456040433676,0.240776562072984,0.7295108059456705,0.0651274582222936,-2.3575332148673867,0.569740917391744,0.2026049204052098,0.7973950795947902,8.196200139001826,,0.7,57.7,483700000.0,False,,,0.5790440645669067,0.5790440645669067,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,D6317,,,,,,,,,,,,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
DDO064,0.2646023742458992,0.1280154918424996,0.2292546803297125,0.6671380570077734,0.0763101583346099,-2.3934703763388563,0.2775035151514378,0.2185837997382563,0.7814162002617436,8.0793736356896,5.057971014492754,0.69,46.1,359130000.0,False,,,0.2739761608876833,0.2739761608876833,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,DDO064,DDO064,juvenile_forming,0.5049400129158044,0.8011708887100801,False,False,True,minimum_25_pool,9.0,,2.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
DDO161,0.0,0.0127506326762463,0.1715898455356467,0.8683743321947767,0.0225856280072246,-2.4960820311666168,-0.5569241975172496,0.1300587637772103,0.8699412362227897,8.352711411437879,8.762295081967213,1.22,66.3,2106740000.0,False,,,0.0073754035200836,0.0073754035200836,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,DDO161,DDO161,failed_stalled,0.3492760403991559,0.6150091016560829,False,False,True,minimum_25_pool,9.0,,3.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
ESO079-G014,0.6248432462769151,0.8431116663588666,0.6692373666663397,0.1550422783840411,0.5654772805586544,-2.3418695800254907,0.6971160290702352,0.8609911892073615,0.1390088107926385,8.2678316681095,3.478346456692914,5.08,175.0,30042700000.0,False,,,0.6889920613259574,0.6889920613259574,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,ESO079G014,ESO079-G014,mature_or_control,0.8029659200645272,0.8805553392057646,False,False,True,preferred_50_pool,9.0,,31.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
ESO116-G012,0.6738352945998136,0.636944478854923,0.5394396480301121,0.4577679552544677,0.2925014633681779,-2.348985537554989,0.6392497742597705,0.5983732945942856,0.4016267054057144,8.398523751963339,6.344370860927152,1.51,109.1,3586390000.0,False,,,0.6302695017831523,0.6302695017831523,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,ESO116G012,ESO116-G012,mature_or_control,0.6999053372079475,0.7365225237408978,False,False,True,preferred_50_pool,9.0,,32.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
ESO563-G021,0.8092369418432914,0.0604077993199511,0.7279727114852726,0.5185351136726861,0.3504932987846432,-2.469982018250264,-0.3446815033031067,0.8280175220606345,0.1719824779393654,9.00296509376827,10.222018348623854,5.45,314.6,187904840000.0,False,,,0.7583963423377464,0.7583963423377464,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,ESO563G021,ESO563-G021,mature_or_control,0.5870690582416639,0.5416503223011305,False,False,True,preferred_50_pool,9.0,,33.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
F563-1,0.8604545272626233,0.0455905914114174,0.0709214251603612,0.7693897414587342,0.0163552081923459,-2.2430156194833546,1.5009865476957618,0.1827172347575612,0.8172827652424388,7.825364083305407,6.667613636363636,3.52,109.9,5207500000.0,False,,,0.809636177307076,0.809636177307076,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,F5631,F563-1,juvenile_forming,0.3601938963593776,0.7202778724546035,False,False,True,minimum_25_pool,9.0,,4.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
F563-V2,1.0,0.3394740263389203,0.2005429480923118,0.5548467179922942,0.0892723515267935,-2.2600947875120587,1.3621004617399566,0.341041215047844,0.658958784952156,8.071860525241643,4.679012345679012,2.43,116.6,4377770000.0,False,,,1.056578870339406,1.0,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,F563V2,F563-V2,juvenile_forming,0.5139999488833488,0.8202155569736935,False,False,True,minimum_25_pool,9.0,,5.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
F568-V1,0.8061220295029421,0.3510439013871957,0.2194685000148943,0.5580392456208029,0.0969964638290535,-2.2802329907634973,1.1983386073525455,0.3659915836288376,0.6340084163711625,8.010260757011247,5.045614035087719,2.85,112.3,5225530000.0,False,,,0.8268332882759255,0.8268332882759255,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,F568V1,F568-V1,juvenile_forming,0.5512645885929354,0.8017918919826689,False,False,True,minimum_25_pool,9.0,,6.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
F571-8,1.0,0.4112097350025153,0.3248018447771556,0.4272152869950704,0.1860415314441547,-2.214186770707943,1.7354198621464143,0.6819590824550527,0.3180409175449473,7.971196478641222,6.896067415730337,3.56,139.7,7452060000.0,False,,,1.1014853594206848,1.0,censored_latent_corrected,full_corrected_state,True,False,not_ugc07125,F5718,F571-8,mature_or_control,0.5939048188945589,0.708796867269455,False,False,True,preferred_50_pool,9.0,,34.0,R,current_clean_rotation_response_proxy_from_quality_sample,True,False
