galaxy_name,A_inferred,A_pred_m9,D_maturity,R_reservoir,DR_interaction,J_lambda,J_lambda_z,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,Vflat,M_baryon_Msun,m59_backbone_context_available,m59_organization_label_score,m59_rhi_extent_organization_score,A_rank_m70,A_bounded_m70,model_family,feature_template,uses_angular_momentum,uses_m59_backbone,ugc07125_status,norm,object_name,taxonomy_stage,organization_label_score,rhi_extent_organization_score,quality_quarantined,measurement_limited,clean_scalar_sample,candidate_tier,missing_label_count,target_role,acquisition_priority_rank,observation_class,branch_reason,clean_rotation_response_usable,direct_settling_measurement_available,survey,source_status,vrot_sigma_direct,hi_asymmetry_direct,centroid_offset_direct,warp_pa_twist_direct,lopsidedness_direct
UGC07125,0.0,0.0569755726395712,0.1011714758455512,0.7770579785643689,0.0225553733366333,-2.5581583242965995,-1.0617224036698418,0.1804974862131068,0.8195025137868931,8.019775262749231,6.816568047337278,3.38,65.2,7512569999.999999,False,,,-0.6687681506731681,0.0,censored_latent_corrected,full_corrected_state,True,False,quarantined_follow_up_not_clean_scalar_or_juvenile_prototype,UGC07125,UGC07125,failed_stalled,0.3441077445145193,0.7127921290824437,True,True,False,minimum_25_pool,9.0,,1.0,X,quarantined_or_measurement_limited_follow_up_not_clean_rotation_response,False,False,current_SPARC_M59_M63_M70_context,current_artifact_context_not_direct_settling_label,,,,,
DDO 46,,,,,,,,,,,,,,,,,,,,,,,,,DDO046,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 50,,,,,,,,,,,,,,,,,,,,,,,,,DDO050,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 53,,,,,,,,,,,,,,,,,,,,,,,,,DDO053,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 70,,,,,,,,,,,,,,,,,,,,,,,,,DDO070,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 87,,,,,,,,,,,,,,,,,,,,,,,,,DDO087,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 101,,,,,,,,,,,,,,,,,,,,,,,,,DDO101,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 126,,,,,,,,,,,,,,,,,,,,,,,,,DDO126,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 133,,,,,,,,,,,,,,,,,,,,,,,,,DDO133,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 154,,,,,,,,,,,,,,,,,,,,,,,,,DDO154,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
