x_variable,y_variable,statistic,value,n,statistical_role,uses_forced_vflat_for_unsettled_rows
A_pred_m9,A_inferred_current_clean_velocity_target,pearson,0.12357299547128615,87,secondary_due_to_clipping_and_selection,False
A_pred_m9,A_inferred_current_clean_velocity_target,spearman,0.14588130693197304,87,preferred_rank_or_tie_robust_statistic,False
A_pred_m9,A_inferred_current_clean_velocity_target,kendall,0.0951279782226517,87,preferred_rank_or_tie_robust_statistic,False
A_rank_m70,A_inferred_current_clean_velocity_target,pearson,0.9537397005852389,87,secondary_due_to_clipping_and_selection,False
A_rank_m70,A_inferred_current_clean_velocity_target,spearman,0.9812879279237035,87,preferred_rank_or_tie_robust_statistic,False
A_rank_m70,A_inferred_current_clean_velocity_target,kendall,0.8918247958373597,87,preferred_rank_or_tie_robust_statistic,False
f_star,A_inferred_current_clean_velocity_target,pearson,-0.0451644342987624,87,secondary_due_to_clipping_and_selection,False
f_star,A_inferred_current_clean_velocity_target,spearman,-0.014191143714683644,87,preferred_rank_or_tie_robust_statistic,False
f_star,A_inferred_current_clean_velocity_target,kendall,-0.004864498886385599,87,preferred_rank_or_tie_robust_statistic,False
f_gas,A_inferred_current_clean_velocity_target,pearson,0.04516443429876245,87,secondary_due_to_clipping_and_selection,False
f_gas,A_inferred_current_clean_velocity_target,spearman,0.014191143714683644,87,preferred_rank_or_tie_robust_statistic,False
f_gas,A_inferred_current_clean_velocity_target,kendall,0.004864498886385599,87,preferred_rank_or_tie_robust_statistic,False
log10_Sigma_b,A_inferred_current_clean_velocity_target,pearson,-0.3696236468009479,87,secondary_due_to_clipping_and_selection,False
log10_Sigma_b,A_inferred_current_clean_velocity_target,spearman,-0.36363094618107383,87,preferred_rank_or_tie_robust_statistic,False
log10_Sigma_b,A_inferred_current_clean_velocity_target,kendall,-0.2534944419683162,87,preferred_rank_or_tie_robust_statistic,False
RHI_over_Rdisk,A_inferred_current_clean_velocity_target,pearson,-0.3825942262129766,85,secondary_due_to_clipping_and_selection,False
RHI_over_Rdisk,A_inferred_current_clean_velocity_target,spearman,-0.5002477312789646,85,preferred_rank_or_tie_robust_statistic,False
RHI_over_Rdisk,A_inferred_current_clean_velocity_target,kendall,-0.3601313738319536,85,preferred_rank_or_tie_robust_statistic,False
A_pred_m9,P(R | predictor_bin),class_probability_proxy,0.03448275862068961,87,settling_state_class_audit_not_continuous_velocity_regression,False
A_rank_m70,P(R | predictor_bin),class_probability_proxy,0.03448275862068961,87,settling_state_class_audit_not_continuous_velocity_regression,False
f_star,P(R | predictor_bin),class_probability_proxy,0.03448275862068961,87,settling_state_class_audit_not_continuous_velocity_regression,False
f_gas,P(R | predictor_bin),class_probability_proxy,-0.03448275862068961,87,settling_state_class_audit_not_continuous_velocity_regression,False
log10_Sigma_b,P(R | predictor_bin),class_probability_proxy,0.03448275862068961,87,settling_state_class_audit_not_continuous_velocity_regression,False
RHI_over_Rdisk,P(R | predictor_bin),class_probability_proxy,0.0,85,settling_state_class_audit_not_continuous_velocity_regression,False
