survey,priority_rank,target_name,normalized_target_name,survey_role,expected_observable_class,source_status,direct_measurement_available_now,tier_a_promotion_allowed,next_action
LITTLE THINGS,1,DDO 46,DDO046,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,DDO 50,DDO050,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,DDO 53,DDO053,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,DDO 70,DDO070,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,DDO 87,DDO087,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,DDO 101,DDO101,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,DDO 126,DDO126,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,DDO 133,DDO133,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,DDO 154,DDO154,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,DDO 168,DDO168,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
