galaxy_name,D_at_Rd,D_at_2p2Rd,D_at_Rlast,Vbar_at_Rd,Vbar_at_2p2Rd,Vobs_at_Rlast,Vbar_at_Rlast,slope_all,slope_inner,slope_outer,curve_flatness,vrot_sigma_proxy,n_radial_points,Rdisk_kpc,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,btfr_offset_dex,taxonomy_stage
DDO064,0.6930835915015765,2.1351268818644233,1.792471178492127,14.140951170271396,23.27266511248169,46.9,28.065868951450625,0.6489215124073033,0.5967911675953801,0.0471415347609529,1.017353579175705,5.421965317919074,14,0.69,0.2185837997382563,0.7814162002617436,8.0793736356896,5.057971014492754,-0.0256384992124591,juvenile_forming
DDO161,0.05224763512805367,0.12205949334437786,3.560361187461393,23.130192535674468,34.16009092144118,66.1,30.952935240458213,0.48488874335658394,0.42078318015342814,-0.1420988504492439,0.9969834087481146,50.45801526717557,31,1.22,0.1300587637772103,0.8699412362227897,8.352711411437879,8.762295081967213,-0.0599157101031501,failed_stalled
F563-1,7.577954509212424,5.89158339042346,5.4723483662591095,29.861151047221888,35.72268502103892,106.0,41.6653393121909,0.40466206471865895,1.2023900652716188,-0.39624316015142824,0.9645131938125568,9.906542056074768,17,3.52,0.1827172347575612,0.8172827652424388,7.825364083305407,6.667613636363636,0.0613138695469941,juvenile_forming
F563-V2,4.655360488317806,4.454599998359322,3.6520123377888827,38.91271247116802,49.08030637710638,118.0,54.70935294810203,0.5769811590447543,0.9614208959430011,0.048742803533487235,1.012006861063465,2.9280397022332507,10,2.43,0.341041215047844,0.658958784952156,8.071860525241643,4.679012345679012,0.105858812002349,juvenile_forming
F568-V1,4.250842748778469,4.756516924037331,4.813547377425858,37.67854474344129,46.99579373204414,118.0,48.939710869599544,0.4792758441776872,0.8613343849234868,0.10345403735686004,1.0507569011576137,8.082191780821917,15,2.85,0.3659915836288376,0.6340084163711625,8.010260757011247,5.045614035087719,0.0703206666933114,juvenile_forming
F583-1,3.8872613558180915,5.199554038792979,2.9658226553822487,19.914209203992044,28.01798723190674,85.8,43.08445891501946,0.6030836655456869,-0.28192572083858725,0.04162118847597912,1.0,9.976744186046512,25,2.36,0.1484680387161279,0.8515319612838721,7.97721007350196,6.63135593220339,0.0026572976770827,juvenile_forming
NGC0100,0.05085704861021647,0.576724175083489,3.0036365363988433,42.699500646893064,56.1888987846194,91.2,45.579285865401616,0.6266342772615295,0.980554009778409,0.3141720386697886,1.0351872871736665,6.656934306569344,21,1.66,0.3791024468060149,0.620897553193985,8.391288724537977,9.855421686746988,-0.0129717870535531,failed_stalled
NGC1003,-0.25082525437093117,-0.0527708281775651,4.547233191086474,60.44231015578746,78.32328453995325,115.0,48.82695362194943,0.21554805596297547,0.4970964035000832,0.4693149268571211,1.0473588342440803,71.875,36,1.61,0.3036401196751674,0.6963598803248326,8.838563604646323,20.701863354037265,-0.0225229693745119,failed_stalled
NGC3109,2.732507099356317,4.4560216253559,7.449970849560411,15.512383008115275,21.985215335467476,67.3,23.151943762889545,0.7428622397268534,0.8287807693489827,0.17657513263160074,1.0166163141993956,22.433333333333334,25,1.56,0.1326205548187747,0.8673794451812253,7.679731828746212,3.846153846153846,0.0542912627648367,juvenile_forming
NGC3741,,0.36942318022141185,12.647491071025836,,14.318476792595671,51.6,13.967648334633859,0.40112485595263553,0.5123174653849091,0.18941114773179057,1.029940119760479,15.925925925925926,21,0.2,0.0546746856205576,0.9453253143794424,9.008101881468578,21.0,0.0472257873570314,juvenile_forming
NGC5585,-0.24242194230232852,0.5613032741897199,2.5184380388356082,50.9102025955229,57.96455541579562,89.4,47.66093578602921,0.4114686232687504,0.7209752050805545,-0.12523048119079278,0.9900332225913622,33.111111111111114,24,1.53,0.3966424880522063,0.6033575119477936,8.401798302775038,7.137254901960784,0.0128209888998675,juvenile_forming
UGC00128,2.4755187415100406,2.79241965638729,5.988273654445366,50.83077526609664,58.48839299579685,125.0,47.28518161115594,0.275892168300079,0.6662375524327471,-0.3174496417459209,0.9667440061871616,21.008403361344538,22,5.95,0.378148431753646,0.621851568246354,7.85399836854531,5.25546218487395,0.0107689795687125,juvenile_forming
UGC00731,11.137311323670408,6.675916478934663,2.785484345222344,13.695129383757928,22.738141041418498,73.9,37.98251439807533,0.35929826460165054,0.49594354101353205,-0.007742019480534236,1.00818553888131,21.608187134502927,12,2.3,0.0629676272316467,0.9370323727683532,7.887419657901373,5.030434782608697,-0.037686328154091,juvenile_forming
UGC01230,2.5562418430012763,2.155224639270023,3.1728417894313,49.27718061750863,58.666688766576065,103.0,50.42213898675858,0.3550023540658177,0.9295125814887105,-0.058548188693026845,0.9932497589199614,10.3,11,4.34,0.3082050493856122,0.6917949506143878,8.01892589871753,6.057603686635945,-0.057769053357676,disturbed_or_measurement_contaminated
UGC01281,1.6400505964331618,3.20030027386919,3.311383863920702,19.69138413402288,26.548377537695515,56.9,27.403366581498705,0.906843539741763,1.0903664180456425,0.12930248913122086,1.0307971014492754,14.225,25,1.63,0.3110022554271215,0.6889977445728784,7.531426093961837,3.226993865030675,0.0029172817256814,juvenile_forming
UGC04278,0.8820034054541648,3.6664731452811052,2.2492482295192064,32.12326232233055,35.08327622481061,92.8,51.48213282295131,0.672021214313707,0.9684785902366576,0.5627696879903056,1.0153172866520788,10.605714285714285,25,2.21,0.3056909504252074,0.6943090495747926,7.842998593983464,4.027149321266968,0.0779289400843308,juvenile_forming
UGC04499,0.4938144625683977,1.005097892933972,1.5809138167242582,35.35969876852165,44.45215269440825,74.3,46.248969718254266,0.4572734950725126,0.7231239873726417,0.08081925039460605,1.0206043956043955,27.827715355805243,9,1.73,0.3465832961143367,0.6534167038856633,8.075782018963324,5.011560693641618,-0.0259086473032709,juvenile_forming
UGC05005,0.2598361857062322,0.9229320812193845,3.485959647598921,36.63965530774383,47.52295550573428,99.1,46.78923807885741,0.530611137890328,0.7482644117320008,-0.016764685650999433,1.0020222446916076,9.91,11,3.2,0.3325929759608286,0.6674070240391713,7.981360962953233,6.753125,-0.0027904086121612,juvenile_forming
UGC05721,0.37648915563617513,0.5838269531056522,5.661515439032365,37.49122292273454,45.21471726710431,79.5,30.802120056905174,0.2896848150573594,0.674061312221756,0.08146711010230398,0.9974905897114178,17.396061269146607,23,0.38,0.2621031432633075,0.7378968567366925,9.04784523458566,17.736842105263158,0.0995337441302128,juvenile_forming
UGC06446,2.6409739103864482,2.7739295464534894,3.1083214638715435,30.583983166659095,35.6349811692879,80.1,39.51848681313595,0.2869896465202966,0.6302992890437402,-0.3710203227330233,0.9744525547445254,7.416666666666666,17,1.49,0.2121929323430996,0.7878070676569003,8.222443629281738,6.932885906040268,0.0225963057023995,juvenile_forming
UGC06667,6.378792646276247,,5.2544005253890935,29.633376626194043,,85.7,34.26793836810146,0.5338711690709588,0.7013931526731613,0.08015408634750516,1.022673031026253,25.205882352941178,9,5.15,0.3936386639390917,0.6063613360609084,7.027274334924381,1.6679611650485435,0.0604503500675063,juvenile_forming
UGC07125,0.18341453430548027,0.8426397109553022,1.250830045046954,41.26318220527604,41.801549472079905,64.9,43.258688144695284,0.32515772159866463,0.5795820653352189,-0.05602366941817774,0.995398773006135,18.649425287356323,13,3.38,0.1804974862131068,0.8195025137868931,8.019775262749231,6.816568047337278,-0.2052260404052944,failed_stalled
UGC07399,2.992721409739671,4.387441217567739,5.9490786409838545,39.86503706217933,40.8074080211224,106.0,40.21075726717914,0.3166405986383362,0.5228830224421437,0.2623687069453799,1.029126213592233,21.32796780684105,10,1.64,0.3684227300251776,0.6315772699748223,7.967713857599678,4.786585365853659,0.1634153659703244,juvenile_forming
UGC07524,1.995746543578186,2.0375244917416104,1.3437593885570769,33.174601804852216,44.23746770510309,79.0,51.60248056053119,0.48595000945138594,0.6678428580846143,-0.5866147939320426,0.9937106918238994,28.417266187050362,31,3.46,0.3398371125563953,0.6601628874436046,7.678044417277685,3.5,-0.0387534953704185,juvenile_forming
UGC07603,0.13374149579423494,0.9622348001997785,4.6071974731471235,24.930244925235197,32.56085615130526,64.0,27.027572957999762,0.44974092333221377,0.6956546803897558,0.21721447661974352,1.0389610389610389,22.14532871972318,12,0.53,0.3539556425801107,0.6460443574198893,8.47847740168307,8.245283018867925,0.057751956632184,juvenile_forming
