galaxy_name,D_total,Vflat,v_newton_km_s,btfr_offset_dex,log10_M_bar,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,A_inferred,T,taxonomy_stage,organization_label_score,curve_shape
D631-7,0.6803146597867303,57.7,44.51234813364735,0.039505288087067,8.684576087388455,0.2026049204052098,0.7973950795947902,8.196200139001826,,0.7,0.485657152604677,10.0,unknown,,unknown
DDO064,0.42402067065214055,46.1,38.63160738634843,-0.0256384992124591,8.555251685522226,0.2185837997382563,0.7814162002617436,8.0793736356896,5.057971014492754,0.69,0.2646023742458992,10.0,juvenile_forming,0.5049400129158044,flat
DDO161,-0.1122452927791978,66.3,70.36667605242577,-0.0599157101031501,9.32361094114549,0.1300587637772103,0.8699412362227897,8.352711411437879,8.762295081967213,1.22,0.0,10.0,failed_stalled,0.3492760403991559,slowly_falling
ESO079-G014,0.8060005825300754,175.0,130.22042417164954,0.0730768052058808,10.477738961035453,0.8609911892073615,0.1390088107926385,8.2678316681095,3.478346456692914,5.08,0.6248432462769151,4.0,mature_or_control,0.8029659200645272,unknown
ESO116-G012,0.7477768031364452,109.1,82.52428402081705,0.098633868639843,9.554657514907793,0.5983732945942856,0.4016267054057144,8.398523751963339,6.344370860927152,1.51,0.6738352945998136,7.0,mature_or_control,0.6999053372079475,unknown
ESO563-G021,0.809236941843291,314.6,233.88964509869035,0.1287477233958003,11.273937966679668,0.8280175220606345,0.1719824779393654,9.00296509376827,10.222018348623854,5.45,0.8092369418432914,4.0,mature_or_control,0.5870690582416639,unknown
F563-1,1.8472513474060106,109.9,65.1305564828556,0.0613138695469941,9.716629278619784,0.1827172347575612,0.8172827652424388,7.825364083305407,6.667613636363636,3.52,0.8604545272626233,9.0,juvenile_forming,0.3601938963593776,steeply_falling
F563-V2,1.6318884069673913,116.6,71.87284146811513,0.105858812002349,9.641252940796383,0.341041215047844,0.658958784952156,8.071860525241643,4.679012345679012,2.43,1.0,10.0,juvenile_forming,0.5139999488833488,flat
F568-V1,1.3987835646073277,112.3,72.5077158237496,0.0703206666933114,9.718130345386383,0.3659915836288376,0.6340084163711625,8.010260757011247,5.045614035087719,2.85,0.8061220295029421,7.0,juvenile_forming,0.5512645885929354,slowly_rising
F571-8,2.2514981009707284,139.7,77.4737635436703,0.1266008171563595,9.872276342945087,0.6819590824550527,0.3180409175449473,7.971196478641222,6.896067415730337,3.56,1.0,5.0,mature_or_control,0.5939048188945589,unknown
F574-1,0.870107159670272,97.8,71.51639399850716,-0.0353534266378766,9.90066311281571,0.4108519726174104,0.5891480273825895,7.803813527033311,3.630044843049328,4.46,0.3953660702742239,7.0,mature_or_control,0.6927799831897397,unknown
F579-V1,0.6576306596509802,112.1,87.068633236026,0.0116115112183184,9.949870392620417,0.6648821248393632,0.3351178751606368,8.096430722519624,6.2195845697329375,3.37,0.4185210478301462,5.0,mature_or_control,0.6425911368515081,unknown
F583-1,0.8246924215370125,85.8,63.5173621461452,0.0026572976770827,9.521213947800288,0.1484680387161279,0.8515319612838721,7.97721007350196,6.63135593220339,2.36,0.4575272134013476,9.0,juvenile_forming,0.4462449453861865,flat
IC4202,0.43062947866571416,242.6,202.8276746883573,0.0777635848019734,11.02640283402812,0.8457337330268883,0.1542662669731117,8.869367172445768,6.7217573221757325,4.78,0.4306294786657136,4.0,mature_or_control,0.6703756463172738,unknown
NGC0024,0.8570470787116998,106.3,78.00488619946532,0.1125403985503548,9.453865451005566,0.6838210987557938,0.3161789012442063,8.401475985917836,5.440298507462686,1.34,0.7749301571274237,5.0,mature_or_control,0.7824019726063639,unknown
NGC0100,0.054125145613418996,88.1,85.80840348533991,-0.0129717870535531,9.629684768976201,0.3791024468060149,0.620897553193985,8.391288724537977,9.855421686746988,1.66,0.0483685791885847,6.0,failed_stalled,0.3855734141507814,steeply_rising
