galaxy_name,coherence_score,btfr_offset_dex,f_gas,f_star,log10_Sigma_b,RHI_over_Rdisk,D_total,taxonomy_stage,has_rotmod,A_inferred,coherence_quartile
D631-7,0.28231496889021906,0.039505288087067,0.7973950795947902,0.2026049204052098,8.196200139001826,,0.6803146597867303,unknown,False,0.485657152604677,Q1_low
DDO064,0.5094165557467683,-0.0256384992124591,0.7814162002617436,0.2185837997382563,8.0793736356896,5.057971014492754,0.4240206706521405,juvenile_forming,True,0.2646023742458992,Q2
DDO161,0.3251460618090585,-0.0599157101031501,0.8699412362227897,0.1300587637772103,8.352711411437879,8.762295081967213,-0.1122452927791978,failed_stalled,True,0.0,Q1_low
ESO079-G014,0.6374473997477603,0.0730768052058808,0.1390088107926385,0.8609911892073615,8.2678316681095,3.478346456692914,0.8060005825300754,mature_or_control,False,0.6248432462769151,Q4_high
ESO116-G012,0.5215072457424638,0.098633868639843,0.4016267054057144,0.5983732945942856,8.398523751963339,6.344370860927152,0.7477768031364452,mature_or_control,False,0.6738352945998136,Q2
ESO563-G021,0.6341773694642697,0.1287477233958003,0.1719824779393654,0.8280175220606345,9.00296509376827,10.222018348623854,0.809236941843291,mature_or_control,False,0.8092369418432914,Q4_high
F563-1,0.2254388327848565,0.0613138695469941,0.8172827652424388,0.1827172347575612,7.825364083305407,6.667613636363636,1.8472513474060104,juvenile_forming,True,0.8604545272626233,Q1_low
F563-V2,0.5602269035855676,0.105858812002349,0.658958784952156,0.341041215047844,8.071860525241643,4.679012345679012,1.6318884069673911,juvenile_forming,True,1.0,Q3
F568-V1,0.41499150531254425,0.0703206666933114,0.6340084163711625,0.3659915836288376,8.010260757011247,5.045614035087719,1.3987835646073277,juvenile_forming,True,0.8061220295029421,Q1_low
F571-8,0.531672521303979,0.1266008171563595,0.3180409175449473,0.6819590824550527,7.971196478641222,6.896067415730337,2.2514981009707284,mature_or_control,False,1.0,Q3
F574-1,0.4327275913066201,-0.0353534266378766,0.5891480273825895,0.4108519726174104,7.803813527033311,3.630044843049328,0.870107159670272,mature_or_control,False,0.3953660702742239,Q2
F579-V1,0.5334768110514512,0.0116115112183184,0.3351178751606368,0.6648821248393632,8.096430722519624,6.2195845697329375,0.6576306596509802,mature_or_control,False,0.4185210478301462,Q3
F583-1,0.4694553815713215,0.0026572976770827,0.8515319612838721,0.1484680387161279,7.97721007350196,6.63135593220339,0.8246924215370125,juvenile_forming,True,0.4575272134013476,Q2
IC4202,0.6426626917138348,0.0777635848019734,0.1542662669731117,0.8457337330268883,8.869367172445768,6.7217573221757325,0.4306294786657141,mature_or_control,False,0.4306294786657136,Q4_high
NGC0024,0.5596566999801329,0.1125403985503548,0.3161789012442063,0.6838210987557938,8.401475985917836,5.440298507462686,0.8570470787116998,mature_or_control,False,0.7749301571274237,Q3
NGC0100,0.42462938831223496,-0.0129717870535531,0.620897553193985,0.3791024468060149,8.391288724537977,9.855421686746988,0.0541251456134189,failed_stalled,True,0.0483685791885847,Q2
NGC0801,0.5311638513024052,-0.0259494687486376,0.1648869606357899,0.8351130393642101,8.59295919409849,5.159403669724771,-0.1126375182890714,true_falsifier_candidate,False,0.0,Q3
NGC0891,0.6912396276835411,0.0652118316880249,0.0790160797374749,0.9209839202625252,9.26440549866864,7.121568627450981,0.3502794662500348,mature_or_control,False,0.3502794662500347,Q4_high
NGC1003,0.40760002661411754,-0.0225229693745119,0.6963598803248326,0.3036401196751674,8.838563604646323,20.701863354037265,-0.0985242236328264,failed_stalled,True,0.0,Q1_low
NGC1090,0.49704456335931974,-0.0042631387432271,0.2448729023985255,0.7551270976014745,8.784824515769072,8.637393767705383,-0.0194410173204832,true_falsifier_candidate,False,0.0,Q2
NGC2403,0.512517657094776,0.0755768622359338,0.4587161205670624,0.5412838794329377,8.883112409462322,10.870503597122305,0.4162950082328757,mature_or_control,False,0.4162950082328754,Q2
NGC2841,0.6568196245490446,0.146605404316243,0.1214328246681222,0.8785671753318778,9.109249674051874,12.395604395604394,0.9643135327060692,mature_or_control,False,0.964313532706068,Q4_high
NGC2903,0.6890209618745227,0.0540413907490937,0.0765732535059827,0.9234267464940172,9.113763500466842,5.90557939914163,0.2825750328364454,mature_or_control,False,0.2825750328364455,Q4_high
NGC2998,0.5751674159918118,0.0145050562129409,0.292475499299846,0.7075245007001539,8.644960269237012,7.029032258064516,0.0690797721571615,mature_or_control,False,0.0690797721571615,Q3
NGC3109,0.31330465463466173,0.0542912627648367,0.8673794451812253,0.1326205548187747,7.679731828746212,3.846153846153846,2.2598432755076505,juvenile_forming,True,0.8901519051983414,Q1_low
NGC3198,0.41578078604725877,-0.0057153449276559,0.430291823819246,0.569708176180754,8.734238971292958,11.35668789808917,-0.0259767802682868,true_falsifier_candidate,False,0.0,Q2
NGC3521,0.6675992190614248,0.1090971250223889,0.1152376935691309,0.8847623064308691,9.122121223899192,7.854166666666668,0.6527008484393424,mature_or_control,False,0.6527008484393424,Q4_high
NGC3741,0.31636587741256106,0.0472257873570314,0.9453253143794424,0.0546746856205576,9.008101881468578,21.0,0.2429440357042694,juvenile_forming,True,0.2429440357042695,Q1_low
NGC3893,0.6228921805069139,0.0480452002059045,0.2085905216933418,0.7914094783066582,9.01657639694944,8.756302521008404,0.2476431899354932,mature_or_control,False,0.2476431899354932,Q3
NGC3917,0.6166466417465788,0.0501574552139444,0.1860851160956985,0.8139148839043014,8.492050627850366,5.353612167300381,0.259838599793253,mature_or_control,False,0.259838599793253,Q3
NGC3953,0.6934136473612039,0.0755544387551291,0.0506142005610004,0.9493857994389996,8.69487492171657,3.554192229038855,0.4161487635736915,mature_or_control,False,0.4161487635736917,Q4_high
NGC3972,0.6206316565123144,0.086333367574277,0.1836648800152881,0.8163351199847119,8.468951352707107,4.610091743119266,0.5228992349385587,mature_or_control,False,0.51099137888034,Q3
NGC3992,0.64330219521198,0.0484715302586026,0.1628761629086988,0.8371238370913012,8.94293281504035,6.602822580645161,0.2500951219965041,mature_or_control,False,0.2500951219965033,Q4_high
NGC4088,0.5474557018621493,-0.0182867368556962,0.1694018820263602,0.8305981179736397,9.188702834895674,8.624031007751938,-0.0807650540351265,true_falsifier_candidate,False,0.0,Q3
NGC4100,0.6607924762597369,0.016378035962242,0.1219791701776264,0.8780208298223735,9.066150971722134,8.4,0.0783408856113494,mature_or_control,False,0.0783408856113494,Q4_high
NGC4157,0.6476893657962572,0.0148193571396292,0.171615379813015,0.828384620186985,9.275328302176332,10.383620689655173,0.0706282885139775,mature_or_control,False,0.0706282885139775,Q4_high
NGC4183,0.49529175503016276,-0.0076578341470746,0.4625063727561451,0.5374936272438549,8.314157556671503,5.759856630824372,0.1805534727470313,mature_or_control,False,0.1476401625413454,Q2
NGC4217,0.6817664946333984,0.0420474836566353,0.0739836063865266,0.9260163936134734,8.928420739686862,5.680272108843537,0.2136542116052662,mature_or_control,False,0.2136542116052663,Q4_high
NGC4559,0.4154797420738724,-0.0272680317387209,0.4437372862233905,0.5562627137766096,8.798358135563797,10.076190476190476,-0.118009440717293,true_falsifier_candidate,False,0.0,Q2
NGC5005,0.7332029942964038,0.1282714110838463,0.0186948729662297,0.9813051270337704,8.210295606818034,1.1015873015873017,1.4881418066224943,mature_or_control,False,1.0,Q4_high
NGC5033,0.6103067872078405,0.0259806169474733,0.2140421938911657,0.7859578061088343,8.62348914999931,5.722868217054264,0.1270968444785352,mature_or_control,False,0.1270968444785353,Q3
NGC5055,0.5417591556965238,-0.0386809066203296,0.1693649820762909,0.830635017923709,9.15554991251676,10.95625,-0.1631681777849981,true_falsifier_candidate,False,0.0,Q3
NGC5371,0.5788731968611641,-0.0461740768174391,0.080346514403788,0.919653485596212,8.726000664142939,4.036290322580645,-0.1915524553631154,true_falsifier_candidate,False,0.0,Q3
NGC5585,0.4383252236126465,0.0128209888998675,0.6033575119477936,0.3966424880522063,8.401798302775038,7.137254901960784,0.1727972423312641,juvenile_forming,True,0.1562988738825308,Q2
NGC5907,0.598504635925566,0.0161013756964449,0.2417382208457693,0.7582617791542307,8.809979941575211,,0.0769678812548522,unknown,False,0.0769678812548523,Q3
NGC5985,0.6431194895203444,0.1476394716471765,0.1286544639551793,0.8713455360448207,8.58874440120979,5.634807417974322,0.9736900117743555,mature_or_control,False,0.973690011774355,Q4_high
NGC6195,0.649161651071282,0.0131129891502334,0.1244997466020065,0.8755002533979934,8.262269476824219,2.9332855093256818,0.3790224919045619,mature_or_control,False,0.2919574832682947,Q4_high
NGC6503,0.5792444447927553,0.0296502625733937,0.2653299809426197,0.7346700190573804,8.474524425074039,6.50462962962963,0.1655164897666459,mature_or_control,False,0.1627883683424848,Q3
NGC6674,0.5833579884732003,0.0379309801713472,0.2849940825327626,0.7150059174672374,8.816145608463174,8.281456953642385,0.190863434237182,mature_or_control,False,0.190863434237182,Q3
NGC6946,0.5331464123586139,-0.0016078980002648,0.1856151975504337,0.8143848024495663,9.0358616469088,8.709016393442623,-0.007377297096534,true_falsifier_candidate,False,0.0,Q3
