proxy,bin,n,scatter_std
f_gas,0.0-0.5,53,0.05517602069325256
f_gas,0.5-0.7,20,0.057720278668891366
f_gas,0.7-0.9,12,0.08070737592090833
f_gas,0.9-1.0,2,0.06004193268281008
f_star,0.0-0.1,2,0.06004193268281008
f_star,0.1-0.2,6,0.10268012629294872
f_star,0.2-0.3,6,0.05593584633102783
f_star,0.3-0.5,20,0.057720278668891366
f_star,0.5-1.0,53,0.05517602069325256
log10_Sigma_b,6.0-7.5,1,
log10_Sigma_b,7.5-8.0,17,0.06198346050282262
log10_Sigma_b,8.0-8.5,28,0.06807852317259848
log10_Sigma_b,8.5-9.0,26,0.052987795662579856
log10_Sigma_b,9.0-11.0,15,0.06380923277534707
RHI_over_Rdisk,0.0-2.0,2,0.04795673215192061
RHI_over_Rdisk,2.0-5.0,20,0.06443910085486752
RHI_over_Rdisk,5.0-8.0,39,0.06613738905197261
RHI_over_Rdisk,8.0-12.0,19,0.04692461809349889
RHI_over_Rdisk,12.0-50.0,5,0.06581371563475434
