galaxy_name,category,vla_archive,new_obs,ch_sep_km_s,d_mpc,mv_mag,rh_arcmin,incl_deg,log_sfr_density_msun_yr_kpc2,incl_rad,Vflat_lt,HI_flux,logVflat,M_bar_approx,btfr_offset_lt
CVnIdwA,Im,C,BD,1.3,3.6,-12.4,0.87,40,-2.64,0.6981317007977318,0.65,91201.08393559097,-0.1870866433571444,0.0,0.0
DDO 43,Im,CD,B,2.6,7.8,-15.1,0.89,48,-2.19,0.8377580409572782,1.3,1096478.196143185,0.11394335230683678,0.0,0.0
DDO 46,Im,,BCD,2.6,6.1,-14.7,9.99,28,-2.96,0.4886921905584123,1.3,758577.5750291835,0.11394335230683678,0.0,0.0
DDO 47,Im,BCD,,2.6,5.2,-15.5,2.24,64,-2.75,1.117010721276371,1.3,1584893.1924611141,0.11394335230683678,0.0,0.0
DDO 50,Im,BCD,,2.6,3.4,-16.6,3.97,46,-1.83,0.8028514559173916,1.3,4365158.322401665,0.11394335230683678,0.0,0.0
DDO 52,Im,,BCD,2.6,10.3,-15.4,1.08,51,-3.27,0.8901179185171081,1.3,1445439.770745928,0.11394335230683678,0.0,0.0
DDO 53,Im,BCD,,2.6,3.6,-13.8,1.37,64,-2.5,1.117010721276371,1.3,331131.12148259144,0.11394335230683678,0.0,0.0
DDO 63,Im,BCD,,2.6,3.9,-14.8,2.17,0,-3.44,0.0,1.3,831763.7711026708,0.11394335230683678,0.0,0.0
DDO 69,Im,BCD,,1.3,0.8,-11.7,2.4,60,-3.28,1.0471975511965976,0.65,47863.0092322638,-0.1870866433571444,0.0,0.0
DDO 70,Im,BCD,,1.3,1.3,-14.1,3.71,57,-2.86,0.9948376736367679,0.65,436515.8322401656,-0.1870866433571444,0.0,0.0
DDO 75,Im,BCD,,2.6,1.3,-13.9,3.09,33,-1.4,0.5759586531581288,1.3,363078.05477010173,0.11394335230683678,0.0,0.0
DDO 87,Im,C,BD,2.6,7.7,-15.0,1.15,58,-3.16,1.0122909661567112,1.3,1000000.0,0.11394335230683678,0.0,0.0
DDO 101,Im,C,BD,2.6,6.4,-15.0,1.05,49,-2.99,0.8552113334772214,1.3,1000000.0,0.11394335230683678,0.0,0.0
DDO 126,Im,,BCD,1.3,4.9,-14.9,1.76,67,-2.45,1.1693705988362009,0.65,912010.8393559096,-0.1870866433571444,0.0,0.0
DDO 133,Im,D,BC,2.6,3.5,-14.8,2.33,49,-2.93,0.8552113334772214,1.3,831763.7711026708,0.11394335230683678,0.0,0.0
DDO 154,Im,BCD,,2.6,3.7,-14.2,1.55,65,-2.6,1.1344640137963142,1.3,478630.092322638,0.11394335230683678,0.0,0.0
DDO 155,Im,C,BD,1.3,2.2,-12.5,0.95,47,-1.5,0.8203047484373349,0.65,100000.0,-0.1870866433571444,0.0,0.0
DDO 165,Im,,BCD,1.3,4.6,-15.6,2.14,61,-3.52,1.064650843716541,0.65,1737800.8287493763,-0.1870866433571444,0.0,0.0
