survey,coherence_quartile,n,scatter_std,scatter_sem,mean
SPARC,Q1_low,22,0.0752713364616819,0.01604790285467476,0.011558267558584051
SPARC,Q2,22,0.042399483746051105,0.009039600307766156,0.018567872480805683
SPARC,Q3,21,0.048010735559230626,0.010476801422413445,0.030598443619440824
SPARC,Q4_high,22,0.04897434243765741,0.010441364890753532,0.08678396024692009
SPARC_spearman,overall,87,0.2508201501786104,0.019116714868995927,0.0
xGASS,Q1_low,91,0.1796610827186502,0.018833598876300327,-0.05021339978868364
xGASS,Q2,91,0.1367502200562641,0.014335318210336722,0.0015505234336425637
xGASS,Q3,90,0.07467331294953546,0.007871258311702604,0.01398388325411261
xGASS,Q4_high,91,0.06850490796063585,0.0071812656256165204,0.034832662147677655
xGASS_spearman,overall,363,-0.2378500454844001,4.606740530455607e-06,0.0
