galaxy_id,survey,coherence_score,coherence_quartile,btfr_offset_dex,f_gas,f_star,D_total
D631-7,SPARC,0.282314968890219,Q1_low,0.039505288087067,0.7973950795947902,0.2026049204052098,0.6803146597867303
DDO064,SPARC,0.5094165557467683,Q2,-0.0256384992124591,0.7814162002617436,0.2185837997382563,0.4240206706521405
DDO161,SPARC,0.3251460618090585,Q1_low,-0.0599157101031501,0.8699412362227897,0.1300587637772103,-0.1122452927791978
ESO079-G014,SPARC,0.6374473997477603,Q4_high,0.0730768052058808,0.1390088107926385,0.8609911892073615,0.8060005825300754
ESO116-G012,SPARC,0.5215072457424638,Q2,0.098633868639843,0.4016267054057144,0.5983732945942856,0.7477768031364452
ESO563-G021,SPARC,0.6341773694642697,Q4_high,0.1287477233958003,0.1719824779393654,0.8280175220606345,0.809236941843291
F563-1,SPARC,0.2254388327848565,Q1_low,0.0613138695469941,0.8172827652424388,0.1827172347575612,1.8472513474060104
F563-V2,SPARC,0.5602269035855676,Q3,0.105858812002349,0.658958784952156,0.341041215047844,1.6318884069673911
F568-V1,SPARC,0.4149915053125442,Q1_low,0.0703206666933114,0.6340084163711625,0.3659915836288376,1.3987835646073277
F571-8,SPARC,0.531672521303979,Q3,0.1266008171563595,0.3180409175449473,0.6819590824550527,2.2514981009707284
F574-1,SPARC,0.4327275913066201,Q2,-0.0353534266378766,0.5891480273825895,0.4108519726174104,0.870107159670272
F579-V1,SPARC,0.5334768110514512,Q3,0.0116115112183184,0.3351178751606368,0.6648821248393632,0.6576306596509802
F583-1,SPARC,0.4694553815713215,Q2,0.0026572976770827,0.8515319612838721,0.1484680387161279,0.8246924215370125
IC4202,SPARC,0.6426626917138348,Q4_high,0.0777635848019734,0.1542662669731117,0.8457337330268883,0.4306294786657141
NGC0024,SPARC,0.5596566999801329,Q3,0.1125403985503548,0.3161789012442063,0.6838210987557938,0.8570470787116998
NGC0100,SPARC,0.4246293883122349,Q2,-0.0129717870535531,0.620897553193985,0.3791024468060149,0.0541251456134189
NGC0801,SPARC,0.5311638513024052,Q3,-0.0259494687486376,0.1648869606357899,0.8351130393642101,-0.1126375182890714
NGC0891,SPARC,0.6912396276835411,Q4_high,0.0652118316880249,0.0790160797374749,0.9209839202625252,0.3502794662500348
