model,metric,p2_5,p16,p50,p84,p97_5,bootstrap_n
m3_scalar_q_only,median_abs_log10_velocity_error,0.0403786380582733,0.0549130367891295,0.0641311041319905,0.0712900832164124,0.0761736973387084,2000
m3_scalar_q_only,mean_abs_log10_velocity_error,0.05946388055185695,0.063868092075426,0.06899340120838142,0.07465556785975362,0.08027858784533753,2000
m3_scalar_q_only,rmse_log10_velocity_error,0.07499497357887414,0.07972331460628744,0.08532067938172444,0.09136799790396115,0.0970239904564757,2000
m3_scalar_q_only,frac_within_010_dex,0.6666666666666666,0.7126436781609196,0.7586206896551724,0.8045977011494253,0.8390804597701149,2000
m3_scalar_q_only,log_likelihood,-130.56802939676814,-92.04070242762738,-51.24268259296607,-15.76085263945757,12.127331117778137,2000
m4a_halo_only,median_abs_log10_velocity_error,0.0336344534924578,0.0364966689125534,0.0416138994693549,0.0476065183363852,0.0494913085980361,2000
m4a_halo_only,mean_abs_log10_velocity_error,0.042593215250549495,0.046193916859739295,0.05021956419990031,0.05434741808159007,0.05875538896156212,2000
m4a_halo_only,rmse_log10_velocity_error,0.05301862693009561,0.05786841980537805,0.06352066281200237,0.06972920986729449,0.07586615088982386,2000
m4a_halo_only,frac_within_010_dex,0.8275862068965517,0.8620689655172413,0.896551724137931,0.9310344827586207,0.9540229885057471,2000
m4a_halo_only,log_likelihood,-2.894292226949544,31.066195511261345,63.99040760877112,89.86063105496329,110.54806110893473,2000
m4b_halo_star_gas,median_abs_log10_velocity_error,0.0307608199797454,0.0338262899432106,0.0404458091376348,0.0469015236387611,0.0485438592494414,2000
m4b_halo_star_gas,mean_abs_log10_velocity_error,0.03940722298710786,0.0426310130253088,0.046160165970255955,0.05027642949736874,0.054313979776385066,2000
m4b_halo_star_gas,rmse_log10_velocity_error,0.048976437241908054,0.05329748667327165,0.05861823681413543,0.06482170940625498,0.07095901713161297,2000
m4b_halo_star_gas,frac_within_010_dex,0.8735632183908046,0.9080459770114943,0.9310344827586207,0.9540229885057471,0.9770114942528736,2000
m4b_halo_star_gas,log_likelihood,20.62331597784675,54.25990862236577,84.43598639198561,107.68210024042433,124.8256813056762,2000
m4c_full_frozen,median_abs_log10_velocity_error,0.032840471583085,0.0343072385452566,0.0416138994693549,0.0469457908627941,0.0475847471305848,2000
m4c_full_frozen,mean_abs_log10_velocity_error,0.039227631552082046,0.042211391212319496,0.045614256961449134,0.04939456090809068,0.053429422788223595,2000
m4c_full_frozen,rmse_log10_velocity_error,0.04751967734643763,0.05163923999116945,0.057013467003827936,0.06321467231687451,0.0696727394867903,2000
m4c_full_frozen,frac_within_010_dex,0.9080459770114943,0.9310344827586207,0.9540229885057471,0.9770114942528736,0.9885057471264368,2000
m4c_full_frozen,log_likelihood,29.115015864387537,63.44927729603908,92.34356635600341,115.16561069769013,131.14050746413346,2000
mond_simple_btfr,median_abs_log10_velocity_error,0.0386809066203296,0.0413125511741806,0.0472257873570313,0.0519874266868556,0.0577519566321839,2000
mond_simple_btfr,mean_abs_log10_velocity_error,0.04756083818015791,0.05138402790226956,0.05593631819204231,0.060763971959032194,0.06585194615647562,2000
mond_simple_btfr,rmse_log10_velocity_error,0.06090845160632687,0.06588824124240798,0.07138416736130564,0.07745040321361644,0.082637806805537,2000
mond_simple_btfr,frac_within_010_dex,0.7586206896551724,0.8045977011494253,0.8390804597701149,0.8735632183908046,0.9080459770114943,2000
mond_simple_btfr,log_likelihood,-40.139685399080015,-8.467274299936673,26.091255163741895,54.62236656250627,77.8999564075021,2000
newtonian_outer,median_abs_log10_velocity_error,0.2250062064555252,0.2428715438535512,0.249744254895621,0.2549635640603552,0.2611051127111883,2000
newtonian_outer,mean_abs_log10_velocity_error,0.22423485836493795,0.23456596384842787,0.24548947891383938,0.255150033103169,0.263827122087898,2000
newtonian_outer,rmse_log10_velocity_error,0.24345450768770382,0.2539743248544909,0.26379661153602274,0.2733405683225471,0.2806890571159848,2000
newtonian_outer,frac_within_010_dex,0.022988505747126436,0.04597701149425287,0.06896551724137931,0.09195402298850575,0.12643678160919541,2000
newtonian_outer,log_likelihood,-2459.1342360459885,-2293.604465132354,-2127.282120893887,-1943.5038532043254,-1768.9547459497219,2000
