galaxy_name,v_flat_obs_km_s,model,v_pred_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,Vflat_km_s,e_Vflat,sigma_logv_obs_dex,sigma_total_dex,loglike_i
D631-7,57.7,m3_scalar_q_only,49.98641288432383,0.8663156479085586,-0.0623238410448768,0.0623238410448768,57.7,2.7,0.020322272116789945,0.03623526933788209,0.9196228385047776
DDO064,46.1,m3_scalar_q_only,46.40030888487196,1.0065142925134916,0.0028199462546493,0.0028199462546493,46.1,3.9,0.0367407479267393,0.04743292694127359,2.12773287215106
DDO161,66.3,m3_scalar_q_only,72.21221816381001,1.0891737279609353,0.0370971571453403,0.0370971571453403,66.3,1.9,0.012445844881088663,0.03247920957788414,1.8559271070806638
ESO079-G014,175.0,m3_scalar_q_only,140.3274684647835,0.8018712483701914,-0.0958953581636905,0.0958953581636905,175.0,3.5,0.008685889638065035,0.031232109739891822,-2.166336412330694
ESO116-G012,109.1,m3_scalar_q_only,82.48449673847348,0.7560448830290879,-0.1214524215976527,0.1214524215976527,109.1,3.1,0.012340173179652435,0.03243886363767716,-4.499460358885109
ESO563-G021,314.6,m3_scalar_q_only,221.9179551331775,0.7053971873273283,-0.15156627635361,0.15156627635361,314.6,11.7,0.016151447674087875,0.034071531547155295,-7.4340999127294305
F563-1,109.9,m3_scalar_q_only,90.54516613385977,0.8238868620005436,-0.0841324225048039,0.0841324225048039,109.9,12.5,0.04939655162684847,0.05779290019218543,0.8723365020092155
F563-V2,116.6,m3_scalar_q_only,86.70041683439051,0.7435713279107248,-0.1286773649601587,0.1286773649601587,116.6,9.4,0.03501173353250915,0.04610663168082685,-1.7366025818585489
F568-V1,112.3,m3_scalar_q_only,90.62343852909558,0.8069763003481352,-0.0931392196511213,0.0931392196511213,112.3,15.8,0.06110287456875672,0.06807026722854272,0.8321804617069595
F571-8,139.7,m3_scalar_q_only,99.0323388686696,0.7088929052875419,-0.1494193701141693,0.1494193701141693,139.7,4.3,0.013367689850994865,0.03284349451493235,-7.851620043994325
F574-1,97.8,m3_scalar_q_only,100.66389450714182,1.0292831749196505,0.0125348736800668,0.0125348736800668,97.8,4.1,0.01820661938449215,0.035092463427519094,2.367036005662821
F579-V1,112.1,m3_scalar_q_only,103.5560671425921,0.92378293615158,-0.0344300641761282,0.0344300641761282,112.1,13.4,0.05191388097683831,0.05995874446715286,1.730290403101612
