formation_index,formation_label,source_galaxy_name,seed_galaxy_name,initialization_mode,initialization_class,step,time_gyr,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,disk_compaction_factor,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,organization_score,v_newton_km_s,v_bdvr_full_km_s,v_bdvr_governed_km_s,A_gov,A_star,A_gas,A_sigma,A_HI,limiting_gate,alpha_BTFR,BTFR_offset_dex,c_coherence,c_fstar,c_sigma,c_org,claim_boundary
0,stable spiral outcome track 01/28: UGC11914,UGC11914,UGC11914,historic,stable_spiral_initialization,0,0.0,69259917276.57906,3773758945.96038,65486158330.618675,3.111740591487999,1.0,0.054486910963096324,0.9455130890369037,1138401160.8039896,9.056295329917505,0.18772713232977242,182.24137998222773,190.65674830097012,182.70989189454565,0.054486910963096324,0.1556768884659895,0.054486910963096324,1.0,0.6917958803584864,A_gas,1.0051482725273049,-0.18154204793327366,0.3441994858873824,0.0,0.8225181319670021,0.18772713232977242,response_organization_visualization_not_model_promotion
0,stable spiral outcome track 01/28: UGC11914,UGC11914,UGC11914,historic,stable_spiral_initialization,1,0.1,69242602297.25992,4788449503.873693,64454152793.38622,3.080569149756129,0.9899826348580797,0.06915467277380451,0.9308453272261955,1161265674.8691447,9.064931589187472,0.19391978655439052,182.22998882800246,190.74509239720717,182.83161279320225,0.06915467277380451,0.19758477935372717,0.06915467277380451,1.0,0.6988875603616621,A_gas,1.0066138080352651,-0.1812203507348853,0.34726635845256315,0.0,0.8259726356749887,0.19391978655439052,response_organization_visualization_not_model_promotion
0,stable spiral outcome track 01/28: UGC11914,UGC11914,UGC11914,historic,stable_spiral_initialization,2,0.2,69225287317.94077,5785017544.406695,63440269773.534065,3.050014943925491,0.9801636268359402,0.08356798170929977,0.9164320182907002,1184352453.663645,9.073480964129292,0.20011217167341658,182.2185955372014,190.83239029391564,182.9539631360275,0.08356798170929977,0.2387656620265708,0.08356798170929977,1.0,0.7059992905319694,A_gas,1.0080875547742554,-0.18089734373680155,0.3503209864801259,0.0,0.8293923856517168,0.20011217167341658,response_organization_visualization_not_model_promotion
0,stable spiral outcome track 01/28: UGC11914,UGC11914,UGC11914,historic,stable_spiral_initialization,3,0.30000000000000004,69207972338.62161,6763781782.134735,62444190556.48688,3.0200657519063583,0.9705390481994506,0.09773125195809554,0.9022687480419045,1207656603.1386192,9.081943460308876,0.2063040187656901,182.20720010888903,190.91863375384264,183.0768565081685,0.09773125195809554,0.2792321484517016,0.09773125195809554,1.0,0.7131300625478366,A_gas,1.0095685767570828,-0.18057323466765185,0.3533632900729497,0.0,0.8327773841235505,0.2063040187656901,response_organization_visualization_not_model_promotion
0,stable spiral outcome track 01/28: UGC11914,UGC11914,UGC11914,historic,stable_spiral_initialization,4,0.4,69190657359.30247,7725055327.542162,61465602031.760315,2.9907095936225945,0.9611050489888269,0.11164882113240324,0.8883511788675967,1231173050.8569531,9.090319100656911,0.2124950592787872,182.1958025421296,191.00381522110732,183.20020891775007,0.11164882113240324,0.31899663180686644,0.11164882113240324,1.0,0.7202788568348003,A_gas,1.0110559617731227,-0.18024822496736537,0.3622176024418054,0.01664117304629033,0.8361276402627645,0.2124950592787872,response_organization_visualization_not_model_promotion
0,stable spiral outcome track 01/28: UGC11914,UGC11914,UGC11914,historic,stable_spiral_initialization,5,0.5,69173342379.98334,8669145785.543688,60504196594.43965,2.9619347262194666,0.9518578554785966,0.12532495159656004,0.87467504840344,1254896550.3590007,9.098607925450496,0.2186850252130732,182.1844028359864,191.08792781525833,183.3239387905631,0.12532495159656004,0.35807129027588586,0.12532495159656004,1.0,0.7274446431259582,A_gas,1.0125488214086686,-0.1799225098153392,0.3720730929252714,0.03617850228080005,0.8394431701801984,0.2186850252130732,response_organization_visualization_not_model_promotion
0,stable spiral outcome track 01/28: UGC11914,UGC11914,UGC11914,historic,stable_spiral_initialization,6,0.6000000000000001,69156027400.66418,9596355352.274012,59559672048.390175,2.9337296393663426,0.942793768668058,0.13876383177241103,0.861236168227589,1278821685.8254223,9.106809992280963,0.2248736493053759,182.1730009895222,191.17096532451035,183.4479669622397,0.13876383177241103,0.39646809077831724,0.13876383177241103,1.0,0.7346263810357462,A_gas,1.0140462910444195,-0.17959627816556667,0.38179740959715314,0.05537690253201575,0.8427239969123853,0.2248736493053759,response_organization_visualization_not_model_promotion
0,stable spiral outcome track 01/28: UGC11914,UGC11914,UGC11914,historic,stable_spiral_initialization,7,0.7000000000000001,69138712421.34505,10506980910.176167,58631731511.16888,2.9060830506524087,0.9339091628016308,0.15196957742204595,0.848030422577954,1302942877.0282042,9.114925376007868,0.23106066521215463,182.16159700179915,191.2529221981914,183.57221666798873,0.15196957742204595,0.434198792634417,0.15196957742204595,1.0,0.7418230206463844,A_gas,1.015547529830344,-0.17926971278841952,0.3913925409157708,0.07424225346006563,0.8459701504031472,0.23106066521215463,response_organization_visualization_not_model_promotion
0,stable spiral outcome track 01/28: UGC11914,UGC11914,UGC11914,historic,stable_spiral_initialization,8,0.8,69121397442.0259,11401314121.418468,57720083320.60742,2.8789839010735534,0.9252004839185055,0.164946232908284,0.835053767091716,1327254384.5600848,9.122954168699279,0.23724580769203882,182.1501908718787,191.3337935384363,183.69661352997247,0.164946232908284,0.47127495116652574,0.164946232908284,1.0,0.7490335031063221,A_gas,1.0170517206382692,-0.17894299031877203,0.4008604423796527,0.09278033272612,0.8491816674797115,0.23724580769203882,response_organization_visualization_not_model_promotion
0,stable spiral outcome track 01/28: UGC11914,UGC11914,UGC11914,historic,stable_spiral_initialization,9,0.9,69104082462.70676,12279641519.66946,56824440943.03729,2.8524213506086182,0.9166642484310116,0.1776977724332913,0.8223022275667087,1351750315.3318133,9.130896479558444,0.24342881278761103,182.13878259882168,191.41357509116054,183.82108554240742,0.1776977724332913,0.5077079212379751,0.1776977724332913,1.0,0.7562567612399722,A_gas,1.0185580699925736,-0.17861628131015905,0.41020303719111123,0.11099681776184471,0.8523585918233778,0.24342881278761103,response_organization_visualization_not_model_promotion
