galaxy_name,Q,T,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,Reff,SBeff,SBdisk,D,Inc,Ref,M_star_Msun,M_gas_Msun,M_baryon_Msun,v_flat_obs_km_s,Rdisk_kpc
D631-7,1.0,10.0,57.7,2.7,0.196,0.29,0.7,0.0,1.22,20.93,115.04,7.72,59.0,"Tr09,dB01",98000000.0,385700000.0,483700000.0,57.7,0.7
DDO064,1.0,10.0,46.1,3.9,0.157,0.211,0.69,3.49,1.2,17.41,151.65,6.8,60.0,"dB02,Sw02",78500000.0,280630000.0,359130000.0,46.1,0.69
DDO161,1.0,10.0,66.3,1.9,0.548,1.378,1.22,10.69,2.04,20.74,169.37,7.5,70.0,Co00,274000000.0,1832740000.0,2106740000.0,66.3,1.22
ESO079-G014,1.0,4.0,175.0,3.5,51.733,3.14,5.08,17.67,7.23,157.34,2295.25,28.7,79.0,Ge04,25866500000.0,4176200000.0000005,30042700000.0,175.0,5.08
ESO116-G012,1.0,7.0,109.1,3.1,4.292,1.083,1.51,9.58,2.75,90.54,1320.78,13.0,74.0,Ge04,2146000000.0,1440390000.0,3586390000.0,109.1,1.51
ESO563-G021,1.0,4.0,314.6,11.7,311.177,24.298,5.45,55.71,10.59,429.37,6558.89,60.8,83.0,SG06,155588500000.0,32316339999.999996,187904840000.0,314.6,5.45
F563-1,1.0,9.0,109.9,12.5,1.903,3.2,3.52,23.47,4.61,14.22,41.77,48.9,25.0,"KN08,dB96",951500000.0,4256000000.0,5207500000.0,109.9,3.52
F563-V2,1.0,10.0,116.6,9.4,2.986,2.169,2.43,11.37,4.49,23.6,146.16,59.7,29.0,"dB01,dB96",1493000000.0,2884770000.0,4377770000.0,116.6,2.43
F568-V1,1.0,7.0,112.3,15.8,3.825,2.491,2.85,14.38,4.4,31.39,90.54,80.6,40.0,"dB01,dB96",1912500000.0,3313030000.0000005,5225530000.0,112.3,2.85
F571-8,1.0,5.0,139.7,4.3,10.164,1.782,3.56,24.55,1.4,825.71,87.26,53.3,85.0,"dB01,dB96",5082000000.0,2370060000.0,7452060000.0,139.7,3.56
F574-1,1.0,7.0,97.8,4.1,6.537,3.524,4.46,16.19,5.87,29.98,128.48,96.8,65.0,"dB01,dB96",3268500000.0,4686920000.000001,7955420000.000001,97.8,4.46
F579-V1,1.0,5.0,112.1,13.4,11.848,2.245,3.37,20.96,5.76,56.6,201.76,89.5,26.0,"dB01,dB96",5924000000.0,2985850000.0,8909850000.0,112.1,3.37
F583-1,1.0,9.0,85.8,3.6,0.986,2.126,2.36,15.65,3.74,11.19,60.93,35.4,63.0,"KN08,dB96",493000000.0,2827580000.0,3320580000.0,85.8,2.36
IC4202,1.0,4.0,242.6,11.0,179.749,12.326,4.78,32.13,8.55,391.59,8888.53,100.4,90.0,SG06,89874500000.0,16393580000.0,106268080000.0,242.6,4.78
NGC0024,1.0,5.0,106.3,7.9,3.889,0.676,1.34,7.29,2.01,151.65,1182.58,7.3,64.0,"Di08,Ch06",1944500000.0,899080000.0000001,2843580000.0,106.3,1.34
NGC0100,1.0,6.0,88.1,6.4,3.232,1.99,1.66,16.36,2.81,64.99,1193.52,13.5,89.0,"dB02,Rh96",1616000000.0,2646700000.0,4262700000.0,88.1,1.66
NGC0801,1.0,5.0,220.1,6.2,312.57,23.201,8.72,44.99,7.76,818.14,1558.94,80.7,80.0,"Sa96,Br92",156285000000.0,30857330000.0,187142330000.0,220.1,8.72
NGC0891,1.0,3.0,216.1,5.7,138.34,4.462,2.55,18.16,3.68,1617.45,5067.92,9.91,90.0,Fr11,69170000000.0,5934460000.0,75104460000.0,216.1,2.55
NGC1003,1.0,6.0,109.8,4.2,6.82,5.88,1.61,33.33,2.76,140.87,1345.33,11.4,67.0,"Sa96,Br92",3410000000.0,7820400000.0,11230400000.0,109.8,1.61
NGC1090,1.0,4.0,164.4,3.7,72.045,8.783,3.53,30.49,6.36,283.68,2055.09,37.0,64.0,Ge04,36022500000.0,11681390000.0,47703890000.0,164.4,3.53
NGC2403,1.0,6.0,131.2,4.9,10.041,3.199,1.39,15.11,2.16,341.06,1408.74,3.16,63.0,"Da06,Fr02",5020500000.0,4254670000.0,9275170000.0,131.2,1.39
NGC2841,1.0,3.0,284.8,8.6,188.121,9.775,3.64,45.12,5.51,983.63,4751.49,14.1,76.0,"Di08,Be91",94060500000.0,13000750000.000002,107061250000.0,284.8,3.64
NGC2903,1.0,4.0,184.6,5.6,81.863,2.552,2.33,13.76,4.54,632.16,1193.52,6.6,66.0,"Be91,Be87",40931500000.0,3394160000.0000005,44325660000.0,184.6,2.33
NGC2998,1.0,5.0,209.9,8.1,150.902,23.451,6.2,43.58,7.06,479.55,774.16,68.1,58.0,"Sa96,Br92",75451000000.0,31189830000.0,106640830000.0,209.9,6.2
NGC3109,1.0,9.0,66.2,2.6,0.194,0.477,1.56,6.0,1.64,11.4,140.87,1.33,70.0,"Be91,JC90",97000000.0,634410000.0,731410000.0,66.2,1.56
NGC3198,1.0,5.0,150.1,3.9,38.279,10.869,3.14,35.66,5.84,178.99,1602.62,13.8,73.0,"Da06,Be91,Be87",19139500000.0,14455770000.000002,33595270000.0,150.1,3.14
NGC3521,1.0,4.0,213.7,15.9,84.836,4.154,2.4,18.85,2.45,2232.7,2112.66,7.7,75.0,"Da06,Sa96",42418000000.0,5524820000.0,47942820000.0,213.7,2.4
NGC3741,1.0,10.0,50.1,2.1,0.028,0.182,0.2,4.2,0.32,42.94,143.49,3.21,70.0,"Ge07,Bm05",14000000.0,242060000.0,256060000.0,50.1,0.2
NGC3893,1.0,5.0,174.0,8.9,58.525,5.799,2.38,20.84,2.43,1573.37,2055.09,18.0,49.0,"VS01,SV98",29262500000.0,7712670000.000001,36975170000.0,174.0,2.38
NGC3917,1.0,6.0,135.9,4.1,21.966,1.888,2.63,14.08,5.56,112.94,1226.96,18.0,79.0,"VS01,SV98",10983000000.0,2511040000.0,13494040000.0,135.9,2.63
NGC3953,1.0,4.0,220.8,6.1,141.301,2.832,4.89,17.38,6.17,587.26,1999.08,18.0,62.0,"VS01,SV98",70650500000.0,3766560000.0,74417060000.0,220.8,4.89
NGC3972,1.0,4.0,132.7,2.9,14.353,1.214,2.18,10.05,3.73,164.75,1587.93,18.0,77.0,"VS01,SV98",7176500000.0,1614620000.0,8791120000.0,132.7,2.18
NGC3992,1.0,4.0,241.0,5.2,226.932,16.599,4.96,32.75,9.99,360.44,3257.09,23.7,56.0,"VS01,SV98",113466000000.0,22076670000.0,135542670000.0,241.0,4.96
NGC4088,1.0,4.0,171.7,6.9,107.286,8.226,2.58,22.25,6.1,457.96,3988.69,18.0,69.0,"VS01,SV98",53643000000.0,10940580000.000002,64583580000.0,171.7,2.58
NGC4100,1.0,4.0,158.2,5.0,59.394,3.102,2.15,18.06,4.93,388.0,8970.78,18.0,73.0,"VS01,SV98",29697000000.0,4125660000.0,33822660000.0,158.2,2.15
NGC4157,1.0,3.0,184.7,7.2,105.62,8.226,2.32,24.09,4.44,848.85,23813.87,18.0,82.0,"VS01,SV98",52810000000.0,10940580000.000002,63750580000.0,184.7,2.32
NGC4183,1.0,6.0,110.6,5.4,10.838,3.506,2.79,16.07,4.47,86.46,1098.58,18.0,82.0,"VS01,SV98",5419000000.0,4662980000.0,10081980000.0,110.6,2.79
NGC4217,1.0,3.0,181.3,7.2,85.299,2.562,2.94,16.7,5.28,483.98,4373.51,18.0,86.0,"VS01,SV98",42649500000.0,3407460000.0,46056960000.0,181.3,2.94
