galaxy_name,T,Vflat,e_Vflat,RHI,SBeff,SBdisk,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,A_gov_star_sigma_gas,v_newton_km_s,v_bdvr_full_km_s,A_implied,distance_to_half_activation,log10_velocity_error_full_bdvr,claim_boundary
UGC10310,9.0,71.4,3.9,9.58,28.37,158.79,2461180000.0,870500000.0,1590680000.0,1.8,0.3536921314166375,0.6463078685833624,120897828.0367009,8.082418498709004,0.13928358584886802,0.03847879184192985,transition,0.03847879184192985,62.61478841403559,80.066382090813,0.47282800831440214,0.027171991685597863,0.04975199298309161,diagnostic_governor_hypothesis_not_accepted_model
UGC12632,9.0,71.7,2.8,12.6,13.09,66.81,2970020000.0000005,650500000.0,2319520000.0000005,2.42,0.21902209412731224,0.7809779058726878,80713981.9824109,7.906948773530353,0.02401978561962427,0.002169378054233028,juvenile,0.002169378054233028,59.32168592694667,83.91782204522788,0.4603360351660011,0.03966396483399892,0.06833504823536583,diagnostic_governor_hypothesis_not_accepted_model
NGC4157,3.0,184.7,7.2,24.09,848.85,23813.87,63750580000.0,52810000000.0,10940580000.000002,2.32,0.828384620186985,0.17161537981301506,1885073560.4888754,9.275328302176332,0.9834577171123544,0.9615957611872691,mature,0.9615957611872691,178.5038297850085,189.20681224890043,0.5718244830760092,0.0718244830760092,0.010469873353050978,diagnostic_governor_hypothesis_not_accepted_model
UGC01230,9.0,103.7,6.1,26.29,28.63,69.32,12361900000.0,3810000000.0,8551900000.0,4.34,0.3082050493856122,0.6917949506143878,104454197.95534526,8.01892589871753,0.08005035555421654,0.015608477497894345,transition,0.015608477497894345,90.37311035539409,119.86314453793428,0.4171682814060387,0.08283171859396132,0.0629069105769587,diagnostic_governor_hypothesis_not_accepted_model
NGC0100,6.0,88.1,6.4,16.36,64.99,1193.52,4262700000.0,1616000000.0,2646700000.0,1.66,0.37910244680601496,0.620897553193985,246200383.18980342,8.391288724537977,0.2475247759715309,0.08163992103861589,transition,0.08163992103861589,85.80840348533991,91.85135187873628,0.37121094787499503,0.12878905212500497,0.01810964427283579,diagnostic_governor_hypothesis_not_accepted_model
UGC00731,10.0,73.3,2.3,11.57,25.63,82.57,2564810000.0,161500000.0,2403310000.0,2.3,0.06296762723164678,0.9370323727683532,77164875.1590783,7.887419657901373,0.003707479008886851,7.572788737090526e-05,juvenile,7.572788737090526e-05,56.54642622698138,80.89620714811328,0.6500113464725119,0.1500113464725119,0.042824185373373756,diagnostic_governor_hypothesis_not_accepted_model
UGC04499,8.0,72.8,2.4,8.67,33.79,127.3,2239000000.0,776000000.0,1463000000.0000002,1.73,0.34658329611433675,0.6534167038856633,119064425.00008474,8.075782018963324,0.1289970148407457,0.033832954538117695,transition,0.033832954538117695,60.917977548246995,78.19480191805823,0.661072698609556,0.16107269860955598,0.031046504522553555,diagnostic_governor_hypothesis_not_accepted_model
DDO064,10.0,46.1,3.9,3.49,17.41,151.65,359130000.0,78500000.0,280630000.0,0.69,0.21858379973825634,0.7814162002617436,120053170.9989338,8.0793736356896,0.033901090697070826,0.003049635059903784,juvenile,0.003049635059903784,38.63160738634843,49.48542241518229,0.6616530520378597,0.16165305203785973,0.030776356431741734,diagnostic_governor_hypothesis_not_accepted_model
F574-1,7.0,97.8,4.1,16.19,29.98,128.48,7955420000.000001,3268500000.0,4686920000.000001,4.46,0.41085197261741047,0.5891480273825895,63652215.878668696,7.803813527033311,0.12051606331083899,0.04861148050744352,transition,0.04861148050744352,71.51639399850716,107.35694354973057,0.6941665594824716,0.19416655948247163,0.040491283857159284,diagnostic_governor_hypothesis_not_accepted_model
UGC07524,9.0,79.5,3.6,12.11,29.71,106.86,3584070000.0,1218000000.0,2366070000.0,3.46,0.33983711255639537,0.6601628874436046,47647971.606750086,7.678044417277685,0.04551319935323651,0.011352576543929769,transition,0.011352576543929769,54.49939403523283,87.95458448342596,0.7029351818070767,0.2029351818070767,0.04389135258970121,diagnostic_governor_hypothesis_not_accepted_model
